# Wordlist

# DATA
ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS	AUTOCOGID
742	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	wénámà	wénámà	w e ⁵ n a ⁵ + m a ¹	body	15	w e ⁵ n a ⁵ + m a ¹	wénámà	0	6 7 8 4 7 8 9 4 7 8	684	AXTBYT_AXT	15.W.C 15.E.V 15.6.T 15.N.C 15.A.V 15.6.T 15._._ 15.M.C 15.A.V 15.6.T	corps	1480	Bunoge	WE6NA6_MA6	BODY		630
743	1.6 3.0 1.0 1.3 3.0 1.0	gòdú	gòdú, díŋɛ̀lɛ̀ŋ ('torso')	( - - - - - - - ) ɡ o ¹ d u ⁵ - - - - -	body	17	ɡ o ¹ d u ⁵	gòdú	0	1 7 8 1 7 8	8736	AXTBYT	17.K.C 17.U.V 17.6.T 17.T.C 17.Y.V 17.6.T	corps	1480	Donno_So	KU6TY6	BODY		627
744	1.6 3.0 1.0 1.3 3.0 1.0	jèjú	jèjú, jèjù-gùjú	( dʒ e ¹ dʒ u ⁵ - ) - - - - - - - - - - -	body	20	dʒ e ¹ dʒ u ⁵	jèjú	0	1 7 8 1 7 8	8736	AXTBYT	20.T.C 20.E.V 20.6.T 20.T.C 20.Y.V 20.6.T	corps	1480	Jamsay	TE6TY6	BODY		634
745	1.6 3.0 1.0	jè:	jè:	( dʒ eː ¹ - - - - ) - - - - - - - - - - -	body	34	dʒ eː ¹	jè:	0	1 7 8	8736	AXT	34.T.C 34.E.V 34.6.T	corps	1480	Tomo_Kan	TE6	BODY		647
746	1.6 3.0 1.1 1.0	gó:ⁿ	gó:ⁿ, góy	( - - - - - - - ) ɡ õː ⁵ ∼ - - - - - - -	body	31	ɡ õː ∼ ⁵	gó:ⁿ	0	1 7 4 8	8736	AXLT	31.K.C 31.U.V 31.9.c 31.6.T	corps	1480	Tiranige_Diga	KU96	BODY		644
747	1.6 3.0 1.0 1.3 3.0 1.0	wójì	wójì	( w o ⁵ dʒ i ¹ - ) - - - - - - - - - - -	body	22	w o ⁵ dʒ i ¹	wójì	0	6 7 8 1 7 8	8736	AXTBYT	22.W.C 22.U.V 22.6.T 22.T.C 22.I.V 22.6.T	corps	1480	Mombo	WU6TI6	BODY		636
748	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	wènàmà	wènàmà	w e ¹ n a ¹ + m a ¹	body	25	w e ¹ n a ¹ + m a ¹	wènàmà	0	6 7 8 4 7 8 9 4 7 8	684	AXTBYT_AXT	25.W.C 25.E.V 25.6.T 25.N.C 25.A.V 25.6.T 25._._ 25.M.C 25.A.V 25.6.T	corps	1480	Penange	WE6NA6_MA6	BODY		630
749	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	nɔ́ɔ́-ndɛ́	nɔ́ɔ́-ndɛ́	n ɔː ⁵ + n d ɛ ⁵	body	3	n ɔː ⁵ + n d ɛ ⁵	nɔ́ɔ́-ndɛ́	0	4 7 8 9 4 1 7 8	679	AXT_ACYT	3.N.C 3.U.V 3.6.T 3._._ 3.N.C 3.T.C 3.E.V 3.6.T	corps	1480	Bangime	NU6_NTE6	BODY		625
750	2.0 1.5 1.1 1.75 0.8	terɗe	terɗe	t e r ɗ e	body	18	t e r ɗ e	terɗe	0	1 7 5 1 7	687	AXMBZ	18.T.C 18.E.V 18.R.c 18.T.C 18.E.V	corps	1480	Fulfulde	TERTE	BODY		633
751	1.6 3.0 1.1 1.0	tùⁿ	tùⁿ	t ũ ∼ !¹ - - -	body	21	t ũ ∼ ¹	tùⁿ	0	1 7 4 8	682	AXLT	21.T.C 21.Y.V 21.9.c 21.6.T	corps	1480	Jenaama	TY96	BODY		628
752	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	tuⁿuⁿ	tuⁿuⁿ	t ũ: ∼ - - - -	body	6	t ũ ∼ ũ ∼ t e u	tuⁿuⁿ	0	1 7 4 7 4 1 7 7	682	AXBYMBYZ	6.T.C 6.Y.V 6.9.C 6.Y.V 6.9.c 6.T.C 6.E.V 6.Y.V	corps	1480	Bozo_Debo	TY9Y9TEY	BODY		628
754	1.6 3.0 1.0 1.3 3.0 1.0	tuⁿuⁿteu	tuⁿuⁿteu	t ũ: ∼ t e - u	body	6	f a ¹ r i ⁵	tuⁿuⁿteu	0	3 7 8 5 7 8	682	AXTBYT	6.B.C 6.A.V 6.6.T 6.R.C 6.I.V 6.6.T	corps	1480	Bozo_Debo	BA6RI6	BODY		651
755	2.0 1.5 1.75 1.3 0.8	fàrí	fàrí	f a ¹ r i ⁵	body	6	t ũ ∼ ũ ∼	fàrí	0	1 7 4 7 4	710	AXBYN	6.T.C 6.Y.V 6.9.C 6.Y.V 6.9.c	corps	1480	Bozo_Debo	TY9Y9	BODY		628
756	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	tuⁿdɔlɔɔ	tuⁿdɔlɔɔ	t ũ ∼ d ɔ l ɔ:	body	13	t ũ ∼ d ɔ l ɔ ɔ	tuⁿdɔlɔɔ	0	1 7 4 1 7 5 7 7	682	AXMBYBYZ	13.T.C 13.Y.V 13.9.c 13.T.C 13.U.V 13.L.C 13.U.V 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9TULUU	BODY		629
757	2.0 1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	tuⁿtoo	tuⁿtoo	t ũ ∼ t o: - -	body	13	t ũ ∼ ũ ∼ t ɔ l ɔ	tuⁿtoo	0	1 7 4 7 4 1 7 5 7	682	AXBYMBYBZ	13.T.C 13.Y.V 13.9.C 13.Y.V 13.9.c 13.T.C 13.U.V 13.L.C 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9Y9TULU	BODY		628
758	2.0 1.5 1.75 1.3 1.1 1.75 0.8	tuⁿuⁿtɔlɔ	tuⁿuⁿtɔlɔ	t ũ: ∼ t ɔ l ɔ	body	13	t ũ ∼ ũ ∼ t o	tuⁿuⁿtɔlɔ	0	1 7 4 7 4 1 7	682	AXBYMBZ	13.T.C 13.Y.V 13.9.C 13.Y.V 13.9.c 13.T.C 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9Y9TU	BODY		628
759	2.0 1.5 1.1 1.75 1.3 1.75 0.8	tuⁿuⁿto	tuⁿuⁿto	t ũ: ∼ t o - -	body	13	t ũ ∼ k o r o	tuⁿuⁿto	0	1 7 4 1 7 5 7	682	AXMBYBZ	13.T.C 13.Y.V 13.9.c 13.K.C 13.U.V 13.R.C 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9KURU	BODY		629
760	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	tuⁿuⁿteo	tuⁿuⁿteo	t ũ: ∼ t e - o	body	13	t ũ ∼ ũ ∼ t e o	tuⁿuⁿteo	0	1 7 4 7 4 1 7 7	682	AXBYMBYZ	13.T.C 13.Y.V 13.9.C 13.Y.V 13.9.c 13.T.C 13.E.V 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9Y9TEU	BODY		628
761	2.0 1.5 1.1 1.75 1.3 0.8	tuⁿkoro	tuⁿkoro	t ũ ∼ k o r o	body	13	t ũ ∼ t o o	tuⁿkoro	0	1 7 4 1 7 7	682	AXMBYZ	13.T.C 13.Y.V 13.9.c 13.T.C 13.U.V 13.U.V	corps	1480	Bozo_Tiema_Cewe	TY9TUU	BODY		629
762	1.6 3.0 1.0	gá:	gá:	ɡ aː ⁵	[n] body	28	ɡ aː ⁵	gá:	0	1 7 8	695	AXT	28.K.C 28.A.V 28.6.T	corps [less common than cpd gá:-[hám-ó] in this sense; TSK gá:, Ka gá	1480	Songhai_Senni	KA6	BODY		641
763	1.6 3.0 1.0	gá:	gá:	ɡ aː ⁵	[n] body	27	ɡ aː ⁵	gá:	0	1 7 8	695	AXT	27.K.C 27.A.V 27.6.T	corps [less common than cpd gá:-[hám-ó] in this sense; TSK gá:, Ka gá	1480	Songhai_Kiini	KA6	BODY		641
#
764	1.6 3.0 1.0 1.3 3.0 1.0	gà:wá	gà:wá	ɡ aː ¹ w - a ⁵	bone	1	ɡ aː ¹ w a ⁵	gà:wá	0	1 7 8 6 7 8	58	AXTBYT	1.K.C 1.A.V 1.6.T 1.W.C 1.A.V 1.6.T	os	1394	Ampari	KA6WA6	BONE		652
765	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kìrⁿěy	kìrⁿěy	k i ¹ r̃ ∼ e ¹⁵ - j - - -	bone	4	k i ¹ r̃ ∼ e ¹⁵ j	kìrⁿěy	0	1 7 8 5 4 7 8 6	727	AXTMBYTN	4.K.C 4.I.V 4.6.T 4.R.c 4.9.C 4.E.V 4.2.T 4.J.c	os	1394	Bankan_Tey	KI6R9E2J	BONE		675
766	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.1 0.5	cìrⁿɛ̌yⁿ	cìrⁿɛ̌yⁿ	tʃ i ¹ r̃ ∼ ɛ ¹⁵ - j ∼ - -	bone	5	tʃ i ¹ r̃ ∼ ɛ ¹⁵ j ∼	cìrⁿɛ̌yⁿ	0	1 7 8 5 4 7 8 6 4	727	AXTMBYTLN	5.T.C 5.I.V 5.6.T 5.R.c 5.9.C 5.E.V 5.2.T 5.J.c 5.9.c	os	1394	Ben_Tey	TI6R9E2J9	BONE		675
767	1.6 3.0 1.0 1.3 3.0 1.0	gá:yè	gá:yè	ɡ aː ⁵ j - e ¹	bone	15	ɡ aː ⁵ j e ¹	gá:yè	0	1 7 8 6 7 8	58	AXTBYT	15.K.C 15.A.V 15.6.T 15.J.C 15.E.V 15.6.T	os	1394	Bunoge	KA6JE6	BONE		666
768	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.0	kɛ̀nɛ́-ŋ́	kɛ̀nɛ́-ŋ́	k ɛ ¹ - n ɛ ⁵ + ŋ - - ⁵	bone	16	k ɛ ¹ n ɛ ⁵ + ŋ ⁵	kɛ̀nɛ́-ŋ́	0	1 7 8 4 7 8 9 4 8	727	AXTBYT_AT	16.K.C 16.E.V 16.6.T 16.N.C 16.E.V 16.6.T 16._._ 16.N.C 16.6.T	os	1394	Dogul_Dom	KE6NE6_N6	BONE		667
769	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿé	kìrⁿé	k i ¹ r̃ ∼ e ⁵ - - - - -	bone	19	k i ¹ r̃ ∼ e ⁵	kìrⁿé	0	1 7 8 5 4 7 8	727	AXTMBYT	19.K.C 19.I.V 19.6.T 19.R.c 19.9.C 19.E.V 19.6.T	os	1394	Gourou	KI6R9E6	BONE		675
770	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	kìná-ŋgó	kìná-ŋgó	k i ¹ - n a ⁵ + ŋ ɡ o ⁵	bone	23	k i ¹ n a ⁵ + ŋ ɡ o ⁵	kìná-ŋgó	0	1 7 8 4 7 8 9 4 1 7 8	727	AXTBYT_ACYT	23.K.C 23.I.V 23.6.T 23.N.C 23.A.V 23.6.T 23._._ 23.N.C 23.K.C 23.U.V 23.6.T	os	1394	Najamba	KI6NA6_NKU6	BONE		674
771	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿá	kìrⁿá	k i ¹ r̃ ∼ a ⁵ - - - - -	bone	24	k i ¹ r̃ ∼ a ⁵	kìrⁿá	0	1 7 8 5 4 7 8	727	AXTMBYT	24.K.C 24.I.V 24.6.T 24.R.c 24.9.C 24.A.V 24.6.T	os	1394	Nanga	KI6R9A6	BONE		675
772	1.6 3.0 1.0 1.3 3.0 1.0	cìnǎ:	cìnǎ:	tʃ i ¹ - n aː ¹⁵ - - - - -	bone	30	tʃ i ¹ n aː ¹⁵	cìnǎ:	0	1 7 8 4 7 8	727	AXTBYT	30.T.C 30.I.V 30.6.T 30.N.C 30.A.V 30.2.T	os	1394	Tebul_Ure	TI6NA2	BONE		681
773	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿí	kìrⁿí	k i ¹ r̃ ∼ i ⁵ - - - - -	bone	32	k i ¹ r̃ ∼ i ⁵	kìrⁿí	0	1 7 8 5 4 7 8	727	AXTMBYT	32.K.C 32.I.V 32.6.T 32.R.c 32.9.C 32.I.V 32.6.T	os	1394	Togo_Kan	KI6R9I6	BONE		675
774	1.6 3.0 1.0 1.3 3.0 1.0	kìyé	kìyé	k i ¹ j - e ⁵ - - - - -	bone	33	k i ¹ j e ⁵	kìyé	0	1 7 8 6 7 8	727	AXTBYT	33.K.C 33.I.V 33.6.T 33.J.C 33.E.V 33.6.T	os	1394	Tommo_So	KI6JE6	BONE		666
775	1.6 3.0 1.0 1.3 3.0 1.0	cìrá	cìrá	tʃ i ¹ r - a ⁵ - - - - -	bone	35	tʃ i ¹ r a ⁵	cìrá	0	1 7 8 5 7 8	727	AXTBYT	35.T.C 35.I.V 35.6.T 35.R.C 35.A.V 35.6.T	os	1394	Toro_Tegu	TI6RA6	BONE		681
776	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿà	kìrⁿà	k i ¹ r̃ ∼ a ¹ - - - - -	bone	36	k i ¹ r̃ ∼ a ¹	kìrⁿà	0	1 7 8 5 4 7 8	727	AXTMBYT	36.K.C 36.I.V 36.6.T 36.R.c 36.9.C 36.A.V 36.6.T	os	1394	Yanda_Dom	KI6R9A6	BONE		675
777	1.6 3.0 1.0	kǐ:	kǐ:	k iː ¹⁵ - - - - - - - - -	bone	37	k iː ¹⁵	kǐ:	0	1 7 8	727	AXT	37.K.C 37.I.V 37.2.T	os	1394	Yorno_So	KI2	BONE		668
778	1.6 3.0 1.0	kě:	kě:	k eː ¹⁵ - - - - - - - - -	bone	17	k eː ¹⁵	kě:	0	1 7 8	727	AXT	17.K.C 17.E.V 17.2.T	os	1394	Donno_So	KE2	BONE		668
779	1.6 3.0 1.0 1.1 1.3 3.0 1.0	cìrⁿé	cìrⁿé	tʃ i ¹ r̃ ∼ e ⁵ - - - - -	bone	20	tʃ i ¹ r̃ ∼ e ⁵	cìrⁿé	0	1 7 8 5 4 7 8	727	AXTMBYT	20.T.C 20.I.V 20.6.T 20.R.c 20.9.C 20.E.V 20.6.T	os	1394	Jamsay	TI6R9E6	BONE		675
780	1.6 3.0 1.0 1.1 1.3 3.0 1.0	gà:wⁿě:	gà:wⁿě:	ɡ aː ¹ w̃ ∼ eː ¹⁵	bone	22	ɡ aː ¹ w̃ ∼ eː ¹⁵	gà:wⁿě:	0	1 7 8 6 4 7 8	58	AXTMBYT	22.K.C 22.A.V 22.6.T 22.W.c 22.9.C 22.E.V 22.2.T	os	1394	Mombo	KA6W9E2	BONE		673
781	1.6 3.0 1.0 1.3 3.0 1.0	gɔ̀:gɛ̀	gɔ̀:gɛ̀	ɡ ɔː ¹ ɡ - ɛ ¹	bone	25	ɡ ɔː ¹ ɡ ɛ ¹	gɔ̀:gɛ̀	0	1 7 8 1 7 8	58	AXTBYT	25.K.C 25.U.V 25.6.T 25.K.C 25.E.V 25.6.T	os	1394	Penange	KU6KE6	BONE		676
782	1.6 3.0 1.0 1.3 3.0 1.0	kíná	cíní ~ kíná	k i ⁵ - n a ⁵ - - - - -	bone	31	k i ⁵ n a ⁵	kíná	0	1 7 8 4 7 8	727	AXTBYT	31.K.C 31.I.V 31.6.T 31.N.C 31.A.V 31.6.T	os	1394	Tiranige_Diga	KI6NA6	BONE		674
783	1.6 3.0 1.0 1.3 3.0 1.0	nɔ̀rɛ̀	nɔ̀rɛ̀	n ɔ ¹ r ɛ ¹	bone	3	n ɔ ¹ r ɛ ¹	nɔ̀rɛ̀	0	4 7 8 5 7 8	713	AXTBYT	3.N.C 3.U.V 3.6.T 3.R.C 3.E.V 3.6.T	os	1394	Bangime	NU6RE6	BONE		654
784	2.0 1.5 1.75 1.3 0.8	gi'al	gi'al	ɡ i ʔⁿ a l	bone	18	ɡ i ʔⁿ a l	gi'al	0	1 7 1 7 5	728	AXBYN	18.K.C 18.I.V 18.H.C 18.A.V 18.L.c	os	1394	Fulfulde	KIHAL	BONE		669
785	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kúwⁿɔ̄	kúwⁿɔ̄ (1)	k u ( ⁵ ) w̃ ∼ ɔ ³ ( - - - - - - - )	bone	21	k u ⁵ w̃ ∼ ɔ ³	kúwⁿɔ̄	0	1 7 8 6 4 7 8	738	AXTMBYT	21.K.C 21.Y.V 21.6.T 21.W.c 21.9.C 21.U.V 21.6.T	os	1394	Jenaama	KY6W9U6	BONE		672
786	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿí	kìrⁿí	k i ¹ r̃ ∼ i ⁵ - - - - -	bone	34	k i ¹ r̃ ∼ i ⁵	kìrⁿí	0	1 7 8 5 4 7 8	727	AXTMBYT	34.K.C 34.I.V 34.6.T 34.R.c 34.9.C 34.I.V 34.6.T	os	1394	Tomo_Kan	KI6R9I6	BONE		685
787	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kìrⁿé	kìrⁿé	k i ¹ r̃ ∼ e ⁵ - - - - -	bone	26	k i ¹ r̃ ∼ e ⁵	kìrⁿé	0	1 7 8 5 4 7 8	727	AXTMBYT	26.K.C 26.I.V 26.6.T 26.R.c 26.9.C 26.E.V 26.6.T	os	1394	Perge_Tegu	KI6R9E6	BONE		675
788	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kólókúrú	kólókúrú	k o ( ⁵ ) l - o ⁵ ( + k u ⁵ r u ⁵ )	bone	2	k o ⁵ l o ⁵ k u ⁵ r u ⁵	kólókúrú	0	1 7 8 5 7 8 1 7 8 5 7 8	738	AXTBYTBYTBYT	2.K.C 2.U.V 2.6.T 2.L.C 2.U.V 2.6.T 2.K.C 2.Y.V 2.6.T 2.R.C 2.Y.V 2.6.T	os	1394	Bambara	KU6LU6KY6RY6	BONE		653
789	2.0 1.5 1.5 0.8	kwoⁿ	kwoⁿ	k - ( - ) w - o ∼ ( - - - - - - - )	bone	6	k w o ∼	kwoⁿ	0	1 6 7 4	738	ACXN	6.K.C 6.W.C 6.U.V 6.9.c	os	1394	Bozo_Debo	KWU9	BONE		657
790	2.0 1.5 1.5 0.8	hŋɔⁿ	hŋɔⁿ	h - ( - ) - ŋ ɔ̃ ∼ ( - - - - - - - )	bone	7	h ŋ ɔ̃ ∼	hŋɔⁿ	0	3 4 7 4	738	ACXN	7.H.C 7.N.C 7.U.V 7.9.c	os	1394	Bozo_Hainyaxo	HNU9	BONE		658
791	2.0 1.5 1.5 0.8	kwoⁿ	kwoⁿ	k - ( - ) w - o ∼ ( - - - - - - - )	bone	8	k w o ∼	kwoⁿ	0	1 6 7 4	738	ACXN	8.K.C 8.W.C 8.U.V 8.9.c	os	1394	Bozo_Korondougou_nord	KWU9	BONE		657
792	2.0 1.5 1.75 1.3 0.8	kuⁿɔⁿ	kuⁿɔⁿ	k ũ ( - ) - ∼ ɔ̃ ∼ ( - - - - - - - )	bone	9	k ũ ∼ ɔ̃ ∼	kuⁿɔⁿ	0	1 7 4 7 4	738	AXBYN	9.K.C 9.Y.V 9.9.C 9.U.V 9.9.c	os	1394	Bozo_Korondougou_sud	KY9U9	BONE		657
793	2.0 1.5 1.75 1.3 0.8	koⁿoⁿ	koⁿoⁿ	k o ( - ) - ∼ o ∼ ( - - - - - - - )	bone	10	k o ∼ o ∼	koⁿoⁿ	0	1 7 4 7 4	738	AXBYN	10.K.C 10.U.V 10.9.C 10.U.V 10.9.c	os	1394	Bozo_Kotya	KU9U9	BONE		657
794	2.0 1.5 1.5 0.8	kwɔⁿ	kwɔⁿ	k - ( - ) w - ɔ̃ ∼ ( - - - - - - - )	bone	11	k w ɔ̃ ∼	kwɔⁿ	0	1 6 7 4	738	ACXN	11.K.C 11.W.C 11.U.V 11.9.c	os	1394	Bozo_Pondori_nord	KWU9	BONE		657
795	2.0 1.5 1.5 0.8	kwɔⁿ	kwɔⁿ	k - ( - ) w - ɔ̃ ∼ ( - - - - - - - )	bone	12	k w ɔ̃ ∼	kwɔⁿ	0	1 6 7 4	738	ACXN	12.K.C 12.W.C 12.U.V 12.9.c	os	1394	Bozo_Pondori_sud	KWU9	BONE		657
796	1.5 1.75 1.3 0.8	xaⁿaⁿ	xaⁿaⁿ	- ã ( - ) - ∼ ã ∼ ( - - - - - - - )	bone	14	ã ∼ ã ∼	xaⁿaⁿ	0	7 4 7 4	738	XBYN	14.A.V 14.9.C 14.A.V 14.9.c	os	1394	Bozo_Tieyaxo	A9A9	BONE		665
797	2.0 1.5 1.75 1.3 0.8	koⁿoⁿ	koⁿoⁿ	k o ( - ) - ∼ o ∼ ( - - - - - - - )	bone	13	k o ∼ o ∼	koⁿoⁿ	0	1 7 4 7 4	738	AXBYN	13.K.C 13.U.V 13.9.C 13.U.V 13.9.c	os	1394	Bozo_Tiema_Cewe	KU9U9	BONE		657
798	1.6 3.0 1.0 0.5 0.0 3.0 1.0	bìr-ò	bìr-ò	b i ¹ r ( + ) o ¹	[n inal with self-reference] bone	28	b i ¹ r + o ¹	bìr-ò	0	1 7 8 5 9 7 8	60	AXTN_XT	28.P.C 28.I.V 28.6.T 28.R.c 28._._ 28.U.V 28.6.T	os [see DIMIN bìr-íyà ] [TSK bìrí ] -poss (alienable, not one’s own body part): 1Sg bìr-ê , 3Sg à bìr-ô -poss (inal): 1Sg bìr-êy , 3Sg bìr-ò , 3FullSg .á.gá bìr-ô .	1394	Songhai_Senni	PI6R_U6	BONE		678
799	1.6 3.0 1.0 1.1 1.3 3.0 1.0	qóttè	qóttè	q o ( ⁵ ) t: - e ¹ ( - - - - - - - )	bone	29	q o ⁵ t t e ¹	qóttè	0	1 7 8 1 1 7 8	738	AXTMBYT	29.K.C 29.U.V 29.6.T 29.T.c 29.T.C 29.E.V 29.6.T	os, arête, noyau	1394	Soninke	KU6TTE6	BONE		680
9552	1.6 3.0 1.0 1.3 3.0 1.0	bìrí	bìrí 2 / -ǒ:	b i ¹ r ( - ) i ⁵	[n] bone	27	b i ¹ r i ⁵	bìrí	0	1 7 8 5 7 8	60	AXTBYT	27.P.C 27.I.V 27.6.T 27.R.C 27.I.V 27.6.T	os	1394	Songhai_Kiini	PI6RI6	BONE		678
#
800	2.0 1.5 1.75 1.3 1.3 1.75 1.3 0.8	kalaawal	kalaawal	k a - l a: - w a l	bow (for arrow)	18	k a l a a w a l	kalaawal	0	1 7 5 7 7 6 7 5	8747	AXBYYBYN	18.K.C 18.A.V 18.L.C 18.A.V 18.A.V 18.W.C 18.A.V 18.L.c	arc	994	Fulfulde	KALAAWAL	BOW	BAM	692
801	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	gɛ̀jɛ̄-kìyɛ̀	gɛ̀jɛ̄-kìyɛ̀	ɡ ɛ ¹ dʒ ɛ ³ + k i ¹ j ɛ ¹	bow (for arrow)	21	ɡ ɛ ¹ dʒ ɛ ³ + k i ¹ j ɛ ¹	gɛ̀jɛ̄-kìyɛ̀	0	1 7 8 1 7 8 9 1 7 8 6 7 8	751	AXTBYT_AXTBYT	21.K.C 21.E.V 21.6.T 21.T.C 21.E.V 21.6.T 21._._ 21.K.C 21.I.V 21.6.T 21.J.C 21.E.V 21.6.T	arc	994	Jenaama	KE6TE6_KI6JE6	BOW		695
802	1.6 3.0 1.0	tô:	tô:	t oː ⁵¹ - - ( - ) - -	bow (for arrow)	5	t oː ⁵¹	tô:	0	1 7 8	740	AXT	5.T.C 5.U.V 5.3.T	arc	994	Ben_Tey	TU3	BOW	SONG	688
803	1.6 3.0 1.0 0.5	tâw	tâw	t a ⁵¹ - w ( - ) - -	bow (for arrow)	15	t a ⁵¹ w	tâw	0	1 7 8 6	740	AXTN	15.T.C 15.A.V 15.3.T 15.W.c	arc	994	Bunoge	TA3W	BOW	SONG	689
805	1.6 3.0 1.0	tò:	tò:	t oː ¹ - - ( - ) - -	bow (for arrow)	24	t oː ¹	tò:	0	1 7 8	740	AXT	24.T.C 24.U.V 24.6.T	arc	994	Nanga	TU6	BOW	SONG	688
806	1.6 3.0 1.0 1.1 1.3 3.0 1.0	kɔ̀mbɔ̀	kɔ̀mbɔ̀	k ɔ ¹ m b ɔ ¹	bow (for arrow)	36	k ɔ ¹ m b ɔ ¹	kɔ̀mbɔ̀	0	1 7 8 4 1 7 8	757	AXTMBYT	36.K.C 36.U.V 36.6.T 36.M.c 36.P.C 36.U.V 36.6.T	arc	994	Yanda_Dom	KU6MPU6	BOW		702
807	1.6 3.0 1.0	tô:	tô:	t oː ⁵¹ - - ( - ) - -	bow (for arrow)	37	t oː ⁵¹	tô:	0	1 7 8	740	AXT	37.T.C 37.U.V 37.3.T	arc	994	Yorno_So	TU3	BOW		688
808	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	bún-dáŋŋè	bún-dáŋŋè	b u ⁵ n + d a ⁵ ŋ: e ¹	bow	29	b u ⁵ n + d a ⁵ ŋ ŋ e ¹	bún-dáŋŋè	0	1 7 8 4 9 1 7 8 4 4 7 8	756	AXTN_AXTMBYT	29.P.C 29.Y.V 29.6.T 29.N.c 29._._ 29.T.C 29.A.V 29.6.T 29.N.c 29.N.C 29.E.V 29.6.T	arc	994	Soninke	PY6N_TA6NNE6	BOW		701
809	1.6 3.0 1.1 1.0	tâ:ⁿ	tâ:ⁿ	t ãː ⁵¹ ∼ - ( - ) - -	bow (for arrow)	16	t ãː ∼ ⁵¹	tâ:ⁿ	0	1 7 4 8	740	AXLT	16.T.C 16.A.V 16.9.c 16.3.T	arc (pour les flèches)	994	Dogul_Dom	TA93	BOW	SONG	690
810	1.6 3.0 1.0 1.1 0.5	tɔ́yⁿ	tɔ́yⁿ	t ɔ ⁵ j ∼ ( - ) - -	bow (for arrow)	19	t ɔ ⁵ j ∼	tɔ́yⁿ	0	1 7 8 6 4	740	AXTLN	19.T.C 19.U.V 19.6.T 19.J.c 19.9.c	arc (pour les flèches)	994	Gourou	TU6J9	BOW	SONG	693
811	1.6 3.0 1.1 1.0 0.0 3.0 1.0	kè:ⁿ-î:	kè:ⁿ-î:	k ẽː ¹ ∼ iː ⁵¹	bow (for arrow)	17	k ẽː ∼ ¹ + iː ⁵¹	kè:ⁿ-î:	0	1 7 4 8 9 7 8	62	AXLT_XT	17.K.C 17.E.V 17.9.c 17.6.T 17._._ 17.I.V 17.3.T	arc (pour les flèches)	994	Donno_So	KE96_I3	BOW		691
812	1.6 3.0 1.0 0.5	cɛ̌m	cɛ̌m	tʃ ɛ ¹⁵ m - -	bow (for arrow)	20	tʃ ɛ ¹⁵ m	cɛ̌m	0	1 7 8 4	750	AXTN	20.T.C 20.E.V 20.2.T 20.M.c	arc (pour les flèches)	994	Jamsay	TE2M	BOW		694
813	1.6 3.0 1.3 1.2 3.0 1.0	tɔ́:ⁿ-wé:	tɔ́:ⁿ wé:	t ɔː ⁵ ∼ w ( - ) eː ⁵	bow (for arrow)	22	t ɔː ∼ w eː ⁵	tɔ́:ⁿ-wé:	0	1 7 4 6 7 8	740	AXBCYT	22.T.C 22.U.V 22.9.C 22.W.C 22.E.V 22.6.T	arc (pour les flèches)	994	Mombo	TU9WE6	BOW	SONG	696
