# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
1016	Ben_Tey	BURY	bɛ̀sí	b ɛ ¹ s i ⁵	944	b ɛ ¹ s i ⁵	1 7 8 3 7 8	AXTBYT	PE6SI6	5	5.P.C 5.E.V 5.6.T 5.S.C 5.I.V 5.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1017	Bozo_Tiema_Cewe	BURY	tibi	t i b i	946	t i b i	1 7 1 7	AXBZ	TIPI	13	13.T.C 13.I.V 13.P.C 13.I.V	2.0 1.5 1.75 0.8	0
1018	Bozo_Tieyaxo	BURY	tibi	t i b i	946	t i b i	1 7 1 7	AXBZ	TIPI	14	14.T.C 14.I.V 14.P.C 14.I.V	2.0 1.5 1.75 0.8	0
1019	Bunoge	BURY	díŋgè	d i ⁵ ŋ ɡ e ¹	948	d i ⁵ ŋ ɡ e ¹	1 7 8 4 1 7 8	AXTMBYT	TI6NKE6	15	15.T.C 15.I.V 15.6.T 15.N.c 15.K.C 15.E.V 15.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1020	Dogul_Dom	BURY	bìsé	b i ¹ s e ⁵	944	b i ¹ s e ⁵	1 7 8 3 7 8	AXTBYT	PI6SE6	16	16.P.C 16.I.V 16.6.T 16.S.C 16.E.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1021	Donno_So	BURY	bìgé	b i ¹ ɡ e ⁵	950	b i ¹ ɡ e ⁵	1 7 8 1 7 8	AXTBYT	PI6KE6	17	17.P.C 17.I.V 17.6.T 17.K.C 17.E.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1022	Fulfulde	BURY	iru-de	i r u + d e	951	i r u + d e	7 5 7 9 1 7	XBZ_AX	IRY_TE	18	18.I.V 18.R.C 18.Y.V 18._._ 18.T.C 18.E.V	1.5 1.75 0.8 0.0 2.0 1.5	0
1023	Gourou	BURY	bèsá	b e ¹ s a ⁵	944	b e ¹ s a ⁵	1 7 8 3 7 8	AXTBYT	PE6SA6	19	19.P.C 19.E.V 19.6.T 19.S.C 19.A.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1024	Jamsay	BURY	bèjé	b e ¹ dʒ e ⁵	953	b e ¹ dʒ e ⁵	1 7 8 1 7 8	AXTBYT	PE6TE6	20	20.P.C 20.E.V 20.6.T 20.T.C 20.E.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1025	Jamsay	BURY	bɔ̌:	b ɔː ¹⁵	971	b ɔː ¹⁵	1 7 8	AXT	PU2	20	20.P.C 20.U.V 20.2.T	1.6 3.0 1.0	0
1026	Mombo	BURY	díŋgé	d i ⁵ ŋ ɡ e ⁵	948	d i ⁵ ŋ ɡ e ⁵	1 7 8 4 1 7 8	AXTMBYT	TI6NKE6	22	22.T.C 22.I.V 22.6.T 22.N.c 22.K.C 22.E.V 22.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1027	Najamba	BURY	bèjí	b e ¹ dʒ i ⁵	953	b e ¹ dʒ i ⁵	1 7 8 1 7 8	AXTBYT	PE6TI6	23	23.P.C 23.E.V 23.6.T 23.T.C 23.I.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1028	Nanga	BURY	bɛ̀sí	b ɛ ¹ s i ⁵	944	b ɛ ¹ s i ⁵	1 7 8 3 7 8	AXTBYT	PE6SI6	24	24.P.C 24.E.V 24.6.T 24.S.C 24.I.V 24.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1029	Penange	BURY	díŋgé	d i ⁵ ŋ ɡ e ⁵	948	d i ⁵ ŋ ɡ e ⁵	1 7 8 4 1 7 8	AXTMBYT	TI6NKE6	25	25.T.C 25.I.V 25.6.T 25.N.c 25.K.C 25.E.V 25.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1030	Perge_Tegu	BURY	bìyⁿɛ́	b i ¹ j ∼ ɛ ⁵	958	b i ¹ j ∼ ɛ ⁵	1 7 8 6 4 7 8	AXTMBYT	PI6J9E6	26	26.P.C 26.I.V 26.6.T 26.J.c 26.9.C 26.E.V 26.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1031	Songhai_Kiini	BURY	fí:	f iː ⁵	959	f iː ⁵ - - -	3 7 8	AXT	BI6	27	27.B.C 27.I.V 27.6.T	1.6 3.0 1.0	0
1032	Songhai_Senni	BURY	fí:jí	f iː ⁵ dʒ i ⁵	959	f iː ⁵ dʒ i ⁵	3 7 8 1 7 8	AXTBYT	BI6TI6	28	28.B.C 28.I.V 28.6.T 28.T.C 28.I.V 28.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1033	Soninke	BURY	bùrú	b u ¹ r u ⁵	961	b u ¹ r u ⁵	1 7 8 5 7 8	AXTBYT	PY6RY6	29	29.P.C 29.Y.V 29.6.T 29.R.C 29.Y.V 29.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1034	Tebul_Ure	BURY	cɛ́ndí	tʃ ɛ ⁵ n d i ⁵	962	tʃ ɛ ⁵ n d i ⁵	1 7 8 4 1 7 8	AXTMBYT	TE6NTI6	30	30.T.C 30.E.V 30.6.T 30.N.c 30.T.C 30.I.V 30.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1035	Tiranige_Diga	BURY	béjó	b e ⁵ dʒ o ⁵	953	b e ⁵ dʒ o ⁵	1 7 8 1 7 8	AXTBYT	PE6TU6	31	31.P.C 31.E.V 31.6.T 31.T.C 31.U.V 31.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1036	Togo_Kan	BURY	bìyɛ́	b i ¹ j ɛ ⁵	964	b i ¹ j ɛ ⁵	1 7 8 6 7 8	AXTBYT	PI6JE6	32	32.P.C 32.I.V 32.6.T 32.J.C 32.E.V 32.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1037	Tommo_So	BURY	bòdó	b o ¹ d o ⁵	953	b o ¹ d o ⁵	1 7 8 1 7 8	AXTBYT	PU6TU6	33	33.P.C 33.U.V 33.6.T 33.T.C 33.U.V 33.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1038	Tomo_Kan	BURY	bì:rì	b iː ¹ r i ¹	961	b iː ¹ r i ¹	1 7 8 5 7 8	AXTBYT	PI6RI6	34	34.P.C 34.I.V 34.6.T 34.R.C 34.I.V 34.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1039	Toro_Tegu	BURY	bǐw	b i ¹⁵ w	964	b i ¹⁵ w	1 7 8 6	AXTN	PI2W	36	36.P.C 36.I.V 36.2.T 36.W.c	1.6 3.0 1.0 0.5	0
1040	Yanda_Dom	BURY	bèzé	b e ¹ z e ⁵	944	b e ¹ z e ⁵	1 7 8 3 7 8	AXTBYT	PE6SE6	37	37.P.C 37.E.V 37.6.T 37.S.C 37.E.V 37.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1041	Yorno_So	BURY	bòjó	b o ¹ dʒ o ⁵	953	b o ¹ dʒ o ⁵	1 7 8 1 7 8	AXTBYT	PU6TU6	38	38.P.C 38.U.V 38.6.T 38.T.C 38.U.V 38.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1042	Toro_So	BURY	bójú	b o ⁵ dʒ u ⁵	953	b o ⁵ dʒ u ⁵	1 7 8 1 7 8	AXTBYT	PU6TY6	35	35.P.C 35.U.V 35.6.T 35.T.C 35.Y.V 35.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
1043	Bambara	BUY	sà̰	s a ∼ ¹	972	s a ∼ ¹ - -	3 7 4 8	AXLT	SA96	2	2.S.C 2.A.V 2.9.c 2.6.T	1.6 3.0 1.1 1.0	0
1044	Bangime	BUY	ɥàà-rà	ɥ aː ¹ + r a ¹	973	ɥ aː ¹ + r a ¹	6 7 8 9 5 7 8	AXT_AXT	JA6_RA6	3	3.J.C 3.A.V 3.6.T 3._._ 3.R.C 3.A.V 3.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0
1045	Bankan_Tey	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	4	4.E.V 4.6.T 4.W.C 4.E.V 4.6.T	3.0 1.0 1.3 3.0 1.0	0
1046	Ben_Tey	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	5	5.E.V 5.6.T 5.W.C 5.E.V 5.6.T	3.0 1.0 1.3 3.0 1.0	0
1047	Bunoge	BUY	sɔ́:wɛ̀	s ɔː w ɛ ¹	976	s ɔː w ɛ ¹	3 7 6 7 8	AXBYT	SUWE6	15	15.S.C 15.U.V 15.W.C 15.E.V 15.6.T	1.6 3.0 1.3 3.0 1.0	0
1048	Dogul_Dom	BUY	ɛ́bɛ̀	ɛ ⁵ b ɛ ¹	977	ɛ ⁵ b ɛ ¹	7 8 1 7 8	XTBYT	E6PE6	16	16.E.V 16.6.T 16.P.C 16.E.V 16.6.T	3.0 1.0 1.3 3.0 1.0	0
1049	Fulfulde	BUY	soodu-de	s o o d u + d e	978	s o o d u + d e	3 7 7 1 7 9 1 7	AXYBZ_AX	SUUTY_TE	18	18.S.C 18.U.V 18.U.V 18.T.C 18.Y.V 18._._ 18.T.C 18.E.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5	0
1050	Jamsay	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	20	20.E.V 20.6.T 20.W.C 20.E.V 20.6.T	3.0 1.0 1.3 3.0 1.0	1
1051	Jenaama	BUY	sàwⁿ	s a ¹ w̃ ∼	972	s a - ¹ w̃ ∼	3 7 8 6 4	AXTLN	SA6W9	21	21.S.C 21.A.V 21.6.T 21.W.c 21.9.c	1.6 3.0 1.0 1.1 0.5	0
1052	Mombo	BUY	swɛ́:	s w ɛː ⁵	976	s - w ɛː ⁵	3 6 7 8	ACXT	SWE6	22	22.S.C 22.W.C 22.E.V 22.6.T	1.6 1.2 3.0 1.0	0
1053	Najamba	BUY	dɔ̀nɛ́	d ɔ ¹ n ɛ ⁵	982	d ɔ ¹ n ɛ ⁵	1 7 8 4 7 8	AXTBYT	TU6NE6	23	23.T.C 23.U.V 23.6.T 23.N.C 23.E.V 23.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1054	Nanga	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	24	24.E.V 24.6.T 24.W.C 24.E.V 24.6.T	3.0 1.0 1.3 3.0 1.0	1
1055	Penange	BUY	sɔ́gɛ́	s ɔ ⁵ ɡ ɛ ⁵	984	s ɔ ⁵ ɡ ɛ ⁵	3 7 8 1 7 8	AXTBYT	SU6KE6	25	25.S.C 25.U.V 25.6.T 25.K.C 25.E.V 25.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1056	Perge_Tegu	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	26	26.E.V 26.6.T 26.W.C 26.E.V 26.6.T	3.0 1.0 1.3 3.0 1.0	1
1057	Songhai_Senni	BUY	dêy	d e ⁵¹ j	986	d e ⁵¹ j	1 7 8 6	AXTN	TE3J	28	28.T.C 28.E.V 28.3.T 28.J.c	1.6 3.0 1.0 0.5	0
1058	Songhai_Kiini	BUY	dêy	d e ⁵¹ j	986	d e ⁵¹ j	1 7 8 6	AXTN	TE3J	27	27.T.C 27.E.V 27.3.T 27.J.c	1.6 3.0 1.0 0.5	0
1059	Soninke	BUY	qóbó	q o ⁵ b o ⁵	988	q o ⁵ b o ⁵	1 7 8 1 7 8	AXTBYT	KU6PU6	29	29.K.C 29.U.V 29.6.T 29.P.C 29.U.V 29.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1060	Tebul_Ure	BUY	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	977	ɛ ⁵ b ɛ ⁵	7 8 1 7 8	XTBYT	E6PE6	30	30.E.V 30.6.T 30.P.C 30.E.V 30.6.T	3.0 1.0 1.3 3.0 1.0	1
1061	Tiranige_Diga	BUY	dɔ́nɔ́	d ɔ ⁵ n ɔ ⁵	982	d ɔ ⁵ n ɔ ⁵	1 7 8 4 7 8	AXTBYT	TU6NU6	31	31.T.C 31.U.V 31.6.T 31.N.C 31.U.V 31.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1062	Togo_Kan	BUY	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	977	ɛ ⁵ w ɛ ⁵	7 8 6 7 8	XTBYT	E6WE6	32	32.E.V 32.6.T 32.W.C 32.E.V 32.6.T	3.0 1.0 1.3 3.0 1.0	1
1063	Tommo_So	BUY	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	977	ɛ ⁵ b ɛ ⁵	7 8 1 7 8	XTBYT	E6PE6	33	33.E.V 33.6.T 33.P.C 33.E.V 33.6.T	3.0 1.0 1.3 3.0 1.0	0
1064	Toro_Tegu	BUY	ɛ́w	ɛ ⁵ w	994	ɛ ⁵ w	7 8 6	XTN	E6W	36	36.E.V 36.6.T 36.W.c	3.0 1.0 0.5	0
1065	Yanda_Dom	BUY	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	977	ɛ ⁵ b ɛ ⁵	7 8 1 7 8	XTBYT	E6PE6	37	37.E.V 37.6.T 37.P.C 37.E.V 37.6.T	3.0 1.0 1.3 3.0 1.0	0
1066	Yorno_So	BUY	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	977	ɛ ⁵ b ɛ ⁵	7 8 1 7 8	XTBYT	E6PE6	38	38.E.V 38.6.T 38.P.C 38.E.V 38.6.T	3.0 1.0 1.3 3.0 1.0	0
1067	Toro_So	BUY	ɛ́bɛ́	ɛ ⁵ b ɛ ⁵	977	ɛ ⁵ b ɛ ⁵	7 8 1 7 8	XTBYT	E6PE6	35	35.E.V 35.6.T 35.P.C 35.E.V 35.6.T	3.0 1.0 1.3 3.0 1.0	0
#
1068	Bambara	CALL	wéélé	w eː ⁵ l e ⁵	995	w eː ⁵ l e ⁵	6 7 8 5 7 8	AXTBYT	WE6LE6	2	2.W.C 2.E.V 2.6.T 2.L.C 2.E.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1069	Bambara	CALL	kílí	k i ⁵ l i ⁵	1010	k i ⁵ l i ⁵	1 7 8 5 7 8	AXTBYT	KI6LI6	2	2.K.C 2.I.V 2.6.T 2.L.C 2.I.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1070	Bangime	CALL	yèndò	j e ¹ n d o ¹	996	j e ¹ n d o ¹	6 7 8 4 1 7 8	AXTMBYT	JE6NTU6	3	3.J.C 3.E.V 3.6.T 3.N.c 3.T.C 3.U.V 3.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1071	Bankan_Tey	CALL	ɲǎn	ɲ a ¹⁵ n	997	ɲ a ¹⁵ n	4 7 8 4	AXTN	NA2N	4	4.N.C 4.A.V 4.2.T 4.N.c	1.6 3.0 1.0 0.5	0
1072	Ben_Tey	CALL	ɲàrⁿí	ɲ a ¹ r̃ ∼ i ⁵	998	ɲ a ¹ r̃ ∼ i ⁵	4 7 8 5 4 7 8	AXTMBYT	NA6R9I6	5	5.N.C 5.A.V 5.6.T 5.R.c 5.9.C 5.I.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1073	Bunoge	CALL	ɲá:ŋì	ɲ aː ⁵ ŋ i ¹	998	ɲ aː ⁵ - ŋ i ¹	4 7 8 4 7 8	AXTBYT	NA6NI6	15	15.N.C 15.A.V 15.6.T 15.N.C 15.I.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1074	Dogul_Dom	CALL	bò:ndé	b oː ¹ n d e ⁵	1000	b oː ¹ n d e ⁵	1 7 8 4 1 7 8	AXTMBYT	PU6NTE6	16	16.P.C 16.U.V 16.6.T 16.N.c 16.T.C 16.E.V 16.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1075	Fulfulde	CALL	noddu-de	n o d d u + d e	1001	n o d d u + d e	4 7 1 1 7 9 1 7	AXMBZ_AX	NUTTY_TE	18	18.N.C 18.U.V 18.T.c 18.T.C 18.Y.V 18._._ 18.T.C 18.E.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5	0
1076	Gourou	CALL	bɔ̀rⁿɔ́	b ɔ ¹ r̃ ∼ ɔ ⁵	1002	b ɔ ¹ r̃ ∼ ɔ ⁵	1 7 8 5 4 7 8	AXTMBYT	PU6R9U6	19	19.P.C 19.U.V 19.6.T 19.R.c 19.9.C 19.U.V 19.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1077	Jamsay	CALL	bɔ̀rⁿɔ́	b ɔ ¹ r̃ ∼ ɔ ⁵	1002	b ɔ ¹ r̃ ∼ ɔ ⁵	1 7 8 5 4 7 8	AXTMBYT	PU6R9U6	20	20.P.C 20.U.V 20.6.T 20.R.c 20.9.C 20.U.V 20.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1078	Jenaama	CALL	à-kē	a ¹ + k e ³	1004	a ¹ + k e ³	7 8 9 1 7 8	XT_AXT	A6_KE6	21	21.A.V 21.6.T 21._._ 21.K.C 21.E.V 21.6.T	3.0 1.0 0.0 1.6 3.0 1.0	0
1079	Mombo	CALL	yálé	j a ⁵ l e ⁵	1005	j a ⁵ l e ⁵	6 7 8 5 7 8	AXTBYT	JA6LE6	22	22.J.C 22.A.V 22.6.T 22.L.C 22.E.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1080	Najamba	CALL	yàndí	j a ¹ n d i ⁵	996	j a ¹ n d i ⁵	6 7 8 4 1 7 8	AXTMBYT	JA6NTI6	23	23.J.C 23.A.V 23.6.T 23.N.c 23.T.C 23.I.V 23.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1081	Nanga	CALL	ɲǎ:rⁿí	ɲ aː ¹⁵ r̃ ∼ i ⁵	998	ɲ aː ¹⁵ r̃ ∼ i ⁵	4 7 8 5 4 7 8	AXTMBYT	NA2R9I6	24	24.N.C 24.A.V 24.2.T 24.R.c 24.9.C 24.I.V 24.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1082	Perge_Tegu	CALL	sɔ́rⁿɔ́	s ɔ ⁵ r̃ ∼ ɔ ⁵	1002	s ɔ ⁵ r̃ ∼ ɔ ⁵	3 7 8 5 4 7 8	AXTMBYT	SU6R9U6	26	26.S.C 26.U.V 26.6.T 26.R.c 26.9.C 26.U.V 26.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1083	Songhai_Senni	CALL	cé	tʃ e ⁵	1009	tʃ e ⁵	1 7 8	AXT	TE6	28	28.T.C 28.E.V 28.6.T	1.6 3.0 1.0	0
1084	Soninke	CALL	qírí	q i ⁵ r i ⁵	1010	q i ⁵ r i ⁵	1 7 8 5 7 8	AXTBYT	KI6RI6	29	29.K.C 29.I.V 29.6.T 29.R.C 29.I.V 29.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
1085	Tebul_Ure	CALL	bóngó_bǒn	b o ⁵ n ɡ o ⁵ _ b o ¹⁵ n	1011	b o ⁵ n ɡ o ⁵ _ b o ¹⁵ n	1 7 8 4 1 7 8 9 1 7 8 4	AXTMBYT_AXTN	PU6NKU6_PU2N	30	30.P.C 30.U.V 30.6.T 30.N.c 30.K.C 30.U.V 30.6.T 30._._ 30.P.C 30.U.V 30.2.T 30.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0
1086	Tiranige_Diga	CALL	yá:ndó	j aː ⁵ n d o ⁵	996	j aː ⁵ n d o ⁵	6 7 8 4 1 7 8	AXTMBYT	JA6NTU6	31	31.J.C 31.A.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1087	Tommo_So	CALL	bòó	b o ¹ o ⁵	1013	b o ¹ - o ⁵	1 7 8 7 8	AXTYT	PU6U6	33	33.P.C 33.U.V 33.6.T 33.U.V 33.6.T	1.6 3.0 1.0 3.0 1.0	0
1088	Tomo_Kan	CALL	bóy	b o ⁵ j	1014	b o ⁵ j	1 7 8 6	AXTN	PU6J	34	34.P.C 34.U.V 34.6.T 34.J.c	1.6 3.0 1.0 0.5	0
1089	Toro_Tegu	CALL	sórⁿú	s o ⁵ r̃ ∼ u ⁵	1002	s o ⁵ r̃ ∼ u ⁵	3 7 8 5 4 7 8	AXTMBYT	SU6R9Y6	36	36.S.C 36.U.V 36.6.T 36.R.c 36.9.C 36.Y.V 36.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1090	Yanda_Dom	CALL	yàndú	j a ¹ n d u ⁵	996	j a ¹ n d u ⁵	6 7 8 4 1 7 8	AXTMBYT	JA6NTY6	37	37.J.C 37.A.V 37.6.T 37.N.c 37.T.C 37.Y.V 37.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0
1091	Toro_So	CALL	bóy	b o ⁵ j	1014	b o ⁵ j	1 7 8 6	AXTN	PU6J	35	35.P.C 35.U.V 35.6.T 35.J.c	1.6 3.0 1.0 0.5	1
1092	Yorno_So	CALL	bǒ:nɔ́	b oː ¹⁵ n ɔ ⁵	1013	b oː ¹⁵ n ɔ ⁵	1 7 8 4 7 8	AXTBYT	PU2NU6	38	38.P.C 38.U.V 38.2.T 38.N.C 38.U.V 38.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
1093	Bangime	CAMEL	ɲɔ̀ŋɔ̀mɛ́	ɲ ɔ ¹ ŋ ɔ ¹ m ɛ ⁵	1015	ɲ ɔ ¹ ŋ ɔ ¹ m ɛ ⁵	4 7 8 4 7 8 4 7 8	AXTBYTBYT	NU6NU6ME6	3	3.N.C 3.U.V 3.6.T 3.N.C 3.U.V 3.6.T 3.M.C 3.E.V 3.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1094	Bankan_Tey	CAMEL	ɔ̀:ɲɛ̂ⁿm	ɔː ¹ ɲ ɛ̃ ∼ ⁵¹ m	1016	ɔː ¹ ɲ ɛ̃ ∼ ⁵¹ m	7 8 4 7 4 8 4	XTBYLTN	U6NE93M	4	4.U.V 4.6.T 4.N.C 4.E.V 4.9.c 4.3.T 4.M.c	3.0 1.0 1.3 3.0 1.1 1.0 0.5	0
1095	Ben_Tey	CAMEL	ɔ̀:ɲùwⁿɔ̂m	ɔː ¹ ɲ u ¹ w̃ ∼ ɔ ⁵¹ m	1017	ɔː ¹ - - - - ɲ u ¹ w̃ ∼ ɔ ⁵¹ m	7 8 4 7 8 6 4 7 8 4	XTBYTMBYTN	U6NY6W9U3M	5	5.U.V 5.6.T 5.N.C 5.Y.V 5.6.T 5.W.c 5.9.C 5.U.V 5.3.T 5.M.c	3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0 0.5	0
1096	Bunoge	CAMEL	ɲɔ́ŋɔ́mɛ̀	ɲ ɔ ⁵ ŋ ɔ ⁵ m ɛ ¹	1015	ɲ ɔ ⁵ ŋ ɔ ⁵ m ɛ ¹	4 7 8 4 7 8 4 7 8	AXTBYTBYT	NU6NU6ME6	15	15.N.C 15.U.V 15.6.T 15.N.C 15.U.V 15.6.T 15.M.C 15.E.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1097	Dogul_Dom	CAMEL	yɔ́ŋùmɛ̀	j ɔ ⁵ ŋ u ¹ m ɛ ¹	1015	j ɔ ⁵ ŋ u ¹ m ɛ ¹	6 7 8 4 7 8 4 7 8	AXTBYTBYT	JU6NY6ME6	16	16.J.C 16.U.V 16.6.T 16.N.C 16.Y.V 16.6.T 16.M.C 16.E.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1098	Donno_So	CAMEL	ɔ̀ŋɔ̀yòŋó	ɔ ¹ ŋ ɔ ¹ j o ¹ ŋ o ⁵	1020	ɔ ¹ ŋ ɔ ¹ j o ¹ ŋ o ⁵	7 8 4 7 8 6 7 8 4 7 8	XTBYTBYTBYT	U6NU6JU6NU6	17	17.U.V 17.6.T 17.N.C 17.U.V 17.6.T 17.J.C 17.U.V 17.6.T 17.N.C 17.U.V 17.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1099	Fulfulde	CAMEL	ngeelooba	n ɡ e e l o o b a	1021	n ɡ e e l o o b a	4 1 7 7 5 7 7 1 7	ACYYBYYBZ	NKEELUUPA	18	18.N.C 18.K.C 18.E.V 18.E.V 18.L.C 18.U.V 18.U.V 18.P.C 18.A.V	2.0 1.5 1.3 1.3 1.75 1.3 1.3 1.75 0.8	0
1100	Gourou	CAMEL	ɔ̀ɣɔ̀yⁿùwⁿó	ɔ ¹ ɣ ɔ ¹ j ∼ u ¹ w̃ ∼ o ⁵	1022	ɔ ¹ ɣ ɔ ¹ j ∼ u ¹ w̃ ∼ o ⁵ -	7 8 3 7 8 6 4 7 8 6 4 7 8	XTBYTMBYTMBYT	U6GU6J9Y6W9U6	19	19.U.V 19.6.T 19.G.C 19.U.V 19.6.T 19.J.c 19.9.C 19.Y.V 19.6.T 19.W.c 19.9.C 19.U.V 19.6.T	3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0 1.1 1.3 3.0 1.0	0
1101	Jamsay	CAMEL	ɔ̀ɣɔ̀ɲùŋó	ɔ ¹ ɣ ɔ ¹ ɲ u ¹ ŋ o ⁵	1022	ɔ ¹ ɣ ɔ ¹ - ɲ u ¹ - ŋ o ⁵ -	7 8 3 7 8 4 7 8 4 7 8	XTBYTBYTBYT	U6GU6NY6NU6	20	20.U.V 20.6.T 20.G.C 20.U.V 20.6.T 20.N.C 20.Y.V 20.6.T 20.N.C 20.U.V 20.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1102	Jenaama	CAMEL	ɲūwɔ̀mɔ̄	ɲ u ³ w ɔ ¹ m ɔ ³	1024	ɲ u ³ w ɔ ¹ m ɔ ³	4 7 8 6 7 8 4 7 8	AXTBYTBYT	NY6WU6MU6	21	21.N.C 21.Y.V 21.6.T 21.W.C 21.U.V 21.6.T 21.M.C 21.U.V 21.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
1103	Nanga	CAMEL	ɔ̀gɔ̀ɲɔ̀ŋɔ̂	ɔ ¹ ɡ ɔ ¹ ɲ ɔ ¹ ŋ ɔ ⁵¹	1022	ɔ ¹ ɡ ɔ ¹ - ɲ ɔ ¹ - ŋ ɔ ⁵¹ -	7 8 1 7 8 4 7 8 4 7 8	XTBYTBYTBYT	U6KU6NU6NU3	24	24.U.V 24.6.T 24.K.C 24.U.V 24.6.T 24.N.C 24.U.V 24.6.T 24.N.C 24.U.V 24.3.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0
