ID	WEIGHTS	FORM	VALUE	ALIGNMENT	CONCEPT_IN_SOURCE	LANGID	TOKENS	IPA	DUPLICATES	SONARS	COGID	PROSTRINGS	NUMBERS	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CLASSES	CONCEPT	BORROWINGS
910	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	súnjú_súnjó	súnjú súnjó	s u ⁵ n dʒ u ⁵ _ s u ⁵ n dʒ o ⁵	breathe	31	s u ⁵ n dʒ u ⁵ _ s u ⁵ n dʒ o ⁵	súnjú_súnjó	0	3 7 8 4 1 7 8 9 3 7 8 4 1 7 8	838	AXTMBYT_AXTMBYT	31.S.C 31.Y.V 31.6.T 31.N.c 31.T.C 31.Y.V 31.6.T 31._._ 31.S.C 31.Y.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	respirer	1407	Tiranige_Diga	SY6NTY6_SY6NTU6	BREATHE	
911	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	nèndèlé_néndélè	nèndèlé néndélè	n e ¹ n d e ¹ l e ⁵ _ n e ⁵ n d e ⁵ l e ¹	breathe	22	n e ¹ n d e ¹ l e ⁵ _ n e ⁵ n d e ⁵ l e ¹	nèndèlé_néndélè	0	4 7 8 4 1 7 8 5 7 8 9 4 7 8 4 1 7 8 5 7 8	837	AXTMBYTBYT_AXTMBYTBYT	22.N.C 22.E.V 22.6.T 22.N.c 22.T.C 22.E.V 22.6.T 22.L.C 22.E.V 22.6.T 22._._ 22.N.C 22.E.V 22.6.T 22.N.c 22.T.C 22.E.V 22.6.T 22.L.C 22.E.V 22.6.T	respirer	1407	Mombo	NE6NTE6LE6_NE6NTE6LE6	BREATHE	
912	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	nèndìl_néndílè	nèndìl néndílè	n e ¹ n d i ¹ l !- !- _ n e ⁵ n d i ⁵ l e ¹	breathe	25	n e ¹ n d i ¹ l _ n e ⁵ n d i ⁵ l e ¹	nèndìl_néndílè	0	4 7 8 4 1 7 8 5 9 4 7 8 4 1 7 8 5 7 8	837	AXTMBYTN_AXTMBYTBYT	25.N.C 25.E.V 25.6.T 25.N.c 25.T.C 25.I.V 25.6.T 25.L.c 25._._ 25.N.C 25.E.V 25.6.T 25.N.c 25.T.C 25.I.V 25.6.T 25.L.C 25.E.V 25.6.T	respirer	1407	Penange	NE6NTI6L_NE6NTI6LE6	BREATHE	
913	1.6 3.0 1.0 1.3 3.0 1.0	nììrù	nììrù	n iː ¹ r u ¹ ( - - - - - - - )	breathe	3	n iː ¹ r u ¹	nììrù	0	4 7 8 5 7 8	819	AXTBYT	3.N.C 3.I.V 3.6.T 3.R.C 3.Y.V 3.6.T	respirer	1407	Bangime	NI6RY6	BREATHE	Yorno_So
914	2.0 1.5 1.3 0.8 0.0 1.5 1.75 0.8	foof-ude	foofude	f o: f + u d e	breathe	18	f o o f + u d e	foof-ude	0	3 7 7 3 9 7 1 7	834	AXYN_XBZ	18.B.C 18.U.V 18.U.V 18.B.c 18._._ 18.Y.V 18.T.C 18.E.V	respirer	1407	Fulfulde	BUUB_YTE	BREATHE	
915	2.0 1.5 1.75 1.3 1.1 1.75 0.8	suⁿuⁿnɛ	suⁿuⁿnɛ	s ũ ∼ ( ũ ∼ ) n ɛ ( - - )	breathe	7	s ũ ∼ ũ ∼ n ɛ	suⁿuⁿnɛ	0	3 7 4 7 4 4 7	824	AXBYMBZ	7.S.C 7.Y.V 7.9.C 7.Y.V 7.9.c 7.N.C 7.E.V	respirer	1407	Bozo_Hainyaxo	SY9Y9NE	BREATHE	
916	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	sigaⁿtie	sigaⁿtie	s i ɡ ã ∼ t i ( e )	breathe	11	s i ɡ ã ∼ t i e	sigaⁿtie	0	3 7 1 7 4 1 7 7	823	AXBYMBYZ	11.S.C 11.I.V 11.K.C 11.A.V 11.9.c 11.T.C 11.I.V 11.E.V	respirer	1407	Bozo_Pondori_nord	SIKA9TIE	BREATHE	
917	2.0 1.5 1.75 1.3 1.1 1.75 0.8	suⁿuⁿne	suⁿuⁿne	s ũ: ∼ ( - - ) n e ( - - )	breathe	14	s ũ ∼ ũ ∼ n e	suⁿuⁿne	0	3 7 4 7 4 4 7	824	AXBYMBZ	14.S.C 14.Y.V 14.9.C 14.Y.V 14.9.c 14.N.C 14.E.V	respirer	1407	Bozo_Tieyaxo	SY9Y9NE	BREATHE	
918	2.0 1.5 1.1 1.75 1.5 1.3 0.8	muⁿtʸeⁿ	muⁿtʸeⁿ	m u - - - ∼ t - j e - ∼	breathe	12	m u ∼ t j e ∼	muⁿtʸeⁿ	0	4 7 4 1 6 7 4	829	AXMBCYN	12.M.C 12.Y.V 12.9.c 12.T.C 12.J.C 12.E.V 12.9.c	respirer	1407	Bozo_Pondori_sud	MY9TJE9	BREATHE	
919	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	cigaⁿtie	cigaⁿtie	tʃ i ɡ ã ∼ t i ( e )	breathe	10	tʃ i ɡ ã ∼ t i e	cigaⁿtie	0	1 7 1 7 4 1 7 7	823	AXBYMBYZ	10.T.C 10.I.V 10.K.C 10.A.V 10.9.c 10.T.C 10.I.V 10.E.V	respirer	1407	Bozo_Kotya	TIKA9TIE	BREATHE	
920	2.0 1.5 1.75 1.3 1.75 0.8	tiyɛlɛ	tiyɛlɛ	- - - - - - t i j ɛ l ɛ	breathe	13	t i j ɛ l ɛ	tiyɛlɛ	0	1 7 6 7 5 7	830	AXBYBZ	13.T.C 13.I.V 13.J.C 13.E.V 13.L.C 13.E.V	respirer	1407	Bozo_Tiema_Cewe	TIJELE	BREATHE	
921	2.0 1.5 1.75 0.8	siga	siga	s i ɡ a !- !- !- ( - )	breathe	6	s i ɡ a	siga	0	3 7 1 7	823	AXBZ	6.S.C 6.I.V 6.K.C 6.A.V	respirer	1407	Bozo_Debo	SIKA	BREATHE	
922	2.0 1.5 1.75 1.3 1.75 1.3 0.8	sigaⁿuⁿ	sigaⁿuⁿ	s i ɡ ã ∼ !- ũ ( ∼ )	breathe	8	s i ɡ ã ∼ ũ ∼	sigaⁿuⁿ	0	3 7 1 7 4 7 4	823	AXBYBYN	8.S.C 8.I.V 8.K.C 8.A.V 8.9.C 8.Y.V 8.9.c	respirer	1407	Bozo_Korondougou_nord	SIKA9Y9	BREATHE	
923	2.0 1.5 1.75 1.3 0.8	sigau	sigau	s i ɡ a !- !- u ( - )	breathe	9	s i ɡ a u	sigau	0	3 7 1 7 7	823	AXBYZ	9.S.C 9.I.V 9.K.C 9.A.V 9.Y.V	respirer	1407	Bozo_Korondougou_sud	SIKAY	BREATHE	
924	1.6 3.0 1.0 1.1 1.3 3.0 1.0	néegú	néegú	n e: ⁵ ɡ u ⁵	breathe	29	j o ⁵ n k i ⁵	néegú	0	6 7 8 4 1 7 8	843	AXTMBYT	29.J.C 29.U.V 29.6.T 29.N.c 29.K.C 29.I.V 29.6.T	respirer	1407	Soninke	JU6NKI6	BREATHE	
925	1.6 3.0 1.0 3.0 1.3 3.0 1.0	yónkí	yónkí	j o ⁵ n k i ⁵	breathe	29	h i ⁵ i m e ¹	yónkí	0	3 7 8 7 4 7 8	852	AXTYBYT	29.H.C 29.I.V 29.6.T 29.I.V 29.M.C 29.E.V 29.6.T	respirer	1407	Soninke	HI6IME6	BREATHE	
926	1.6 3.0 1.0 3.0 1.3 3.0 1.0	híimè	híimè	h i: ⁵ m e ¹	breathe	29	n e ⁵ e ɡ u ⁵	híimè	0	4 7 8 7 1 7 8	853	AXTYBYT	29.N.C 29.E.V 29.6.T 29.E.V 29.K.C 29.Y.V 29.6.T	respirer	1407	Soninke	NE6EKY6	BREATHE	
927	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	nínákílí	nínákílí	n i ⁵ n a ⁵ ( + !k !i !⁵ !l !i !⁵ )	breathe	2	n i ⁵ n a ⁵ k i ⁵ l i ⁵	nínákílí	0	4 7 8 4 7 8 1 7 8 5 7 8	819	AXTBYTBYTBYT	2.N.C 2.I.V 2.6.T 2.N.C 2.A.V 2.6.T 2.K.C 2.I.V 2.6.T 2.L.C 2.I.V 2.6.T	respirer	1407	Bambara	NI6NA6KI6LI6	BREATHE	
928	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0 0.5	húnánzám	húnánzám	h u ⁵ n a ⁵ n z a ⁵ m	[intr] breathe; relax, take a rest	28	h u ⁵ n a ⁵ n z a ⁵ m	húnánzám	0	3 7 8 4 7 8 4 3 7 8 4	842	AXTBYTMBYTN	28.H.C 28.Y.V 28.6.T 28.N.C 28.A.V 28.6.T 28.N.c 28.S.C 28.A.V 28.6.T 28.M.c	respirer; se reposer [also húnzám]	1407	Songhai_Senni	HY6NA6NSA6M	BREATHE	
929	1.6 3.0 1.0 1.3 3.0 1.0	zètú	zètú	z e ¹ t u ⁵	broom	35	z e ¹ t u ⁵	zètú	0	3 7 8 1 7 8	875	AXTBYT	35.S.C 35.E.V 35.6.T 35.T.C 35.Y.V 35.6.T	balai	245	Toro_Tegu	SE6TY6	BROOM	
930	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ùsùnî:	ùsùnî:	u ¹ s u ¹ + n ( - ) iː ⁵¹	broom	5	u ¹ s u ¹ + n iː ⁵¹	ùsùnî:	0	7 8 3 7 8 9 4 7 8	856	XTBYT_AXT	5.Y.V 5.6.T 5.S.C 5.Y.V 5.6.T 5._._ 5.N.C 5.I.V 5.3.T	balai	245	Ben_Tey	Y6SY6_NI3	BROOM	
931	3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ùsìrⁿî:	ùsìrⁿî:	u ¹ s i ¹ + r̃ ( ∼ ) iː ⁵¹	broom	4	u ¹ s i ¹ + r̃ ∼ iː ⁵¹	ùsìrⁿî:	0	7 8 3 7 8 9 5 4 7 8	856	XTBYT_ACYT	4.Y.V 4.6.T 4.S.C 4.I.V 4.6.T 4._._ 4.R.C 4.9.C 4.I.V 4.3.T	balai	245	Bankan_Tey	Y6SI6_R9I3	BROOM	
932	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	ùsìrî	ùsìrî ~ ùsùrî	u ¹ s i ¹ + r ( - ) i ⁵¹	broom	24	u ¹ s i ¹ + r i ⁵¹	ùsìrî	0	7 8 3 7 8 9 5 7 8	856	XTBYT_AXT	24.Y.V 24.6.T 24.S.C 24.I.V 24.6.T 24._._ 24.R.C 24.I.V 24.3.T	balai	245	Nanga	Y6SI6_RI3	BROOM	
933	1.6 3.0 1.0 0.0 1.6 3.0 1.0	gè:rú	gè:rú	ɡ eː ¹ r u ⁵	broom	26	ɡ eː ¹ + r u ⁵	gè:rú	0	1 7 8 9 5 7 8	868	AXT_AXT	26.K.C 26.E.V 26.6.T 26._._ 26.R.C 26.Y.V 26.6.T	balai	245	Perge_Tegu	KE6_RY6	BROOM	
934	1.6 3.0 1.0 1.3 3.0 1.0	sá:má	sá:má	s aː ⁵ m a ⁵	broom	19	s aː ⁵ m a ⁵	sá:má	0	3 7 8 4 7 8	862	AXTBYT	19.S.C 19.A.V 19.6.T 19.M.C 19.A.V 19.6.T	balai	245	Gourou	SA6MA6	BROOM	
935	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	sɔ́múrⁿú	sɔ́múrⁿú	s ɔ ⁵ m u ⁵ + r̃ ∼ u ⁵	broom	32	s ɔ ⁵ m u ⁵ + r̃ ∼ u ⁵	sɔ́múrⁿú	0	3 7 8 4 7 8 9 5 4 7 8	873	AXTBYT_ACYT	32.S.C 32.U.V 32.6.T 32.M.C 32.Y.V 32.6.T 32._._ 32.R.C 32.9.C 32.Y.V 32.6.T	balai	245	Togo_Kan	SU6MY6_R9Y6	BROOM	
936	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	jòbûl	jòbûl	dʒ o ¹ b u ⁵¹ l	broom	37	dʒ o ¹ b u ⁵¹ + l	jòbûl	0	1 7 8 1 7 8 9 5	877	AXTBYT_A	37.T.C 37.U.V 37.6.T 37.P.C 37.Y.V 37.3.T 37._._ 37.L.C	balai	245	Yorno_So	TU6PY3_L	BROOM	
937	1.6 3.0 1.0 0.0 1.6 3.0 1.0	jòòlú	jòòlú	dʒ oː ¹ + l u ⁵	broom	33	dʒ oː ¹ + l u ⁵	jòòlú	0	1 7 8 9 5 7 8	866	AXT_AXT	33.T.C 33.U.V 33.6.T 33._._ 33.L.C 33.Y.V 33.6.T	balai	245	Tommo_So	TU6_LY6	BROOM	
938	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	sáŋàlà	sáŋàlà	s a ⁵ ŋ a ¹ + l a ¹	broom	16	s a ⁵ ŋ a ¹ + l a ¹	sáŋàlà	0	3 7 8 4 7 8 9 5 7 8	859	AXTBYT_AXT	16.S.C 16.A.V 16.6.T 16.N.C 16.A.V 16.6.T 16._._ 16.L.C 16.A.V 16.6.T	balai	245	Dogul_Dom	SA6NA6_LA6	BROOM	
939	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ìdìlú-ŋgò	ìdìlú-ŋgò	i ¹ d i ¹ + l u ⁵ + ŋ ɡ o ¹	broom	30	i ¹ d i ¹ + l u ⁵ + ŋ ɡ o ¹	ìdìlú-ŋgò	0	7 8 1 7 8 9 5 7 8 9 4 1 7 8	78	XTBYT_AXT_ACYT	30.I.V 30.6.T 30.T.C 30.I.V 30.6.T 30._._ 30.L.C 30.Y.V 30.6.T 30._._ 30.N.C 30.K.C 30.U.V 30.6.T	balai	245	Tebul_Ure	I6TI6_LY6_NKU6	BROOM	
940	3.0 1.0 1.3 3.0 1.0 0.5	èzìl	èzìl	e ¹ z i ¹ l	broom	36	e ¹ z i ¹ l	èzìl	0	7 8 3 7 8 5	876	XTBYTN	36.E.V 36.6.T 36.S.C 36.I.V 36.6.T 36.L.c	balai	245	Yanda_Dom	E6SI6L	BROOM	
941	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	ǹjùl-û:	ǹjùl-û:	ndʒ u ¹ + l uː ⁵¹	broom	23	n dʒ u ¹ + l uː ⁵¹	ǹjùl-û:	0	4 1 7 8 9 5 7 8	866	ACYT_AXT	23.N.C 23.T.C 23.Y.V 23.6.T 23._._ 23.L.C 23.Y.V 23.3.T	balai	245	Najamba	NTY6_LY3	BROOM	
942	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ɲéní-ŋgà	ɲéní-ŋgà	ɲ e ⁵ n i ⁵ + ŋ ɡ a ¹	broom	15	ɲ e ⁵ n i ⁵ + ŋ ɡ a ¹	ɲéní-ŋgà	0	4 7 8 4 7 8 9 4 1 7 8	858	AXTBYT_ACYT	15.N.C 15.E.V 15.6.T 15.N.C 15.I.V 15.6.T 15._._ 15.N.C 15.K.C 15.A.V 15.6.T	balai	245	Bunoge	NE6NI6_NKA6	BROOM	
943	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	sáŋànà	sáŋànà	s a ⁵ ŋ a ¹ + n a ¹	broom	17	s a ⁵ ŋ a ¹ + n a ¹	sáŋànà	0	3 7 8 4 7 8 9 4 7 8	859	AXTBYT_AXT	17.S.C 17.A.V 17.6.T 17.N.C 17.A.V 17.6.T 17._._ 17.N.C 17.A.V 17.6.T	balai	245	Donno_So	SA6NA6_NA6	BROOM	
944	3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	íjílí	íjílí	i ⁵ dʒ i ⁵ + l i ⁵	broom	31	i ⁵ dʒ i ⁵ + l i ⁵	íjílí	0	7 8 1 7 8 9 5 7 8	871	XTBYT_AXT	31.I.V 31.6.T 31.T.C 31.I.V 31.6.T 31._._ 31.L.C 31.I.V 31.6.T	balai	245	Tiranige_Diga	I6TI6_LI6	BROOM	
945	1.6 3.0 1.0 1.3 3.0 1.0	gèní	gèní	ɡ e ¹ n i ⁵	broom	22	ɡ e ¹ n i ⁵	gèní	0	1 7 8 4 7 8	865	AXTBYT	22.K.C 22.E.V 22.6.T 22.N.C 22.I.V 22.6.T	balai	245	Mombo	KE6NI6	BROOM	
946	1.6 3.0 1.0 0.0 1.6 3.0 1.0	gè:ní	gè:ní	ɡ eː ¹ n i ⁵	broom	25	ɡ eː ¹ + n i ⁵	gè:ní	0	1 7 8 9 4 7 8	868	AXT_AXT	25.K.C 25.E.V 25.6.T 25._._ 25.N.C 25.I.V 25.6.T	balai	245	Penange	KE6_NI6	BROOM	
947	1.6 3.0 1.0 1.3 3.0 1.0 1.1 1.3 3.0 1.0	ɡíjɛ́rⁿɛ̀	ɡíjɛ́rⁿɛ̀	ɡ i ⁵ j ɛ ⁵ r̃ ∼ ɛ ¹	broom	3	ɡ i ⁵ dʒ ɛ ⁵ r̃ ∼ ɛ ¹	ɡíjɛ́rⁿɛ̀	0	1 7 8 1 7 8 5 4 7 8	855	AXTBYTMBYT	3.K.C 3.I.V 3.6.T 3.T.C 3.E.V 3.6.T 3.R.c 3.9.C 3.E.V 3.6.T	balai	245	Bangime	KI6TE6R9E6	BROOM	
948	2.0 1.5 1.3 0.8 0.0 1.5 1.1 1.75 1.3 0.8	buuw-irgal	buuwirgal	b u: w + i r ɡ a l	broom	18	b u u w + i r ɡ a l	buuw-irgal	0	1 7 7 6 9 7 5 1 7 5	861	AXYN_XMBYN	18.P.C 18.Y.V 18.Y.V 18.W.c 18._._ 18.I.V 18.R.c 18.K.C 18.A.V 18.L.c	balai	245	Fulfulde	PYYW_IRKAL	BROOM	
949	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.3 3.0 1.0	sāⁿgòlō	sāⁿgòlō	s a ³ ∼ ɡ o ¹ l o ³	broom	21	s a ³ ∼ ɡ o ¹ l o ³	sāⁿgòlō	0	3 7 8 4 1 7 8 5 7 8	864	AXTMBYTBYT	21.S.C 21.A.V 21.6.T 21.9.c 21.K.C 21.U.V 21.6.T 21.L.C 21.U.V 21.6.T	balai	245	Jenaama	SA69KU6LU6	BROOM	
950	1.6 3.0 1.0 1.3 3.0 1.0	sá:má	sá:má	s aː ⁵ m a ⁵	broom	20	s aː ⁵ m a ⁵	sá:má	0	3 7 8 4 7 8	862	AXTBYT	20.S.C 20.A.V 20.6.T 20.M.C 20.A.V 20.6.T	balai	245	Jamsay	SA6MA6	BROOM	
951	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.1 1.0	fúráláⁿ	fúráláⁿ	f u ⁵ r a ⁵ l ã ⁵ ∼	broom	2	f u ⁵ r a ⁵ l ã ∼ ⁵	fúráláⁿ	0	3 7 8 5 7 8 5 7 4 8	854	AXTBYTBYLT	2.B.C 2.Y.V 2.6.T 2.R.C 2.A.V 2.6.T 2.L.C 2.A.V 2.9.c 2.6.T	balai	245	Bambara	BY6RA6LA96	BROOM	
952	3.0 1.0 1.3 3.0 1.0 0.5 0.0 3.0 1.0	àdá:z-à:	àdá:z-à:	a ¹ d aː ⁵ z + aː ¹	[n] bunch of thorny branches tied together (used for sweeping)	28	a ¹ d aː ⁵ z + aː ¹	àdá:z-à:	0	7 8 1 7 8 3 9 7 8	870	XTBYTN_XT	28.A.V 28.6.T 28.T.C 28.A.V 28.6.T 28.S.c 28._._ 28.A.V 28.6.T	faisceau de branches épineuses attachées (utilisé pour balayer)	245	Songhai_Senni	A6TA6S_A6	BROOM	
953	1.6 3.0 1.0	jɔ̀	jɔ̀	dʒ ɔ ¹	build	7	dʒ ɔ ¹	jɔ̀	0	1 7 8	878	AXT	7.T.C 7.U.V 7.6.T	bâtir, construire	1840	Bozo_Hainyaxo	TU6	BUILD	BAM
954	1.6 3.0 1.0 0.0 1.6 3.0 1.0	màà-rà	màà-rà	m aː ¹ ( - + r a ¹ )	build	3	m aː ¹ + r a ¹	màà-rà	0	4 7 8 9 5 7 8	880	AXT_AXT	3.M.C 3.A.V 3.6.T 3._._ 3.R.C 3.A.V 3.6.T	construire	1840	Bangime	MA6_RA6	BUILD	Jamsay
955	2.0 1.5 0.8 0.0 1.5 1.75 0.8	mah-ude	mahude	m a !- ( h + u d e )	build	18	m a h + u d e	mah-ude	0	4 7 3 9 7 1 7	880	AXN_XBZ	18.M.C 18.A.V 18.H.c 18._._ 18.Y.V 18.T.C 18.E.V	construire	1840	Fulfulde	MAH_YTE	BUILD	
956	3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	à-kēbē	à-kēbē	( a ¹ + ) k e ³ b !- e ³	build	21	a ¹ + k e ³ b e ³	à-kēbē	0	7 8 9 1 7 8 1 7 8	881	XT_AXTBYT	21.A.V 21.6.T 21._._ 21.K.C 21.E.V 21.6.T 21.P.C 21.E.V 21.6.T	construire	1840	Jenaama	A6_KE6PE6	BUILD	
957	1.6 3.0 1.0 1.1 0.5	mǎyⁿ	mǎyⁿ	m a ¹⁵ ( - j ∼ - - )	build (house)	35	m a ¹⁵ j ∼	mǎyⁿ	1	4 7 8 6 4	880	AXTLN	35.M.C 35.A.V 35.2.T 35.J.c 35.9.c	construire (maison)	1840	Toro_Tegu	MA2J9	BUILD	FUL
958	1.6 3.0 1.0 1.1 1.3 3.0 1.0	cɛ́wⁿɛ́	cɛ́wⁿɛ́	( - - - ) tʃ ɛ ⁵ w̃ ∼ ɛ ⁵	build (house)	5	tʃ ɛ ⁵ w̃ ∼ ɛ ⁵	cɛ́wⁿɛ́	0	1 7 8 6 4 7 8	881	AXTMBYT	5.T.C 5.E.V 5.6.T 5.W.c 5.9.C 5.E.V 5.6.T	construire (maison)	1840	Ben_Tey	TE6W9E6	BUILD	
959	1.6 3.0 1.0	má	má	m a ⁵ ( - - - - - )	build (house)	4	m a ⁵	má	0	4 7 8	880	AXT	4.M.C 4.A.V 4.6.T	construire (maison)	1840	Bankan_Tey	MA6	BUILD	FUL
960	1.6 3.0 1.0 1.3 3.0 1.0	kɛ́mɛ́	kɛ́mɛ́, kímɛ́	( - - - ) k ɛ ⁵ !- m ɛ ⁵	build (house)	24	k ɛ ⁵ m ɛ ⁵	kɛ́mɛ́	0	1 7 8 4 7 8	881	AXTBYT	24.K.C 24.E.V 24.6.T 24.M.C 24.E.V 24.6.T	construire (maison)	1840	Nanga	KE6ME6	BUILD	
961	1.6 3.0 1.0	mǎ:	mǎ:	m aː ¹⁵ ( - - - - - )	build (house)	26	m aː ¹⁵	mǎ:	0	4 7 8	880	AXT	26.M.C 26.A.V 26.2.T	construire (maison)	1840	Perge_Tegu	MA2	BUILD	FUL
962	3.0 1.0 1.3 3.0 1.0	újɔ́	újɔ́	u ⁵ dʒ ɔ ⁵	build (house)	32	u ⁵ dʒ ɔ ⁵	újɔ́	0	7 8 1 7 8	886	XTBYT	32.Y.V 32.6.T 32.T.C 32.U.V 32.6.T	construire (maison)	1840	Togo_Kan	Y6TU6	BUILD	
963	3.0 1.0 1.3 3.0 1.0	újɔ́	újɔ́-	u ⁵ dʒ ɔ ⁵	build (house)	37	u ⁵ dʒ ɔ ⁵	újɔ́	0	7 8 1 7 8	886	XTBYT	37.Y.V 37.6.T 37.T.C 37.U.V 37.6.T	construire (maison)	1840	Yorno_So	Y6TU6	BUILD	
964	3.0 1.0 1.3 3.0 1.0	údɔ́	údɔ́	u ⁵ d ɔ ⁵	build (house)	33	u ⁵ d ɔ ⁵	údɔ́	0	7 8 1 7 8	886	XTBYT	33.Y.V 33.6.T 33.T.C 33.U.V 33.6.T	construire (maison)	1840	Tommo_So	Y6TU6	BUILD	
965	3.0 1.0 1.3 3.0 1.0	úsɛ̀	úsɛ̀	u ⁵ s ɛ ¹	build (house)	16	u ⁵ s ɛ ¹	úsɛ̀	0	7 8 3 7 8	886	XTBYT	16.Y.V 16.6.T 16.S.C 16.E.V 16.6.T	construire (maison)	1840	Dogul_Dom	Y6SE6	BUILD	
966	3.0 1.0 1.1 1.3 3.0 1.0	ɔ́ndú	ɔ́ndú (ɔ́ndú-tì-)	ɔ ⁵ n d u ⁵	build (house)	30	ɔ ⁵ n d u ⁵	ɔ́ndú	0	7 8 4 1 7 8	890	XTMBYT	30.U.V 30.6.T 30.N.c 30.T.C 30.Y.V 30.6.T	construire (maison)	1840	Tebul_Ure	U6NTY6	BUILD	
967	3.0 1.0 1.1 1.3 3.0 1.0	ɔ́nzɔ́	ɔ́nzɔ́	ɔ ⁵ n z ɔ ⁵	build (house)	36	ɔ ⁵ n z ɔ ⁵	ɔ́nzɔ́	0	7 8 4 3 7 8	890	XTMBYT	36.U.V 36.6.T 36.N.c 36.S.C 36.U.V 36.6.T	construire (maison)	1840	Yanda_Dom	U6NSU6	BUILD	
968	3.0 1.0 1.1 1.3 3.0 1.0	ɔ́njɛ́	ɔ́njɛ́	ɔ ⁵ n dʒ ɛ ⁵	build (house)	23	ɔ ⁵ n dʒ ɛ ⁵	ɔ́njɛ́	0	7 8 4 1 7 8	890	XTMBYT	23.U.V 23.6.T 23.N.c 23.T.C 23.E.V 23.6.T	construire (maison)	1840	Najamba	U6NTE6	BUILD	
969	1.6 3.0 1.0 1.3 3.0 1.0	símì	símì	s i ⁵ m i ¹	build (house)	15	s i ⁵ m i ¹	símì	0	3 7 8 4 7 8	884	AXTBYT	15.S.C 15.I.V 15.6.T 15.M.C 15.I.V 15.6.T	construire (maison)	1840	Bunoge	SI6MI6	BUILD	
970	3.0 1.0 1.3 3.0 1.0	ùdɔ́	ùdɔ́	u ¹ d ɔ ⁵	build (house)	17	u ¹ d ɔ ⁵	ùdɔ́	0	7 8 1 7 8	886	XTBYT	17.Y.V 17.6.T 17.T.C 17.U.V 17.6.T	construire (maison)	1840	Donno_So	Y6TU6	BUILD	
971	3.0 1.0 1.1 1.3 3.0 1.0	únjó	máyó (Boui), únjó (Ningo)	u ⁵ n dʒ o ⁵	build (house)	31	u ⁵ n dʒ o ⁵	únjó	0	7 8 4 1 7 8	890	XTMBYT	31.Y.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	construire (maison)	1840	Tiranige_Diga	Y6NTU6	BUILD	
972	1.6 3.0 1.0 1.3 3.0 1.0	símɛ́	símɛ́	s i ⁵ m ɛ ⁵	build (house)	25	s i ⁵ m ɛ ⁵	símɛ́	0	3 7 8 4 7 8	884	AXTBYT	25.S.C 25.I.V 25.6.T 25.M.C 25.E.V 25.6.T	construire (maison)	1840	Penange	SI6ME6	BUILD	
973	1.6 3.0 1.0	mǎ:	mǎ:	m aː ¹⁵ ( - - - - - )	build (house)	20	m aː ¹⁵	mǎ:	0	4 7 8	880	AXT	20.M.C 20.A.V 20.2.T	construire (maison)	1840	Jamsay	MA2	BUILD	FUL
974	1.6 3.0 1.0 1.3 3.0 1.0	télé	télé	t e ⁵ l e ⁵	a) [tr] build (a wall)	28	t e ⁵ l e ⁵	télé	0	1 7 8 5 7 8	894	AXTBYT	28.T.C 28.E.V 28.6.T 28.L.C 28.E.V 28.6.T	construire (un mur) [noun tèl-ò ]	1840	Songhai_Senni	TE6LE6	BUILD	
975	1.6 3.0 1.0 1.3 3.0 1.0	tàgá	tàgá	t a ¹ ɡ a ⁵	a) [tr] build (a wall)	13	t a ¹ ɡ a ⁵	tàgá	0	1 7 8 1 7 8	883	AXTBYT	13.T.C 13.A.V 13.6.T 13.K.C 13.A.V 13.6.T	construire, forger	1840	Bozo_Tiema_Cewe	TA6KA6	BUILD	
