ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	VALUE	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA	ALIGNMENT
3159	bury (sb)	enterrer (qn)	Penange_Pinia	Penange (Pinia)	díŋgé	díŋgé	d i ⁵ ŋ ɡ e ⁵	bury	enterrer	life/death.bury	vie/mort.enterrer	1719	BURY	di⁵ŋɡe⁵	d i ⁵ ŋɡ e ⁵
#															
81604	butt (sb, with head)	donner un coup de tête à (qn)	Donno_So	Donno So	dɔ̀njɔ́	dɔ̀njɔ́	d ɔ ¹ n j ɔ ⁵	butt	frapper	hit.butt	frapper.coup de tête		!BUTT	dɔ¹njɔ⁵	d ɔ ¹ nj ɔ ⁵
81605	butt (sb, with head)	donner un coup de tête à (qn)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	dɔ̀ɲɔ́	dɔ̀ɲɔ́	d ɔ ¹ ɲ ɔ ⁵	butt	frapper	hit.butt	frapper.coup de tête		!BUTT	dɔ¹ɲɔ⁵	d ɔ ¹ ɲ ɔ ⁵
81615	butt (sb, with head)	donner un coup de tête à (qn)	Tiranige_Boui	Tiranige (Boui, JH)	búndó	búndó	b u ⁵ n d o ⁵	butt	frapper	hit.butt	frapper.coup de tête		!BUTT	bu⁵ndo⁵	b u ⁵ nd o ⁵
81616	butt (sb, with head)	donner un coup de tête à (qn)	Mombo_Songho	Mombo (Songho, KP)	kò: ǹdà ńdɛ́	kò:_ǹdà_ńdɛ́	k oː ¹ _ n ¹ d a ¹ _ n ⁵ d ɛ ⁵	butt	frapper	hit.butt	frapper.coup de tête		!BUTT	koː¹_n¹da¹_n⁵dɛ⁵	k oː ¹ n - ¹ + d a ¹ n ⁵ d ɛ ⁵
81618	butt (sb, with head)	donner un coup de tête à (qn)	Penange_Pinia	Penange (Pinia)	gɛ́njɛ́	gɛ́njɛ́	ɡ ɛ ⁵ n j ɛ ⁵	butt	frapper	hit.butt	frapper.coup de tête		!BUTT	ɡɛ⁵njɛ⁵	ɡ ɛ ⁵ nj ɛ ⁵
#															
67762	buy, purchase	acheter	Donno_So	Donno So	ɛ́bɛ̀	ɛ́bɛ̀	ɛ ⁵ b ɛ ¹	buy, purchase	acheter	commerce.buy	commerce.acheter	1869	BUY	ɛ⁵bɛ¹	- ɛ ⁵ b ɛ ¹
67763	buy, purchase	acheter	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	ɛ́wɛ́	ɛ́wɛ́	ɛ ⁵ w ɛ ⁵	buy, purchase	acheter	commerce.buy	commerce.acheter	1869	BUY	ɛ⁵wɛ⁵	- ɛ ⁵ w ɛ ⁵
67774	buy, purchase	acheter	Tiranige_Boui	Tiranige (Boui, JH)	dɔ́nɔ́	dɔ́nɔ́	d ɔ ⁵ n ɔ ⁵	buy, purchase	acheter	commerce.buy	commerce.acheter	1869	BUY	dɔ⁵nɔ⁵	d ɔ ⁵ n ɔ ⁵
67775	buy, purchase	acheter	Mombo_Songho	Mombo (Songho, KP)	swɛ́:	swɛ́:	s w ɛː ⁵	buy, purchase	acheter	commerce.buy	commerce.acheter	1869	BUY	swɛː⁵	sw ɛː ⁵ 
67777	buy, purchase	acheter	Penange_Pinia	Penange (Pinia)	sɔ́gɛ́	sɔ́gɛ́	s ɔ ⁵ ɡ ɛ ⁵	buy, purchase	acheter	commerce.buy	commerce.acheter	1869	BUY	sɔ⁵ɡɛ⁵	s ɔ ⁵ ɡ ɛ ⁵
#															
116	calf	veau	Donno_So	Donno So	nàŋà-î:	nàŋà-î:	n a ¹ ŋ a ¹ + iː ⁵¹	calf	veau	animal.cattle	animal.bovin	1989	CALF	na¹ŋa¹+iː⁵¹	n a ¹ ŋ a ¹ + iː ⁵¹
117	calf	veau	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	nàŋ-î:ⁿ	nàŋ-î:ⁿ	n a ¹ ŋ + ĩː ∼ ⁵¹	calf	veau	animal.cattle	animal.bovin	1989	CALF	na¹ŋ+ĩː∼⁵¹	n a ¹ ŋ ĩː∼ ⁵¹
122	calf	veau	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	nàŋà-dòmbè	nàŋà-dòmbè	n a ¹ ŋ a ¹ + d o ¹ m b e ¹	calf	veau	animal.cattle	animal.bovin	1989	CALF	na¹ŋa¹+do¹mbe¹	n a ¹ ŋ a ¹ + d o ¹ + mb e ¹
128	calf	veau	Mombo_Songho	Mombo (Songho, KP)	nà: wé:	nà:_wé:	n aː ¹ _ w eː ⁵	calf	veau	animal.cattle	animal.bovin	1989	CALF	naː¹_weː⁵	n aː ¹ w eː ⁵
130	calf	veau	Penange_Pinia	Penange (Pinia)	nà: wê:	nà:_wê:	n aː ¹ _ w eː ⁵¹	calf	veau	animal.cattle	animal.bovin	1989	CALF	naː¹_weː⁵¹	n aː ¹ w eː ⁵¹
#															
5315	calf (of leg)	mollet	Donno_So	Donno So	tɔ̀dɔ́	tɔ̀dɔ́	t ɔ ¹ d ɔ ⁵	calf (leg)	mollet	body.leg	corps.jambe	498	CALF OF LEG	tɔ¹dɔ⁵	t ɔ ¹ d ɔ ⁵
5316	calf (of leg)	mollet	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	tì-tɔ̀jú	tì-tɔ̀jú	t i ¹ + t ɔ ¹ j u ⁵	calf (leg)	mollet	body.leg	corps.jambe	498	CALF OF LEG	ti¹+tɔ¹ju⁵	t i ¹ t ɔ ¹ + j u ⁵ 
5322	calf (of leg)	mollet	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	kùbà-tɔ̀jù	kùbà-tɔ̀jù	k u ¹ b a ¹ + t ɔ ¹ j u ¹	calf (leg)	mollet	body.leg	corps.jambe	498	CALF OF LEG	ku¹ba¹+tɔ¹ju¹	k u ¹ b a ¹ + t ɔ ¹ + j u ¹ 
5329	calf (of leg)	mollet	Tiranige_Boui	Tiranige (Boui, JH)	tɔ̀jɔ̀	tɔ̀jɔ̀	t ɔ ¹ j ɔ ¹	calf (leg)	mollet	body.leg	corps.jambe	498	CALF OF LEG	tɔ¹jɔ¹	t ɔ ¹ j ɔ ¹
5330	calf (of leg)	mollet	Mombo_Songho	Mombo (Songho, KP)	tódyè	tódyè	t o ⁵ d j e ¹	calf (leg)	mollet	body.leg	corps.jambe	498	CALF OF LEG	to⁵dje¹	t o ⁵ d + j e ¹ 
#															
62499	call (sb, to come), summon, convoke (sb)	appeler (qn, à venir), convoquer (qn)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	bɔ̀rⁿɔ́	bɔ̀rⁿɔ́	b ɔ ¹ r̃ ∼ ɔ ⁵	call, summon, convoke	appeler, convoquer	talk.call	parole.appeler	1084	CALL	bɔ¹r̃∼ɔ⁵	b ɔ ¹ r̃∼ ɔ ⁵
62511	call (sb, to come), summon, convoke (sb)	appeler (qn, à venir), convoquer (qn)	Tiranige_Boui	Tiranige (Boui, JH)	yá:ndó	yá:ndó	j aː ⁵ n d o ⁵	call, summon, convoke	appeler, convoquer	talk.call	parole.appeler	1084	CALL	jaː⁵ndo⁵	j aː ⁵ nd o ⁵
62512	call (sb, to come), summon, convoke (sb)	appeler (qn, à venir), convoquer (qn)	Mombo_Songho	Mombo (Songho, KP)	yálé	yálé	j a ⁵ l e ⁵	call, summon, convoke	appeler, convoquer	talk.call	parole.appeler	1084	CALL	ja⁵le⁵	j a ⁵ l e ⁵
62514	call (sb, to come), summon, convoke (sb)	appeler (qn, à venir), convoquer (qn)	Penange_Pinia	Penange (Pinia)	yálé	yálé	j a ⁵ l e ⁵	call, summon, convoke	appeler, convoquer	talk.call	parole.appeler	1084	CALL	ja⁵le⁵	j a ⁵ l e ⁵
#															
88359	carry (sth, on one's head)	porter (qch, à la tête)	Donno_So	Donno So	dùyy-ɛ́:-	dùyy-ɛ́:-	d u ¹ j j + ɛː ⁵	carry on head	porter à la tête	carry/load.carry (on head)	porter/charger.porter (sur la tête)	412	CARRY IN HAND	du¹jj+ɛː⁵	d u ¹ j - - + j ɛː ⁵ 
88360	carry (sth, on one's head)	porter (qch, à la tête)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	dě:	dě:	d eː ¹⁵	carry on head	porter à la tête	carry/load.carry (on head)	porter/charger.porter (sur la tête)	412	CARRY IN HAND	deː¹⁵	d eː ¹⁵ 
88372	carry (sth, on one's head)	porter (qch, à la tête)	Tiranige_Boui	Tiranige (Boui, JH)	dú-yɔ́	dú-yɔ́	d u ⁵ + j ɔ ⁵	carry on head	porter à la tête	carry/load.carry (on head)	porter/charger.porter (sur la tête)	412	CARRY IN HAND	du⁵+jɔ⁵	d u ⁵ - - - + j ɔ ⁵ 
88373	carry (sth, on one's head)	porter (qch, à la tête)	Mombo_Songho	Mombo (Songho, KP)	dúyɛ̂:	dúyɛ̂:	d u ⁵ j ɛː ⁵¹	carry on head	porter à la tête	carry/load.carry (on head)	porter/charger.porter (sur la tête)	412	CARRY IN HAND	du⁵jɛː⁵¹	d u ⁵ - - - + j ɛː ⁵¹ 
88375	carry (sth, on one's head)	porter (qch, à la tête)	Penange_Pinia	Penange (Pinia)	dú-yɛ́	dú-yɛ́	d u ⁵ + j ɛ ⁵	carry on head	porter à la tête	carry/load.carry (on head)	porter/charger.porter (sur la tête)	412	CARRY IN HAND	du⁵+jɛ⁵	d u ⁵ - - - + j ɛ ⁵ 
#															
82024	carve (wood)	tailler (bois)	Donno_So	Donno So	lábà	lábà	l a ⁵ b a ¹	carve	tailler	cut.carve	couper.tailler	228	CARVE	la⁵ba¹	l a ⁵ b a ¹
82025	carve (wood)	tailler (bois)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	lɔ́wɔ́	lɔ́wɔ́	l ɔ ⁵ w ɔ ⁵	carve	tailler	cut.carve	couper.tailler	228	CARVE	lɔ⁵wɔ⁵	l ɔ ⁵ w ɔ ⁵
82037	carve (wood)	tailler (bois)	Tiranige_Boui	Tiranige (Boui, JH)	yáyó	yáyó	j a ⁵ j o ⁵	carve	tailler	cut.carve	couper.tailler	228	CARVE	ja⁵jo⁵	j a ⁵ j o ⁵
82038	carve (wood)	tailler (bois)	Mombo_Songho	Mombo (Songho, KP)	símbúlè	símbúlè	s i ⁵ m b u ⁵ l e ¹	carve	tailler	cut.carve	couper.tailler	228	CARVE	si⁵mbu⁵le¹	s i ⁵ mb u ⁵ + l e ¹
82040	carve (wood)	tailler (bois)	Penange_Pinia	Penange (Pinia)	yáyé	yáyé	j a ⁵ j e ⁵	carve	tailler	cut.carve	couper.tailler	228	CARVE	ja⁵je⁵	j a ⁵ j e ⁵
#															
26483	cassava	manioc	Donno_So	Donno So	bànàŋkù tànná	bànàŋkù_tànná	b a ¹ n a ¹ ŋ k u ¹ _ t a ¹ n n a ⁵	cassava	manioc	plant (cultivated).root crop	plante (cultivée).racine cultivée	925	CASSAVA	ba¹na¹ŋku¹_ta¹nna⁵	b a ¹ n a ¹ + ŋk u ¹ + t a ¹ n a ⁵
26484	cassava	manioc	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	bàlàkù:ⁿ-béré	bàlàkù:ⁿ-béré	b a ¹ l a ¹ k ũː ∼ ¹ + b e ⁵ r e ⁵	cassava	manioc	plant (cultivated).root crop	plante (cultivée).racine cultivée	925	CASSAVA	ba¹la¹kũː∼¹+be⁵re⁵	b a ¹ l a ¹ + k ũː∼ ¹ + b e ⁵ r e ⁵
26497	cassava	manioc	Tiranige_Boui	Tiranige (Boui, JH)	bànáŋ-kú:	bànáŋ-kú:	b a ¹ n a ⁵ ŋ + k uː ⁵	cassava	manioc	plant (cultivated).root crop	plante (cultivée).racine cultivée	925	CASSAVA	ba¹na⁵ŋ+kuː⁵	b a ¹ n a ⁵ + ŋk uː ⁵ 
26498	cassava	manioc	Mombo_Songho	Mombo (Songho, KP)	bálá kû:ⁿ	bálá_kû:ⁿ	b a ⁵ l a ⁵ _ k ũː ∼ ⁵¹	cassava	manioc	plant (cultivated).root crop	plante (cultivée).racine cultivée	925	CASSAVA	ba⁵la⁵_kũː∼⁵¹	b a ⁵ l a ⁵ k ũː∼ ⁵¹ 
26500	cassava	manioc	Penange_Pinia	Penange (Pinia)	dàlmà-yògó	dàlmà-yògó	d a ¹ l m a ¹ + j o ¹ ɡ o ⁵	cassava	manioc	plant (cultivated).root crop	plante (cultivée).racine cultivée	925	CASSAVA	da¹lma¹+jo¹ɡo⁵	d a ¹ lm a ¹ + j o ¹ + ɡ o ⁵
#															
71	cat	chat	Donno_So	Donno So	gámmà	gámmà	ɡ a ⁵ m m a ¹	cat	chat	animal.cat	animal.chat	1208	CAT	ɡa⁵mma¹	ɡ a ⁵ m: a ¹
72	cat	chat	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	nì-nìwⁿé	nì-nìwⁿé	n i ¹ + n i ¹ w̃ ∼ e ⁵	cat	chat	animal.cat	animal.chat	1208	CAT	ni¹+ni¹w̃∼e⁵	n i ¹ n i ¹ + w̃∼ e ⁵ 
78	cat	chat	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	dòndò	dòndò	d o ¹ n d o ¹	cat	chat	animal.cat	animal.chat	1208	CAT	do¹ndo¹	d o ¹ nd o ¹
86	cat	chat	Tiranige_Boui	Tiranige (Boui, JH)	gà:nà	gà:nà	ɡ aː ¹ n a ¹	cat	chat	animal.cat	animal.chat	1208	CAT	ɡaː¹na¹	ɡ aː ¹ n a ¹
87	cat	chat	Mombo_Songho	Mombo (Songho, KP)	gà:wⁿě	gà:wⁿě	ɡ aː ¹ w̃ ∼ e ¹⁵	cat	chat	animal.cat	animal.chat	1208	CAT	ɡaː¹w̃∼e¹⁵	ɡ aː ¹ w̃∼ e ¹⁵
89	cat	chat	Penange_Pinia	Penange (Pinia)	gà:ⁿ	gà:ⁿ	ɡ ãː ∼ ¹	cat	chat	animal.cat	animal.chat	1208	CAT	ɡãː∼¹	ɡ ãː∼ ¹ 
#															
60550	catch, take hold of (sth)	attraper (qch)	Donno_So	Donno So	ágà	ágà	a ⁵ ɡ a ¹	catch	attraper	take/get.pick up/catch	prendre/obtenir.prendre/attraper	2021	GRASP	a⁵ɡa¹	a ⁵ ɡ a ¹
60551	catch, take hold of (sth)	attraper (qch)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	á:	á:	aː ⁵	catch	attraper	take/get.pick up/catch	prendre/obtenir.prendre/attraper	2021	GRASP	aː⁵	aː ⁵
60562	catch, take hold of (sth)	attraper (qch)	Tiranige_Boui	Tiranige (Boui, JH)	íwó (Boui), íbó (Ningo)	íwó	i ⁵ w o ⁵	catch	attraper	take/get.pick up/catch	prendre/obtenir.prendre/attraper	2021	GRASP	i⁵wo⁵	i ⁵ w o ⁵
60563	catch, take hold of (sth)	attraper (qch)	Mombo_Songho	Mombo (Songho, KP)	ímbé	ímbé	i ⁵ m b e ⁵	catch	attraper	take/get.pick up/catch	prendre/obtenir.prendre/attraper	2021	GRASP	i⁵mbe⁵	- i ⁵ mb e ⁵
60565	catch, take hold of (sth)	attraper (qch)	Penange_Pinia	Penange (Pinia)	ímbé (ɲ-)	ímbé	i ⁵ m b e ⁵	catch	attraper	take/get.pick up/catch	prendre/obtenir.prendre/attraper	2021	GRASP	i⁵mbe⁵	- i ⁵ mb e ⁵
#															
9150	cause (sb) to sit, have (sb) sit, seat (sb)	faire asseoir (qn)	Donno_So	Donno So	dàɲɲ-ɛ̀:-mɔ́	dàɲɲ-ɛ̀:-mɔ́	d a ¹ ɲ ɲ + ɛː ¹ + m ɔ ⁵	sit, seat (verb)	asseoir	body position.sit	position du corps.asseoir	2878	SEAT (SOMEBODY)	da¹ɲɲ+ɛː¹+mɔ⁵	d a ¹ ɲ: ɛː ¹ + m ɔ ⁵ 
9151	cause (sb) to sit, have (sb) sit, seat (sb)	faire asseoir (qn)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	dè:né, dìŋì-wⁿé	dè:né	d eː ¹ n e ⁵	sit, seat (verb)	asseoir	body position.sit	position du corps.asseoir	2878	SEAT (SOMEBODY)	deː¹ne⁵	d eː ¹ n e ⁵
9163	cause (sb) to sit, have (sb) sit, seat (sb)	faire asseoir (qn)	Tiranige_Boui	Tiranige (Boui, JH)	ów-ró, ów-yó-m(ú)	ów-ró	o ⁵ w + r o ⁵	sit, seat (verb)	asseoir	body position.sit	position du corps.asseoir	2878	SEAT (SOMEBODY)	o⁵w+ro⁵	- o ⁵ wr o ⁵
9164	cause (sb) to sit, have (sb) sit, seat (sb)	faire asseoir (qn)	Mombo_Songho	Mombo (Songho, KP)	dá:yⁿámì	dá:yⁿámì	d aː ⁵ j ∼ a ⁵ m i ¹	sit, seat (verb)	asseoir	body position.sit	position du corps.asseoir	2878	SEAT (SOMEBODY)	daː⁵j∼a⁵mi¹	d aː ⁵ j̃∼ a ⁵ + m i ¹ 
9166	cause (sb) to sit, have (sb) sit, seat (sb)	faire asseoir (qn)	Penange_Pinia	Penange (Pinia)	dá:-ndè	dá:-ndè	d aː ⁵ + n d e ¹	sit, seat (verb)	asseoir	body position.sit	position du corps.asseoir	2878	SEAT (SOMEBODY)	daː⁵+nde¹	d aː ⁵ nd e ¹
#															
43423	cave (hole or horizontal fracture in cliff)	grotte (trou ou fracture horizontale dans une falaise)	Donno_So	Donno So	kɔ̀mmɔ́	kɔ̀mmɔ́	k ɔ ¹ m m ɔ ⁵	cave	grotte	hole.cavity	trou.cavité	1155	CAVE	kɔ¹mmɔ⁵	k ɔ ¹ m: ɔ ⁵
43424	cave (hole or horizontal fracture in cliff)	grotte (trou ou fracture horizontale dans une falaise)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	kóm, tùmò-kóm	kóm	k o ⁵ m	cave	grotte	hole.cavity	trou.cavité	1155	CAVE	ko⁵m	k o ⁵ m - -
43434	cave (hole or horizontal fracture in cliff)	grotte (trou ou fracture horizontale dans une falaise)	Tiranige_Boui	Tiranige (Boui, JH)	kówⁿ	kówⁿ	k o ⁵ w̃ ∼	cave	grotte	hole.cavity	trou.cavité	1155	CAVE	ko⁵w̃∼	k o ⁵ w̃∼ - -
43435	cave (hole or horizontal fracture in cliff)	grotte (trou ou fracture horizontale dans une falaise)	Mombo_Songho	Mombo (Songho, KP)	pɛ̀gɔ̀ kíbá	pɛ̀gɔ̀_kíbá	p ɛ ¹ ɡ ɔ ¹ _ k i ⁵ b a ⁵	cave	grotte	hole.cavity	trou.cavité	1155	CAVE	pɛ¹ɡɔ¹_ki⁵ba⁵	p ɛ ¹ ɡ ɔ ¹ + k i ⁵ b a ⁵ 
43437	cave (hole or horizontal fracture in cliff)	grotte (trou ou fracture horizontale dans une falaise)	Penange_Pinia	Penange (Pinia)	sɔ́ŋgɔ́	sɔ́ŋgɔ́	s ɔ ⁵ ŋ ɡ ɔ ⁵	cave	grotte	hole.cavity	trou.cavité	1155	CAVE	sɔ⁵ŋɡɔ⁵	s ɔ ⁵ ŋɡ ɔ ⁵
#															
6407	cheek	joue	Donno_So	Donno So	ènnè-ènné	ènnè-ènné	e ¹ n n e ¹ + e ¹ n n e ⁵	cheek	joue	body.face	corps.visage	1730	CHEEK	e¹nne¹+e¹nne⁵	- e ¹ n: e ¹ + - e ¹ n e ⁵ 
6408	cheek	joue	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	bùsùmó, légé	bùsùmó	b u ¹ s u ¹ m o ⁵	cheek	joue	body.face	corps.visage	1730	CHEEK	bu¹su¹mo⁵	b u ¹ s u ¹ m o ⁵ 
6414	cheek	joue	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	tògú	tògú	t o ¹ ɡ u ⁵	cheek	joue	body.face	corps.visage	1730	CHEEK	to¹ɡu⁵	t o ¹ ɡ u ⁵
6421	cheek	joue	Tiranige_Boui	Tiranige (Boui, JH)	ɛ̀:	ɛ̀:	ɛː ¹	cheek	joue	body.face	corps.visage	1730	CHEEK	ɛː¹	- ɛː ¹ 
6422	cheek	joue	Mombo_Songho	Mombo (Songho, KP)	tégámó	tégámó	t e ⁵ ɡ a ⁵ m o ⁵	cheek	joue	body.face	corps.visage	1730	CHEEK	te⁵ɡa⁵mo⁵	t e ⁵ ɡ a ⁵ m o ⁵ 
6424	cheek	joue	Penange_Pinia	Penange (Pinia)	kégél-yè	kégél-yè	k e ⁵ ɡ e ⁵ l + j e ¹	cheek	joue	body.face	corps.visage	1730	CHEEK	ke⁵ɡe⁵l+je¹	k e ⁵ ɡ e ⁵ l + j e ¹ 
#															
3929	chest (body)	poitrine	Donno_So	Donno So	jèɲɲé	jèɲɲé	j e ¹ ɲ ɲ e ⁵	chest	poitrine	body.torso	corps.torse	1592	CHEST	je¹ɲɲe⁵	j e ¹ ɲː e ⁵
3930	chest (body)	poitrine	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	gɔ̀ŋɔ́	gɔ̀ŋɔ́	ɡ ɔ ¹ ŋ ɔ ⁵	chest	poitrine	body.torso	corps.torse	1592	CHEST	ɡɔ¹ŋɔ⁵	ɡ ɔ ¹ ŋ ɔ ⁵
3941	chest (body)	poitrine	Tiranige_Boui	Tiranige (Boui, JH)	bémbé	bémbé	b e ⁵ m b e ⁵	chest	poitrine	body.torso	corps.torse	1592	CHEST	be⁵mbe⁵	b e ⁵ mb e ⁵
3942	chest (body)	poitrine	Mombo_Songho	Mombo (Songho, KP)	gɔ̂:ⁿ	gɔ̂:ⁿ	ɡ ɔ̃ː ∼	chest	poitrine	body.torso	corps.torse	1592	CHEST	ɡɔ̃ː∼	ɡ ɔ̃ː∼ ⁵¹ 
3944	chest (body)	poitrine	Penange_Pinia	Penange (Pinia)	gɔ̀:ⁿ	gɔ̀:ⁿ	ɡ ɔ̃ː ∼	chest	poitrine	body.torso	corps.torse	1592	CHEST	ɡɔ̃ː∼	ɡ ɔ̃ː∼ ¹ 
#															
1585	chicken	poulet	Donno_So	Donno So	ènjé	ènjé	e ¹ n j e ⁵	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	e¹nje⁵	- e ¹ nj e ⁵ 
1586	chicken	poulet	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	ɛ̀ɲɛ́	ɛ̀ɲɛ́	ɛ ¹ ɲ ɛ ⁵	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	ɛ¹ɲɛ⁵	 ɛ ¹ ɲ ɛ ⁵ 
1593	chicken	poulet	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	kùgò	kùgò	k u ¹ ɡ o ¹	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	ku¹ɡo¹	k u ¹ ɡ o ¹ 
1601	chicken	poulet	Tiranige_Boui	Tiranige (Boui, JH)	sìjá	sìjá	s i ¹ j a ⁵	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	si¹ja⁵	s i ¹ j a ⁵ 
1602	chicken	poulet	Mombo_Songho	Mombo (Songho, KP)	síjà	síjà	s i ⁵ j a ¹	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	si⁵ja¹	s i ⁵ j a ¹ 
1604	chicken	poulet	Penange_Pinia	Penange (Pinia)	sírgà	sírgà	s i ⁵ r ɡ a ¹	chicken	poulet	chicken.chicken	poulet.poulet	1318	CHICKEN	si⁵rɡa¹	s i ⁵ rɡ a ¹ 
#															
1886	child	enfant	Donno_So	Donno So	î:	î:	iː ⁵¹	child	enfant	person.child	personne.enfant	2099	CHILD	iː⁵¹	- iː ⁵¹ 
1887	child	enfant	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	î-n	î-n	i ⁵¹ + n	child	enfant	person.child	personne.enfant	2099	CHILD	i⁵¹+n	- i ⁵¹ n
1894	child	enfant	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	ʔì:ⁿ	ʔì:ⁿ	ʔ ĩː ∼ ¹	child	enfant	person.child	personne.enfant	2099	CHILD	ʔĩː∼¹	ʔ ĩː∼ ¹ 
1902	child	enfant	Tiranige_Boui	Tiranige (Boui, JH)	bé:	bé:	b eː ⁵	child	enfant	person.child	personne.enfant	2099	CHILD	beː⁵	b eː ⁵ 
1903	child	enfant	Mombo_Songho	Mombo (Songho, KP)	wê:	wê:	w eː ⁵¹	child	enfant	person.child	personne.enfant	2099	CHILD	weː⁵¹	w eː ⁵¹ 
1906	child	enfant	Penange_Pinia	Penange (Pinia)	wè:	wè:	w eː ¹	child	enfant	person.child	personne.enfant	2099	CHILD	weː¹	w eː ¹ 
#															
6431	chin	menton	Donno_So	Donno So	bɛ̂:	bɛ̂:	b ɛː ⁵¹	chin	menton	body.face	corps.visage	1510	CHIN	bɛː⁵¹	b ɛː ⁵¹ 
6432	chin	menton	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	bɛ̌w	bɛ̌w	b ɛ ¹⁵ w	chin	menton	body.face	corps.visage	1510	CHIN	bɛ¹⁵w	b ɛ ¹⁵ w
6437	chin	menton	Tomo_Kan_Diangassagou	Tomo Kan (Diangassagou)	byà:-dòndè	byà:-dòndè	b j aː ¹ + d o ¹ n d e ¹	chin	menton	body.face	corps.visage	1510	CHIN	bjaː¹+do¹nde¹	bj aː ¹ d o ¹ + nd e ¹
6444	chin	menton	Tiranige_Boui	Tiranige (Boui, JH)	yéná	yéná	j e ⁵ n a ⁵	chin	menton	body.face	corps.visage	1510	CHIN	je⁵na⁵	j e ⁵ n a ⁵ 
6445	chin	menton	Mombo_Songho	Mombo (Songho, KP)	bé:ⁿ	bé:ⁿ	b ẽː ∼ ⁵	chin	menton	body.face	corps.visage	1510	CHIN	bẽː∼⁵	b ẽː∼ ⁵ 
6447	chin	menton	Penange_Pinia	Penange (Pinia)	dɔ́mjɔ̀	dɔ́mjɔ̀	d ɔ ⁵ m j ɔ ¹	chin	menton	body.face	corps.visage	1510	CHIN	dɔ⁵mjɔ¹	d ɔ ⁵ m j ɔ ¹
#															
82078	chop down, cut down (tree, with ax)	abattre (arbre, avec hache)	Donno_So	Donno So	lǹmbò-gòló	lǹmbò-gòló	l n ¹ m b o ¹ + ɡ o ¹ l o ⁵	chop down	couper, abattre	cut.chop	couper.couper à la hache	355	CUT DOWN	ln¹mbo¹+ɡo¹lo⁵	l n ¹ mb o ¹ + ɡ o ¹ l o ⁵
82079	chop down, cut down (tree, with ax)	abattre (arbre, avec hache)	Jamsay_Douentza_area)	Jamsay (Douentza area, JH)	tɛ́rɛ́	tɛ́rɛ́	t ɛ ⁵ r ɛ ⁵	chop down	couper, abattre	cut.chop	couper.couper à la hache	355	CUT DOWN	tɛ⁵rɛ⁵	t ɛ ⁵ r ɛ ⁵
82089	chop down, cut down (tree, with ax)	abattre (arbre, avec hache)	Tiranige_Boui	Tiranige (Boui, JH)	dɛ́ŋɔ́	dɛ́ŋɔ́	d ɛ ⁵ ŋ ɔ ⁵	chop down	couper, abattre	cut.chop	couper.couper à la hache	355	CUT DOWN	dɛ⁵ŋɔ⁵	d ɛ ⁵ ŋ - ɔ ⁵ - - -
82090	chop down, cut down (tree, with ax)	abattre (arbre, avec hache)	Mombo_Songho	Mombo (Songho, KP)	kɛ́rɛ́	kɛ́rɛ́	k ɛ ⁵ r ɛ ⁵	chop down	couper, abattre	cut.chop	couper.couper à la hache	355	CUT DOWN	kɛ⁵rɛ⁵	k ɛ ⁵ r ɛ ⁵
