ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	SEMFIELD_CODE	REFERENCE	OCCURRENCE
1496	1496	spread out, separate (legs, arms)	étendre (jambes, bras)	spread	65.0.3.0.8.0	3340.0	17
1497	1497	beside me, next to me	à côté de moi	beside	66.0.2.0.2.0	3351.0	17
1498	1498	behind you-Sg	derrière toi	behind	66.0.4.0.3.0	3361.0	17
1499	1499	in the rear, in back	par derrière, à l'arrière	behind	66.0.4.0.5.0	3363.0	17
1500	1500	(rope) become tight, taut	(corde) devenir serré	tight (rope)	67.0.1.0.5.0	3384.0	17
1501	1501	(rope) become loose, slack	(corde) devenir lâche, desserré	loose, slack	67.0.2.0.2.0	3391.0	17
1502	1502	loosen, slacken (rope)	détendre, relâcher (corde)	loosen, slacken	67.0.2.0.3.0	3392.0	17
1503	1503	(e.g. courtyard) become (more) spacious	(cour etc.) devenir (plus) spacieux	spacious, roomy	67.0.3.0.2.0	3402.0	17
1504	1504	(e.g. door) is open	(porte etc.) est ouvert	open (door)	68.0.1.0.2.0	3413.0	17
1505	1505	(e.g. door) close, be shut	(porte etc.) se fermer, ê. fermé	shut, close	68.0.3.0.3.0	3440.0	17
1506	1506	grow up	grandir	grow up	69.0.1.0.5.0	3460.0	17
1507	1507	(e.g. belly) swell	(ventre) ê. gonflé	swell	69.0.5.0.1.0	3491.0	17
1508	1508	lengthen (sth)	allonger, rendre plus long (qch)	lengthen	69.0.6.0.3.0	3502.0	17
1509	1509	tall person	personne de haute taille	tall	69.0.7.0.2.0	3508.0	17
1510	1510	depth (of hole or well)	profondeur (de trou, de puits)	depth	69.0.9.0.5.0	3541.0	17
1511	1511	(tire) be punctured, have a flat	(pneu) crever	puncture, hole	70.0.3.0.4.0	3602.0	17
1512	1512	make a hole (in wooden handle, to insert pointed back of blade)	faire un trou (dans un manche en bois, afin d'insérer le derrière pointu de la lame)	make hole	70.0.3.0.7.0	3605.0	17
1513	1513	later, afterward	plus tard, après	later, afterward	71.0.5.0.5.0	3636.0	17
1514	1514	until (time)	jusqu'à (temps)	until	71.0.6.0.2.0	3641.0	17
1515	1515	Monday	lundi	monday	74.0.2.0.1.0	3766.0	17
1516	1516	Tuesday	mardi	tuesday	74.0.3.0.1.0	3767.0	17
1517	1517	Wednesday	mercredi	wednesday	74.0.4.0.1.0	3768.0	17
1518	1518	Thursday	jeudi	thursday	74.0.5.0.1.0	3769.0	17
1519	1519	Friday	vendredi	friday	74.0.6.0.1.0	3770.0	17
1520	1520	Sunday	dimanche	sunday	74.0.8.0.1.0	3772.0	17
1521	1521	end, limit	fin, bout, limite	end	77.0.4.0.8.0	3822.0	17
1522	1522	grandfather (possessed)	grand-père (possessif)	grandfather	78.0.6.0.2.0	3861.0	17
1523	1523	grandmother	grand-mère	grandmother	78.0.6.0.3.0	3862.0	17
1524	1524	grandmother (possessed)	grand-mère (possessif)	grandmother	78.0.6.0.5.0	3864.0	17
1525	1525	son	fils (parenté)	son	78.0.9.0.5.0	3889.0	17
1526	1526	daughter	fille (parenté)	daughter	78.0.9.0.6.0	3890.0	17
1527	1527	sister's child	enfant de la sœur	nephew, niece	78.0.9.0.7.0	3891.0	17
1528	1528	sister's child (possessed)	enfant de la sœur (possessif)	nephew, niece	78.0.9.0.8.0	3892.0	17
1529	1529	father- or mother-in-law (possessed)	beau-père ou belle-mère (possessif)	parent-in-law	78.0.19.0.9.0	3936.0	17
1530	1530	meeting, gathering	réunion, rassemblement	meeting, gathering	80.0.3.0.4.0	4013.0	17
1531	1531	trust, have trust in (sb)	avoir confiance en (qn)	trust	80.0.5.0.2.0	4027.0	17
1532	1532	Bambara	bambara	bambara	81.0.4.0.1.0	4060.0	17
1533	1533	European (white person)	européen (blanc)	european, white	81.0.10.0.1.0	4080.0	17
1534	1534	go out and welcome, go out to receive (a visitor)	aller accueillir (un étranger)	welcome	83.0.3.0.1.0	4125.0	17
1535	1535	honor, esteem, treat with great respect (sb)	honorer, considérer hautement (qn)	esteem, regard, honor	84.0.1.0.2.0	4132.0	17
1536	1536	traditional chief, Hogon	chef traditionnel, hogon	chief, hogon	85.0.1.0.2.0	4161.0	17
1537	1537	master (of slave)	maître (d'un esclave)	master	85.0.3.0.1.0	4177.0	17
1538	1538	strong, powerful	fort, puissant	strong, powerful	86.0.1.0.5.0	4197.0	17
1539	1539	authorities, government	(le) Pouvoir, (les) autorités, gouvernement	authority, government	86.0.7.0.2.0	4235.0	17
1540	1540	zakat, Islamic tithe (alms tax, paid at the beginning of a new Islamic year)	zakat, dîme musulmane (aumône obligatoire payée au début d'une nouvelle année islamique)	tithe, zakat	87.0.9.0.2.0	4309.0	17
1541	1541	perform the pilgrimage to Mecca	faire le pèlerinage à la Mecque	pilgrimage	87.0.10.0.1.0	4312.0	17
1542	1542	holy day, religious holiday	fête (religieuse)	holy day	87.0.11.0.2.0	4316.0	17
1543	1543	(sorceror) cast (a spell)	(sorcier) jeter (un sort)	cast spell	88.0.2.0.2.0	4366.0	17
1544	1544	evil spell (cast on sb)	sort maléfique (jeté sur qn)	spell	88.0.2.0.3.0	4367.0	17
1545	1545	cast a spell on, bewitch, use black magic on (sb)	jeter un sort à, ensorceler (qn)	cast spell, bewitch	88.0.2.0.6.0	4370.0	17
1546	1546	circumcise (boy)	circoncire (garçon)	circumcise	90.0.1.0.2.0	4433.0	17
1547	1547	play the native board game	jouer au jeu traditionnel à pions	board game	92.0.3.0.1.0	4505.0	17
1548	1548	native board game played with wild-date pits on a wooden board with twelve holes	jeu traditionnel joué avec des noyaux de datte sauvage sur une planche de bois à 12 trous	board game	92.0.3.0.2.0	4506.0	17
1549	1549	tickle (sb) 	chatouiller (qn)	tickle	92.0.5.0.1.0	4513.0	17
1550	1550	wrestle (sb)	faire la lutte traditionnelle contre (qn)	wrestle	92.0.6.0.3.0	4517.0	17
1551	1551	cylindrical tomtom carried on hip with a shoulder strap, wooden or metal sides, beaten with one or two simple sticks or curved tapsticks	tam-tam cylindrique porté à la hanche, côtés en bois ou en métal, suspendu par une corde sur l'épaule, battu avec un ou deux bâtonnets simples ou courbés	tomtom	93.0.2.0.5.0	4542.0	17
1552	1552	wood or bamboo flute with several holes (e.g. of Rimaibe people)	flûte en bois ou en bambou à plusieurs trous (par ex., des rimaïbé)	flute	93.0.5.0.3.0	4555.0	17
1553	1553	long Hogon's horn (made from a hollowed antilope horn, blown to call people to a meeting)	long cor de hogon (à base d'une corne creuse d'antilope, on le faisait sonner pour convoquer les gens à une réunion)	horn (music)	93.0.6.0.1.0	4557.0	17
1554	1554	incite, provoke, egg on (sb, e.g. to fight)	inciter (qn, par ex. à une bagarre)	incite, provoke, instigate	94.0.8.0.1.0	4616.0	17
1555	1555	lie in wait for (animal, enemy)	guetter (animal, ennemi)	stalk, lie in wait	94.0.9.0.2.0	4620.0	17
1556	1556	long straight fighting knife (strap of sheath slung over the shoulder)	long couteau droit à lutter (dans un fourreau à sangle qu'on porte sur l'épaule)	knife	95.0.5.0.2.0	4663.0	17
1557	1557	slingshot	lance-pierres	slingshot	95.0.7.0.1.0	4672.0	17
1558	1558	bullet	balle (de fusil)	bullet	95.0.12.0.1.0	4695.0	17
1559	1559	sulfur (used with gunpowder)	soufre (pour la poudre à fusil)	sulfur, sulphur	95.0.13.0.4.0	4700.0	17
1560	1560	barrel of rifle	canon de fusil	barrel	95.0.15.0.6.0	4711.0	17
1561	1561	ramrod (inserted into gun barrel)	baguette de fusil (introduite dans le canon)	ramrod	95.0.15.0.8.0	4713.0	17
1562	1562	fine (penalty)	amende	fine	96.0.2.0.2.0	4756.0	17
1563	1563	rob (sb)	voler, dérober (qn)	rob, steal	96.0.4.0.2.0	4762.0	17
1564	1564	trick, ruse, stratagem	ruse, stratagème	trick, ruse, stratagem	96.0.7.0.1.0	4778.0	17
1565	1565	render a legal judgement, decide a case	rendre un jugement, juger un cas	decide, judge	97.0.3.0.3.0	4786.0	17
1566	1566	confine, lock up (sb, in prison)	enfermer (qn, en prison)	confine, lock up	97.0.10.0.2.0	4810.0	17
1567	1567	handcuffs	menottes	handcuff	97.0.11.0.2.0	4813.0	17
1568	1568	be sick	ê. malade, souffrir	sick	98.0.1.0.4.0	4822.0	17
1569	1569	sick person, (medical) patient	personne malade	sick	98.0.1.0.7.0	4825.0	17
1570	1570	tire out (sb), cause to suffer	fatiguer, faire souffrir (qn)	tire, suffer	98.0.2.0.4.0	4829.0	17
1571	1571	(sb) be wounded	(qn) ê. blessé	wound	98.0.4.0.5.0	4839.0	17
1572	1572	(e.g. shoulder) get out of joint, be dislocated	(épaule etc.) ê. luxé, sortir (de son articulation)	dislocate	98.0.5.0.2.0	4850.0	17
1573	1573	epilepsy, having fits (convulsions)	épilepsie, convulsions	epilepsy, fit, seizure, convulsion	98.0.13.0.6.0	4879.0	17
1574	1574	goiter (swollen thyroid due to iodine deficiency)	goitre (thyroïde gonflée due à l'insuffisance d'iode)	goiter	98.0.13.0.8.0	4881.0	17
1575	1575	headache	mal de tête	headache	98.0.14.0.4.0	4899.0	17
1576	1576	blister (on skin)	ampoule (sur la peau)	blister	98.0.16.0.1.0	4915.0	17
1577	1577	take (sth) (general word)	prendre (qch) (mot général)	take	100.0.3.0.2.0	5033.0	17
1578	1578	sb who has or is characterized by (sth)	qn qui a ou qui est caractérisé par (qch)	owner	101.0.3.0.1.0	5076.0	17
1579	1579	tea-making gear (burner, kettle, etc.)	matériel à thé (fourneau, théière, etc.)	tea gear	101.0.11.0.1.0	5102.0	17
1580	1580	plead (verb only)	quémander (verbe seulement)	plead, beg	102.0.7.0.4.0	5135.0	17
1581	1581	make a promise, promise (sth, to sb)	faire une promesse, promettre (qch, à qn)	promise	102.0.10.0.5.0	5153.0	17
1582	1582	congratulate (sb)	féliciter (qn)	congratulate	102.0.11.0.8.0	5164.0	17
1583	1583	entrust (sb, sth) to God	confier (qch, qn) à Dieu	entrust	102.0.11.0.9.0	5165.0	17
1584	1584	news (of sb)	nouvelles (de qn)	news	102.0.16.0.3.0	5198.0	17
1585	1585	description, definition (of sb or sth)	description, définition (de qn ou de qch)	description	102.0.17.0.3.0	5210.0	17
1586	1586	here/there (he/she/it is!)	(le/la) voilà/voici!	here's	103.0.2.0.1.0	5258.0	17
1587	1587	(clause-final emphatic particle. confirming)	(particule d'emphase en fin d'énoncé, pour confirmer)	emphatic	103.0.4.0.3.0	5271.0	17
1588	1588	twelve	douze	12.0	109.0.4.0.2.0	5400.0	17
1589	1589	thirteen	treize	13.0	109.0.4.0.3.0	5401.0	17
1590	1590	fifteen	quinze	15.0	109.0.4.0.4.0	5402.0	17
1591	1591	count, recite numbers	compter, réciter les numéros	count	109.0.8.0.1.0	5409.0	17
1592	1592	count (things), recite (numbers)	compter (des objets), réciter (numéros)	count	109.0.8.0.2.0	5410.0	17
1593	1593	count (noun), counting	compte, fait de compter	count	109.0.8.0.3.0	5411.0	17
1594	1594	a lot, a large quantity	beaucoup, une grande quantité	much, a lot	111.0.1.0.3.0	5431.0	17
1595	1595	everything	tout, le tout	everything	111.0.7.0.4.0	5459.0	17
1596	1596	half (of a split peanut etc.)	moitié (d'une noix fendue d'arachide etc.)	half	111.0.13.0.3.0	5503.0	17
1597	1597	(amount) be left over, remain	(quantité) rester, ê. ce qui reste	remain	111.0.18.0.2.0	5520.0	17
1598	1598	make small bunches (e.g. of peanuts, for sale)	faire de petits tas (d'arachides, etc., pour la vente)	bunch, pile	112.0.1.0.1.0	5534.0	17
1599	1599	bunch, small pile (minimal unit of sale, e.g. of peanuts)	petit tas (unité de vente, d'arachides etc.)	bunch, pile	112.0.1.0.3.0	5536.0	17
1600	1600	expensive	cher (couteux)	expensive	113.0.9.0.1.0	5589.0	17
1601	1601	profit, gain (noun)	bénéfice	profit, gain	113.0.14.0.2.0	5616.0	17
1602	1602	poverty	pauvreté	poverty	114.0.3.0.1.0	5636.0	17
1603	1603	contribute (money), pay (dues)	cotiser, contribuer (argent)	contribute	114.0.5.0.2.0	5645.0	17
1604	1604	dues, ante, one's share of a group payment	cotisation	dues	114.0.5.0.3.0	5646.0	17
1605	1605	engage in studies, be a student, go to school	ê. étudiant, faire des études	study	116.0.2.0.1.0	5692.0	17
1606	1606	think (of or about sth)	penser à, réfléchir (autour de qn)	think	116.0.6.0.3.0	5707.0	17
1607	1607	patience	patience	patience	117.0.5.0.4.0	5786.0	17
1608	1608	I am happy	je suis content, heureux	happy	117.0.12.0.1.0	5832.0	17
1609	1609	I pity him	j'ai pitié de lui	pity	117.0.17.0.1.0	5854.0	17
1610	1610	pity (noun)	pitié	pity	117.0.17.0.3.0	5856.0	17
1611	1611	be ashamed (e.g. of an action)	avoir honte (par ex., d'un acte)	shame	117.0.24.0.1.0	5895.0	17
1612	1612	mirror	miroir	mirror	119.0.14.0.1.0	6031.0	17
1613	1613	I lost a sheep	j'ai perdu un mouton	lose	121.0.1.0.3.0	6050.0	17
1614	1614	inheritance, legacy	héritage, legs	inheritance, legacy	121.0.5.0.3.0	6072.0	17
1615	1615	make noise, be noisy	faire du bruit	noise	122.0.2.0.2.0	6080.0	17
1616	1616	clap (verb only)	applaudir (verbe seulement)	clap, applaud	122.0.6.0.2.0	6122.0	17
1617	1617	applause, clapping	applaudissement	applause, clap	122.0.6.0.3.0	6123.0	17
1618	1618	give out a whistling sound (from the mouth)	lancer un sifflement (de la bouche)	whistle	122.0.7.0.1.0	6125.0	17
1619	1619	whistle (from the mouth) (verb only)	siffler (de la bouche) (verbe seulement)	whistle	122.0.7.0.2.0	6126.0	17
1620	1620	groan, moan (verb only)	gémir	groan, moan	122.0.9.0.2.0	6142.0	17
1621	1621	groaning, groan (noun)	gémissement	groan, moan	122.0.9.0.3.0	6143.0	17
1622	1622	deaf-mute, deaf person who communicates by gestures	sourd-muet, personne sourde qui communique avec des gestes	deaf, mute	122.0.15.0.1.0	6195.0	17
1623	1623	sniff, smell an odor	flairer, sentir une odeur	sniff	123.0.2.0.1.0	6223.0	17
1624	1624	unhobble, remove hobbling ropes from (quadruped)	désentraver, enlever les entraves de (quadrupède)	unhobble	125.0.2.0.3.0	6306.0	17
1625	1625	join, link (linear objects, at the ends)	lier (objets linéaires, aux bouts)	join, link, connect	125.0.3.0.1.0	6312.0	17
1626	1626	tie a knot	faire un nœud	tie knot	125.0.4.0.1.0	6327.0	17
1627	1627	knot	nœud	knot	125.0.4.0.2.0	6328.0	17
1628	1628	tie (knot)	faire (nœud)	tie knot	125.0.4.0.3.0	6329.0	17
1629	1629	make (simple cord, by rolling one's hand over the fibers to twist them together)	fabriquer (corde simple, en roulant la main sur les fibres afin de les tordre ensemble)	twist	125.0.8.0.2.0	6361.0	17
1630	1630	(e.g. stone, stick) be caught (e.g. wedged between tree branches)	(pierre, bâton, etc.) ê. attrapé (par ex., entre les branches d'un arbre)	hook, caught	126.0.2.0.2.0	6376.0	17
1631	1631	stop up, stuff, plug (e.g. a hole or crack in a wall)	boucher (par ex. un trou ou une fissure dans un mur)	stop up	126.0.6.0.1.0	6390.0	17
1632	1632	keep (sth) for oneself	garder (qch) pour soi-même	keep	127.0.6.0.1.0	6427.0	17
1633	1633	cover oneself (with blanket or sheet)	se couvrir (avec drap ou couverture)	cover	128.0.1.0.2.0	6436.0	17
1634	1634	lid (e.g. for water jar)	couvercle (de canari, etc.)	lid	128.0.3.0.1.0	6443.0	17
1635	1635	cover (calabash) with animal hide (to make a drum)	couvrir (calebasse) d'une peau d'animal (pour faire un tamtam)	cover	128.0.4.0.1.0	6449.0	17
1636	1636	unsheathe, draw out (knife, saber)	dégainer, enlever de son fourreau (couteau, sabre)	unsheathe	128.0.6.0.3.0	6455.0	17
1637	1637	stir (milk, sauce) by rotating a stirring-stick	remuer (lait, sauce) en faisant tourner un bâtonnet à remuer	stir	129.0.2.0.2.0	6470.0	17
1638	1638	churn (butter) in a goatskin or a gourd	baratter (beurre) dans une outre ou dans une gourde	churn	129.0.5.0.1.0	6476.0	17
1639	1639	shake off (wet garment, dusty object)	nettoyer en secouant, épousseter (vêtement mouillé, objet couvert de poussière)	shake off	129.0.7.0.2.0	6480.0	17
1640	1640	tangle (e.g. rope) up	enchevêtrer, mélanger (corde etc.) dans le désordre	tangle	129.0.9.0.1.0	6510.0	17
1641	1641	untangle (sth tangled or disordered)	désenchevêtrer (objet enchevêtré ou mélangé)	untangle	129.0.10.0.1.0	6513.0	17
1642	1642	lean on (cane), push down on (stick)	s'appuyer sur (canne), appuyer sur (bâton)	lean	130.0.1.0.2.0	6515.0	17
1643	1643	press against, push on or against (sth) with one's hand	appuyer contre, pousser contre (qch) avec la main	press	130.0.2.0.2.0	6522.0	17
1644	1644	brush against, graze (sth)	effleurer, frôler (qch)	brush, graze	132.0.1.0.2.0	6581.0	17
1645	1645	(sb) coil up, roll up (rope)	(qn) enrouler (corde)	coil, roll	133.0.3.0.1.0	6630.0	17
1646	1646	unroll, roll out (mat)	désenrouler (natte)	unroll, roll out	133.0.4.0.3.0	6636.0	17
1647	1647	trash, garbage	ordures	trash	134.0.3.0.1.0	6655.0	17
1648	1648	pick up (individual pieces of trash)	prendre (morceaux individuels d'ordures)	pick up	134.0.5.0.1.0	6658.0	17
1649	1649	read (sth)	lire (qch)	read	135.0.3.0.1.0	6670.0	17
1650	1650	traditional soluble ink (used by holy men and by koranic school pupils)	encre soluble traditionelle (utilisée par les marabouts, et par les élèves d'école coranique)	ink	135.0.7.0.1.0	6681.0	17
1651	1651	draw lines by hand (in the sand)	tracer des lignes avec la main (dans le sable)	draw line	135.0.8.0.1.0	6683.0	17
1652	1652	draw (a line)	tracer (ligne)	draw, trace	135.0.8.0.2.0	6684.0	17
1653	1653	punch, slug (sb)	boxer (qn), donner un coup de poign à (qn)	punch	136.0.5.0.1.0	6725.0	17
1654	1654	poke with one's finger or fingers moving laterally (person to wake him up, ear to dislodge wax)	donner des coups avec le bout d'un doigt ou de plusieurs doigts en mouvement latéral (qn pour le réveiller, l'oreille pour en enlever la cire)	poke	136.0.6.0.2.0	6731.0	17
1655	1655	remove foot from (sth that one has put one's foot on)	enlever le pied de (qch sur lequel on avais posé le pied)	tread, step on	136.0.8.0.3.0	6741.0	17
1656	1656	chop (meat), cut (meat) with chopping (not slicing) motion	couper (viande) d'un coup vertical	chop	137.0.3.0.7.0	6767.0	17
1657	1657	incise, make a long straight surface cut in the skin or surface of (sth, sb)	inciser, faire une longue coupure droite dans la peau ou la surface de	incise	137.0.5.0.1.0	6779.0	17
1658	1658	split (kola nut) in half	fendre (noix de cola) en deux	halve, split	137.0.10.0.5.0	6797.0	17
1659	1659	peel (fruit, gingerroot) with knife	éplucher, peler (fruit, gingembre) avec un couteau	peel	137.0.12.0.1.0	6808.0	17
1660	1660	granulate (sth), break up, cause to crumble	défaire (qch) en miettes ou en grains, émietter	break up, crumble	138.0.3.0.1.0	6827.0	17
1661	1661	(bird, quadruped) scratch or paw the ground	(oiseau, quadrupède) gratter le sol	paw, scratch	139.0.1.0.3.0	6883.0	17
1662	1662	scour, scrape (e.g. pot)	récurer, racler (marmite etc.)	scrape, scour	139.0.4.0.1.0	6889.0	17
1663	1663	file (sth, with a metal file)	limer (qch)	file	139.0.6.0.1.0	6894.0	17
1664	1664	hold (sth) by pinching it (with tweezers, etc.)	tenir (qch) en le pinçant (avec une pince etc.)	pinch, hold	140.0.1.0.1.0	6896.0	17
1665	1665	pinch (e.g. a child) painfully on the skin with one's fingernails	pincer la peau de (un enfant, etc.) avec les ongles pour lui faire mal	pinch	140.0.1.0.5.0	6900.0	17
1666	1666	sharp-pointed tool (general term)	pointe, alêne, poinçon (tout implément pointu)	point, awl	144.0.1.0.1.0	6977.0	17
1667	1667	small harvesting knife with wooden handle on back of blade (pushed into base of millet or sorghum grain spike)	couteau à récolter, avec manche en bois (poussé dans la base de l'épi de mil ou de sorgho)	knife	145.0.1.0.2.0	6992.0	17
1668	1668	ax for mortars with sharp bend in middle of handle, the end of which fits into the sleeved back of a narrow and slightly curved blade, for carving the interior of mortars with vertical strokes, also used for carving out apiaries in tree trunks	hache à mortiers, à manche tordu dont le bout est recouvert par l'étui de l'arrière de la lame, qui est étroite et légèrement courbée, sert à tailler l'intérieur des mortiers, aussi à tailler les apiaires dans le tronc des arbres	ax (sleeved)	145.0.7.0.6.0	7009.0	17
1669	1669	make a trip, travel (to another village or town)	voyager (à un autre village ou ville)	trip, voyage	146.0.1.0.7.0	7022.0	17
1670	1670	cause to enter, put inside	faire entrer, introduire	enter, go in	146.0.8.0.2.0	7065.0	17
1671	1671	cause to go out	faire sortir	exit, go out	146.0.9.0.2.0	7068.0	17
1672	1672	(hairs) fall out	(cheveux) se détacher et tomber	fall off	146.0.11.0.2.0	7079.0	17
1673	1673	turn (e.g. jar, calabash, basket) upside down	renverser (qch), mettre le dessus dessous	flip, turn over, upside-down	146.0.16.0.3.0	7115.0	17
1674	1674	follow (sb, sth)	suivre (qch, qn)	follow	146.0.23.0.1.0	7140.0	17
1675	1675	cause to follow	faire suivre	follow	146.0.23.0.3.0	7142.0	17
1676	1676	get oneself ready to go	s'apprêter à partir	ready, prepare	146.0.25.0.1.0	7159.0	17
1677	1677	(a) step, stride	(un) pas	step	146.0.29.0.7.0	7194.0	17
1678	1678	bring or take out (of a container, pocket, etc.)	sortir (qch, d'un récipient ou d'une poche)	take out	147.0.4.0.1.0	7250.0	17
1679	1679	carry (bag, rifle) by slinging strap over one's shoulder	porter (sac, fusil) à l'épaule en bandoulière 	carry	148.0.2.0.4.0	7268.0	17
1680	1680	rag rolled up as a cushion for a load carried on head	chiffon enroulé posé sur la tête sous une charge	cushion	148.0.5.0.1.0	7277.0	17
1681	1681	unload	décharger	unload	148.0.6.0.8.0	7285.0	17
1682	1682	(well) cave in	(puits) s'effondrer	cave in	149.0.3.0.1.0	7315.0	17
1683	1683	(house) collapse, fall	(maison) s'effondrer, s'écrouler	collapse	149.0.3.0.3.0	7317.0	17
1684	1684	knock (sb) down	terrasser (qn)	knock down	149.0.7.0.1.0	7334.0	17
1685	1685	pour (hot water, tea, coffee) into glass	verser (eau chaude, thé, café) dans un verre	pour	149.0.8.0.1.0	7359.0	17
1686	1686	pour out, spill (liquid)	verser à terre (liquide)	pour, spill	149.0.8.0.9.0	7367.0	17
1687	1687	motor vehicle (truck, bus, car)	véhicule, voiture (camion, car, voiture)	vehicle	150.0.1.0.1.0	7372.0	17
1688	1688	motorcyle	motociclette	motorcycle	150.0.1.0.3.0	7374.0	17
1689	1689	bicycle	vélo	bicycle	150.0.2.0.1.0	7375.0	17
1690	1690	boat (skiff)	pirogue	boat	150.0.4.0.1.0	7378.0	17
1691	1691	airplane	avion	airplane	150.0.5.0.1.0	7381.0	17
1692	1692	superimpose (verb only)	superposer (verbe seulement)	put on, superimpose	151.0.3.0.1.0	7401.0	17
1693	1693	(artisan, craftsman, factory) make, manufacture (e.g. bed, radio)	(artisan, usine) fabriquer (lit, radio, etc.)	make, manufacture	152.0.1.0.6.0	7424.0	17
1694	1694	dye-er (as a trade, mainly with indigo)	teinturier (de métier, surtout avec l'indigo)	dye-er	152.0.6.0.2.0	7457.0	17
1695	1695	wood gatherer	bûcheron, ramasseur de bois	wood gatherer	152.0.6.0.7.0	7462.0	17
1696	1696	do forging, do a blacksmith's work	forger, faire le travail de forgeron	forge	154.0.1.0.1.0	7476.0	17
1697	1697	hammer (with straight wooden handle)	marteau (à manche droit en bois)	hammer	154.0.7.0.1.0	7497.0	17
1698	1698	remove hairs from (animal hide) by plucking the hairs using the thumb and forefinger	épiler (peau d'animal) en pinçant les poils entre le pouce et l'index	depilate, dehair	156.0.1.0.3.0	7508.0	17
1699	1699	clean thing	chose propre	clean	157.0.1.0.4.0	7517.0	17
1700	1700	dirty	sale	dirty	157.0.3.0.1.0	7523.0	17
1701	1701	wash (pots, knives, etc.)	laver (marmites, couteaux, etc.)	wash	158.0.2.0.3.0	7543.0	17
1702	1702	scrub (wet clothing, in washing) such that two surfaces of the garment rub together back and forth	frotter (vêtement mouillé, en faisant le linge) de sorte que deux surfaces du vêtement se frottent dans les deux sens	scrub	158.0.3.0.3.0	7548.0	17
1703	1703	scrubber (for bathing)	frottoir (pour le bain)	scrubber	158.0.4.0.1.0	7553.0	17
1704	1704	rinse (pots, bowls)	rincer (marmites, vaisselle)	rinse	158.0.5.0.3.0	7556.0	17
1705	1705	blue	bleu	blue	160.0.5.0.3.0	7601.0	17
1706	1706	be or become rough, coarse	ê. ou devenir rugueux, coriace	rough, coarse	161.0.4.0.2.0	7654.0	17
1707	1707	measure (e.g. grain, in a container)	mesurer (céréales, etc., dans un récipient)	measure	165.0.3.0.1.0	7792.0	17
1708	1708	(passageway) become wide	(passage) devenir large	wide	166.0.4.0.2.0	7829.0	17
1709	1709	I am better than he	je vaux mieux que lui	better	169.0.2.0.1.0	7944.0	17
1710	1710	I am not better than he	je ne suis pas meilleur que lui	better	169.0.2.0.2.0	7945.0	17
1711	1711	become pretty, become beautiful	devenir joli	pretty, beautiful	169.0.3.0.2.0	7956.0	17
1712	1712	ugly	vilain, laid	ugly	169.0.13.0.1.0	8002.0	17
1713	1713	escape, get free	s'évader, s'échapper	escape	170.0.4.0.1.0	8024.0	17
1714	1714	damage, harm, malfunction (noun)	fait d'ê. gâté, dommage	damage, malfunction	171.0.1.0.1.0	8057.0	17
1715	1715	slow (adjective)	lent	slow	172.0.3.0.1.0	8094.0	17
1716	1716	yes!	oui!	yes	175.0.1.0.1.0	8172.0	17
1717	1717	no!	non!	no	175.0.2.0.1.0	8178.0	17
1718	1718	even...	même...	even	177.0.3.0.1.0	8213.0	17
1719	1719	it's possible	c'est possible	possible	177.0.8.0.1.0	8223.0	17
1720	1720	even if...	même si...	if	177.0.9.0.2.0	8231.0	17
1721	1721	(3Sg all-purpose subject pronominal)	(marque de sujet 3Sg)	3Sg subject	179.0.2.0.7.0	9608.0	17
1722	1722	(transitive verbal derivational suffix, often opposed to mediopassive)	(suffixe transitif du verbe, autres variantes entre parenthèses)	transitive	179.0.7.0.4.0	9665.0	17
1723	1723	(perfective negative suffix)	(suffixe de l'accompli négatif)	perfective negative	179.0.9.0.1.0	8179.0	17
1724	1724	(negative suffix or clitic after predicative adjective)	(suffixe ou enclitique négatif après adjectif prédicatif)	negative	179.0.11.0.5.0	8184.0	17
1725	1725	bull (castrated)	taureau (castré)	bull, ox	1.0.4.0.8.0	13.0	16
1726	1726	bull (uncastrated)	taureau (non castré)	bull	1.0.4.0.9.0	14.0	16
1727	1727	animal pen in a village (with mud-brick or stone walls)	parc d'animaux dans un village (avec des murs en banco ou en pierres)	pen	2.0.6.0.2.0	68.0	16
1728	1728	castrate (animal) by cutting	castrer (animal) en le coupant	castrate	2.0.8.0.2.0	82.0	16
1729	1729	chick	poussin	chick	5.0.1.0.2.0	130.0	16
1730	1730	unmarried woman	femme célibataire	young woman	6.0.6.0.3.0	165.0	16
1731	1731	raise, bring up (child, animal)	élever (enfant, animal)	raise, bring up	7.0.2.0.4.0	187.0	16
1732	1732	midwife	sage femme	midwife	8.0.3.0.1.0	215.0	16
1733	1733	(woman, female animal) become pregnant	(femme, animal femelle) devenir enceinte	pregnant	8.0.5.0.2.0	221.0	16
1734	1734	(animal that one could slaughter) die without being slaughtered (so it cannot be eaten by Muslims)	(animal qu'on pourrait égorger) crever, mourir sans ê. égorgé (de sorte que les musulmans ne peuvent pas le manger)	die	9.0.1.0.11.0	248.0	16
1735	1735	is he alive?	est-il en vie	be alive, live	9.0.18.0.2.0	300.0	16
1736	1736	hunchback (person)	bossu (personne)	hunchback	10.0.4.0.11.0	328.0	16
1737	1737	skull	crâne	skull	10.0.6.0.2.0	344.0	16
1738	1738	small intestine	intestin grêle	intestine	10.0.7.0.11.0	369.0	16
1739	1739	ankle	cheville	ankle	10.0.10.0.11.0	397.0	16
