ID	CONCEPT_IN_SOURCE	IPA	CONCEPT_FRENCH	CONCEPTICON_ID	DOCULECT	CONCEPT	BORROWINGS	TOKENS
1412	chin	waare	menton	1510	Fulfulde	CHIN		w a a r e
1413	chin	bɛ̌w	menton	1510	Jamsay	CHIN		b ɛ ¹⁵ w
1414	chin	bé:ⁿ	menton	1510	Mombo	CHIN		b ẽː ∼ ⁵
1415	chin	a᷈:	menton	1510	Najamba	CHIN		aː ¹⁵¹
1416	chin	ɔ̀:mbɔ̂	menton	1510	Nanga	CHIN		ɔː ¹ m b ɔ ⁵¹
1417	chin	dɔ́mjɔ̀	menton	1510	Penange	CHIN		d ɔ ⁵ m dʒ ɔ ¹
1418	chin	tò:nò	menton	1510	Songhai_Senni	CHIN		t oː ¹ n o ¹
1419	[n] chin // 	yàtàkà:bú	menton	1510	Songhai_Kiini	CHIN		j a ¹ t a ¹ k aː ¹ b u ⁵
1420	chin	bèyǎ:	menton	1510	Tebul_Ure	CHIN		b e ¹ j aː ¹⁵
1421	chin	yéná	menton	1510	Tiranige_Diga	CHIN		j e ⁵ n a ⁵
1422	chin	bɛ̀_dònó	menton	1510	Togo_Kan	CHIN		b ɛ ¹ _ d o ¹ n o ⁵
1423	chin	bɛ̀_bɛ̀ɛ́	menton	1510	Tommo_So	CHIN		b ɛ ¹ _ b ɛː ¹⁵
1424	chin	byà:_dòndè	menton	1510	Tomo_Kan	CHIN		b j aː ¹ _ d o ¹ n d e ¹
1425	chin	bɛ̌w	menton	1510	Toro_Tegu	CHIN		b ɛ ¹⁵ w
1426	chin	bìyà	menton	1510	Yanda_Dom	CHIN		b i ¹ j a ¹
1427	chin	bì-bɛ̌:	menton	1510	Yorno_So	CHIN		b i ¹ + b ɛː ¹⁵
1428	chin	bɛ̀ɛ́	menton	1510	Toro_So	CHIN		b ɛː ¹⁵
1429	cloud	ɔ̀rɔ̀	nuage	1489	Ampari	CLOUD		ɔ ¹ r ɔ ¹
1430	cloud	pōrò	nuage	1489	Bangime	CLOUD	Jamsay, Songhai	p o ³ r o ¹
1431	cloud	nànà:_rⁿǎyⁿ	nuage	1489	Bankan_Tey	CLOUD		n a ¹ n aː ¹ _ r̃ ∼ a ¹⁵ j ∼
1432	cloud	yàr_kùrɔ́	nuage	1489	Ben_Tey	CLOUD		j a ¹ r _ k u ¹ r ɔ ⁵
1433	cloud	tibiyaaⁿnuⁿ	nuage	1489	Bozo_Korondougou_nord	CLOUD		t i b i j a ã ∼ n ũ ∼
1434	cloud	kaba	nuage	1489	Bozo_Pondori_sud	CLOUD		k a b a
1435	cloud	póndù	nuage	1489	Bunoge	CLOUD		p o ⁵ n d u ¹
1436	cloud	dàgúŋ	nuage	1489	Dogul_Dom	CLOUD		d a ¹ ɡ u ⁵ ŋ
1437	cloud	ànàgù_lùmmɔ́	nuage	1489	Donno_So	CLOUD		a ¹ n a ¹ ɡ u ¹ _ l u ¹ m m ɔ ⁵
1438	cloud	duule-re	nuage	1489	Fulfulde	CLOUD		d u u l e + r e
1439	cloud	kùrùwɔ́	nuage	1489	Gourou	CLOUD		k u ¹ r u ¹ w ɔ ⁵
1440	cloud	kùrùwɔ́	nuage	1489	Jamsay	CLOUD		k u ¹ r u ¹ w ɔ ⁵
1441	cloud	pórō	nuage	1489	Jenaama	CLOUD		p o ⁵ r o ³
1442	cloud	álè	nuage	1489	Mombo	CLOUD		a ⁵ l e ¹
1443	cloud	kùndà_kùndǎ:	nuage	1489	Najamba	CLOUD		k u ¹ n d a ¹ _ k u ¹ n d aː ¹⁵
1444	cloud	yàr_kùmùrⁿá	nuage	1489	Nanga	CLOUD		j a ¹ r _ k u ¹ m u ¹ r̃ ∼ a ⁵
1445	cloud	àlè	nuage	1489	Penange	CLOUD		a ¹ l e ¹
1446	cloud	yàr_kù:_kúrɔ́	nuage	1489	Perge_Tegu	CLOUD		j a ¹ r _ k uː ¹ _ k u ⁵ r ɔ ⁵
1447	cloud	búrú	nuage	1489	Songhai_Kiini	CLOUD		b u ⁵ r u ⁵
1448	[n] cloud	búró	nuage -idiom: búr-éy dá:bú	1489	Songhai_Senni	CLOUD		b u ⁵ r o ⁵
1449	[n] cloud	qàbâ	nuages	1489	Soninke	CLOUD		q a ¹ b a ⁵¹
1450	[n] cloud	tábúllè	nuages	1489	Soninke	CLOUD		t a ⁵ b u ⁵ l l e ¹
1451	cloud	àrⁿà_kùrbá	nuage	1489	Tebul_Ure	CLOUD		a ¹ r̃ ∼ a ¹ _ k u ¹ r b a ⁵
1452	cloud	á:ní	nuage	1489	Tiranige_Diga	CLOUD		aː ⁵ n i ⁵
1453	cloud	kùrùgɔ́	nuage	1489	Togo_Kan	CLOUD		k u ¹ r u ¹ ɡ ɔ ⁵
1454	cloud	kùlùmmɔ́	nuage	1489	Tommo_So	CLOUD		k u ¹ l u ¹ m m ɔ ⁵
1455	cloud	kùrɔ́	nuage	1489	Toro_Tegu	CLOUD		k u ¹ r ɔ ⁵
1456	cloud	kùrù_bàrà	nuage	1489	Yanda_Dom	CLOUD		k u ¹ r u ¹ _ b a ¹ r a ¹
1457	cloud	kùlmɔ́	nuage	1489	Yorno_So	CLOUD		k u ¹ l m ɔ ⁵
1458	cloud	kùlùmɔ́	nuage	1490	Toro_So	CLOUD		k u ¹ l u ¹ m ɔ ⁵
1459	cold (e.g. water)	tàmà	froid, frais (eau, etc.)	1287	Ampari	COLD		t a ¹ m a ¹
1460	cold (n)	nɛ́nɛ́	froid	1287	Bambara	COLD		n ɛ ⁵ n ɛ ⁵
1461	cold, cool	ʤímbō	frois, frais	1287	Bangime	COLD	Bunoge	dʒ i ⁵ m b o ³
1462	cold (e.g. water)	tâm	froid, frais (eau, etc.)	1287	Bankan_Tey	COLD		t a ⁵¹ m
1463	cold (e.g. water)	tâm	froid, frais (eau, etc.)	1287	Ben_Tey	COLD		t a ⁵¹ m
1464	cold (n)	muuⁿ	froid	1287	Bozo_Debo	COLD		m u ũ ∼
1465	cold (n)	muⁿnuⁿ	froid	1287	Bozo_Hainyaxo	COLD		m ũ ∼ n ũ ∼
1466	cold (n)	muuⁿ	froid	1287	Bozo_Korondougou_nord	COLD		m u ũ ∼
1467	cold (n)	muuⁿ	froid	1287	Bozo_Korondougou_sud	COLD		m u ũ ∼
1468	cold (n)	muuⁿ	froid	1287	Bozo_Kotya	COLD		m u ũ ∼
1469	cold (n)	muuⁿ	froid	1287	Bozo_Pondori_nord	COLD		m u ũ ∼
1470	cold (n)	muuⁿ	froid	1287	Bozo_Pondori_sud	COLD		m u ũ ∼
1471	cold (n)	mura	froid	1287	Bozo_Tiema_Cewe	COLD		m u r a
1472	cold (n)	muⁿnaⁿnaⁿ	froid	1287	Bozo_Tieyaxo	COLD		m ũ ∼ n ã ∼ n ã ∼
1473	cold (e.g. water)	tòmbò	froid, frais (eau, etc.)	1287	Bunoge	COLD		t o ¹ m b o ¹
1474	cold (e.g. water)	kéllè-ŋ̀	froid, frais (eau, etc.)	1287	Dogul_Dom	COLD		k e ⁵ l l e ¹ + ŋ ¹
1475	cold (e.g. water)	kèllú	froid, frais (eau, etc.)	1287	Donno_So	COLD		k e ¹ l l u ⁵
1476	cold, cool	ɓuuɓol	frois, frais	1287	Fulfulde	COLD		ɓ u u ɓ o l
1477	cold (e.g. water)	tôm	froid, frais (eau, etc.)	1287	Jamsay	COLD		t o ⁵¹ m
1478	cold (n)	mù	(le) froid	1287	Jenaama	COLD		m u ¹
1479	cold (e.g. water)	kéló	froid, frais (eau, etc.)	1287	Mombo	COLD		k e ⁵ l o ⁵
1480	cold (e.g. water)	yégèlè	froid, frais (eau, etc.)	1287	Najamba	COLD		j e ⁵ ɡ e ¹ l e ¹
1481	cold (e.g. water)	támî	froid, frais (eau, etc.)	1287	Nanga	COLD		t a ⁵ m i ⁵¹
1482	cold (e.g. water)	tàyè	froid, frais (eau, etc.)	1287	Penange	COLD		t a ¹ j e ¹
1483	cold (e.g. water)	tôm	froid, frais (eau, etc.)	1287	Perge_Tegu	COLD		t o ⁵¹ m
1484	[n] coldness, winter	hàrgò	froid, hiver	1287	Songhai_Senni	COLD		h a ¹ r ɡ o ¹
1485	be cold	yéy	froid	1287	Songhai_Kiini	COLD		j e ⁵ j
1486	cold (n)	mùrá	être froid, être calme	1287	Soninke	COLD		m u ¹ r a ⁵
1487	cold (e.g. water)	cé:lè:	froid, frais (eau, etc.)	1287	Tebul_Ure	COLD		tʃ eː ⁵ l eː ¹
1488	cold (e.g. water)	témúm	froid, frais (eau, etc.)	1287	Tiranige_Diga	COLD		t e ⁵ m u ⁵ m
1489	cold (e.g. water)	kélú	froid, frais (eau, etc.)	1287	Togo_Kan	COLD		k e ⁵ l u ⁵
1490	cold (e.g. water)	yégélú	froid, frais (eau, etc.)	1287	Tommo_So	COLD		j e ⁵ ɡ e ⁵ l u ⁵
1491	cold (e.g. water)	tôm	froid, frais (eau, etc.)	1287	Toro_Tegu	COLD		t o ⁵¹ m
1492	cold (e.g. water)	kè:zù	froid, frais (eau, etc.)	1287	Yanda_Dom	COLD		k eː ¹ z u ¹
1493	cold (e.g. water)	kâ:l	froid, frais (eau, etc.)	1287	Yorno_So	COLD		k aː ⁵¹ l
1494	cold (e.g. water)	kàrú	froid, frais (eau, etc.)	1288	Toro_So	COLD		k a ¹ r u ⁵
1495	come	égò	venir	1446	Ampari	COME		e ⁵ ɡ o ¹
1496	come	nà	venir	1446	Bambara	COME		n a ¹
1497	come	nōò	venir	1446	Bangime	COME		n oː ³¹
1498	come	wɔ́	venir	1446	Bankan_Tey	COME		w ɔ ⁵
1499	come	yɛ̌	venir	1446	Ben_Tey	COME		j ɛ ¹⁵
1500	come	be	venir	1446	Bozo_Debo	COME		b e
1501	come	bie	venir	1446	Bozo_Hainyaxo	COME		b i e
1502	come	be	venir	1446	Bozo_Korondougou_nord	COME		b e
1503	come	be	venir	1446	Bozo_Korondougou_sud	COME		b e
1504	come	be	venir	1446	Bozo_Kotya	COME		b e
1505	come	be	venir	1446	Bozo_Pondori_nord	COME		b e
1506	come	be	venir	1446	Bozo_Pondori_sud	COME		b e
1507	come	be	venir	1446	Bozo_Tiema_Cewe	COME		b e
1508	come	be	venir	1446	Bozo_Tieyaxo	COME		b e
1509	come	ʔé-gè	venir	1446	Bunoge	COME		ʔ e ⁵ + ɡ e ¹
1510	come	mɛ̀-nɛ́	venir	1446	Dogul_Dom	COME		m ɛ ¹ + n ɛ ⁵
1511	come	waru-de	venir	1446	Fulfulde	COME		w a r u + d e
1512	come	yɛ̀-rɛ́	venir	1446	Gourou	COME		j ɛ ¹ + r ɛ ⁵
1513	come	yɛ̀-rɛ́	venir	1446	Jamsay	COME		j ɛ ¹ + r ɛ ⁵
1514	come	bē	venir	1446	Jenaama	COME		b e ³
1515	come	é-gé	venir	1446	Mombo	COME		e ⁵ + ɡ e ⁵
1516	come	wé	venir	1446	Najamba	COME		w e ⁵
1517	come	yě:	venir	1446	Nanga	COME		j eː ¹⁵
1518	come	wǎ:	venir	1446	Perge_Tegu	COME		w aː ¹⁵
1519	[intr] come, arrive (here)	kà	venir, arriver (ici)	1446	Songhai_Senni	COME		k a ¹
1520	[intr] come // 	kà:	venir 	1447	Songhai_Kiini	COME		k aː ¹
1521	come	wɔ̌:	venir	1446	Tebul_Ure	COME		w ɔː ¹⁵
1522	come	yó-gó	venir	1446	Tiranige_Diga	COME		j o ⁵ + ɡ o ⁵
1523	come	yɛ̀-rɛ́	venir	1446	Togo_Kan	COME		j ɛ ¹ + r ɛ ⁵
1524	come	yɛ̀-lɛ́	venir	1446	Tommo_So	COME		j ɛ ¹ + l ɛ ⁵
1525	come	yɛ̀-lɛ̀	venir	1446	Tomo_Kan	COME		j ɛ ¹ + l ɛ ¹
1526	come	yè-rú	venir	1446	Toro_Tegu	COME		j e ¹ + r u ⁵
1527	come	wó	venir	1446	Yanda_Dom	COME		w o ⁵
1528	come	wɛ̀-lɛ́	venir	1446	Yorno_So	COME		w ɛ ¹ + l ɛ ⁵
1529	come	wɛ́	venir	1447	Toro_So	COME		w ɛ ⁵
1530	[intr] come back	sègíⁿ	revenir, rentrer, redevenir	581	Bambara	COME BACK		s e ¹ ɡ ĩ ∼ ⁵
1531	go back, return	kùrú	retourner	581	Bambara	COME BACK		k u ¹ r u ⁵
1532	go back, return	wálákí	retourner	581	Bambara	COME BACK		w a ⁵ l a ⁵ k i ⁵
1533	go back, return	kɔ̄rɔ̀ŋkì	retourner	581	Bangime	COME BACK	Yanda_Dom, Bambara	k ɔ ³ r ɔ ¹ ŋ k i ¹
1534	go back, return	bìrí-yé	retourner	581	Bankan_Tey	COME BACK		b i ¹ r i ⁵ + j e ⁵
1535	go back, return	píní-wⁿú	retourner	581	Ben_Tey	COME BACK		p i ⁵ n i ⁵ + w̃ ∼ u ⁵
1536	go back, return	bíjí-lè	retourner	581	Bunoge	COME BACK		b i ⁵ dʒ i ⁵ + l e ¹
1537	go back, return	kìgì-lì-yé	retourner	581	Dogul_Dom	COME BACK		k i ¹ ɡ i ¹ + l i ¹ + j e ⁵
1538	go back, return	kígù-lè:	retourner	581	Donno_So	COME BACK		k i ⁵ ɡ u ¹ + l eː ¹
1539	go back, return	wirfu-de	retourner	581	Fulfulde	COME BACK		w i r f u + d e
1540	go back, return	pílí-wé	retourner	581	Jamsay	COME BACK		p i ⁵ l i ⁵ + w e ⁵
1541	go back, return	mbēwⁿ	retourner	581	Jenaama	COME BACK		m b e ³ w̃ ∼
1542	go back, return	kóndé	retourner	581	Mombo	COME BACK		k o ⁵ n d e ⁵
1543	go back, return	màmílí-yɛ́	retourner	581	Najamba	COME BACK		m a ¹ m i ⁵ l i ⁵ + j ɛ ⁵
1544	go back, return	bìndé	retourner	581	Nanga	COME BACK		b i ¹ n d e ⁵
1545	go back, return	újú-lè	retourner	581	Penange	COME BACK		u ⁵ dʒ u ⁵ + l e ¹
1546	go back, return	pílí-wé	retourner	581	Perge_Tegu	COME BACK		p i ⁵ l i ⁵ + w e ⁵
1547	[intr] come back	yèkà	revenir -evolve, develop (in some way)	581	Songhai_Senni	COME BACK		j e ¹ k a ¹
1548	come back	yéká	revenir	581	Songhai_Kiini	COME BACK		j e ⁵ k a ⁵
1549	go back, return	mì:lí:	retourner	581	Tebul_Ure	COME BACK		m iː ¹ l iː ⁵
1550	go back, return	báŋgílí-yó	retourner	581	Tiranige_Diga	COME BACK		b a ⁵ ŋ ɡ i ⁵ l i ⁵ + j o ⁵
1551	go back, return	kígì-rì	retourner	581	Togo_Kan	COME BACK		k i ⁵ ɡ i ¹ + r i ¹
1552	go back, return	kígí-lí-yé	retourner	581	Tommo_So	COME BACK		k i ⁵ ɡ i ⁵ + l i ⁵ + j e ⁵
1553	go back, return	bìrǐ-y	retourner	581	Toro_Tegu	COME BACK		b i ¹ r i ¹⁵ + j
1554	go back, return	kɔ́nɔ́	retourner	581	Yanda_Dom	COME BACK		k ɔ ⁵ n ɔ ⁵
1555	go back, return	ɡɔ̀nnɔ́	retourner	582	Toro_So	COME BACK		ɡ ɔ ¹ n n ɔ ⁵
1556	go back, return	kígí-límɔ́	retourner	581	Yorno_So	COME BACK		k i ⁵ ɡ i ⁵ + l i ⁵ m ɔ ⁵
1557	cotton	kùrá:ndè	coton	1850	Ampari	COTTON		k u ¹ r aː ⁵ n d e ¹
1558	cotton	nūɡò	coton	1850	Bangime	COTTON		n u ³ ɡ o ¹
1559	cotton	nàmú	coton	1850	Bankan_Tey	COTTON		n a ¹ m u ⁵
1560	cotton	nà:mbú	coton	1850	Ben_Tey	COTTON		n aː ¹ m b u ⁵
1561	cotton	kòtóllè	coton	1853	Bozo_Debo	COTTON		k o ¹ t o ⁵ l l e ¹
1562	cotton	kɔ́ɔ́rí	coton	1853	Bozo_Debo	COTTON		k ɔː ⁵ r i ⁵
1563	cotton	kɔ́:ndè	coton	1850	Bunoge	COTTON		k ɔː n d e ¹
1564	cotton	kɛ̀mnɛ̌y	coton	1850	Donno_So	COTTON		k ɛ ¹ m n ɛ ¹⁵ j
1565	cotton	haabu	coton	1850	Fulfulde	COTTON	SONG	h a a b u
1566	cotton	nà:mú	coton	1850	Gourou	COTTON		n aː ¹ m u ⁵
1567	cotton	nǎ:m	coton	1850	Jamsay	COTTON		n aː ¹⁵ m
1568	cotton	dé	coton	1850	Jenaama	COTTON		d e ⁵
1569	cotton	kɔ́:ndí	coton	1850	Mombo	COTTON		k ɔː n d i ⁵
1570	cotton	sá-gò	coton	1850	Najamba	COTTON		s a ⁵ + ɡ o ¹
1571	cotton	nà:mbí	coton	1850	Nanga	COTTON		n aː ¹ m b i ⁵
1572	cotton	kɔ́:ndè	coton	1851	Penange	COTTON		k ɔː n d e ¹
1573	cotton	nà:mbú	coton	1850	Perge_Tegu	COTTON		n aː ¹ m b u ⁵
1574	cotton	há:bú	coton	1850	Songhai_Kiini	COTTON	FUL	h aː ⁵ b u ⁵
1575	[n] cotton	hà:bò	coton	1850	Songhai_Senni	COTTON	FUL	h aː ¹ b o ¹
1576	cotton	cɛ̀mdɛ́	coton	1850	Tebul_Ure	COTTON		tʃ ɛ ¹ m d ɛ ⁵
1577	cotton	kɔ̀:ní	coton	1850	Tiranige_Diga	COTTON		k ɔː ¹ n i ⁵
1578	cotton	kɔ́nú	coton	1850	Togo_Kan	COTTON		k ɔ ⁵ n u ⁵
1579	cotton	kɛ̀ɲɲɛ́	coton	1850	Tommo_So	COTTON		k ɛ ¹ ɲ ɲ ɛ ⁵
1580	cotton	kùní	coton	1852	Tomo_Kan	COTTON		k u ¹ n i ⁵
1581	cotton	nǎm	coton	1850	Toro_Tegu	COTTON		n a ¹⁵ m
1582	cotton	cèɲè	coton	1850	Yanda_Dom	COTTON		tʃ e ¹ ɲ e ¹
1583	cotton	nàmú	coton	1853	Yorno_So	COTTON		n a ¹ m u ⁵
1584	cotton	nàm	coton	1854	Toro_So	COTTON		n a ¹ m
1585	cotton	kàsàbí	compter	1420	Bambara	COUNT		k a ¹ s a ¹ b i ⁵
1586	count	ŋììwⁿɔ̀	compter	1420	Bangime	COUNT	Bankan_Tey	ŋ iː ¹ w̃ ∼ ɔ ¹
1587	count, recite numbers	lùwô:_lúwó	compter (des objets), réciter (numéros)	1420	Bankan_Tey	COUNT		l u ¹ w oː ⁵¹ _ l u ⁵ w o ⁵
1588	count, recite numbers	dígórù_dígórè	compter (des objets), réciter (numéros)	1420	Bunoge	COUNT		d i ⁵ ɡ o ⁵ r u ¹ _ d i ⁵ ɡ o ⁵ r e ¹
1589	count, recite numbers	nùgé	compter (des objets), réciter (numéros)	1420	Dogul_Dom	COUNT		n u ¹ ɡ e ⁵
1590	count	yùg-ê:_yùg-ó	compter	1420	Donno_So	COUNT		j u ¹ ɡ + eː ⁵¹ _ j u ¹ ɡ + o ⁵
1591	count	jataa-de	compter	1420	Fulfulde	COUNT		dʒ a t a a + d e
1592	count	lúgó	compter	1420	Jamsay	COUNT		l u ⁵ ɡ o ⁵
1593	count	nógé	compter	1420	Mombo	COUNT		n o ⁵ ɡ e ⁵
1594	count, recite numbers	nìgìl_ŋgán_nìgíl	compter (des objets), réciter (numéros)	1420	Najamba	COUNT		n i ¹ ɡ i ¹ l _ ŋ ɡ a ⁵ n _ n i ¹ ɡ i ⁵ l
1595	count, recite numbers	lùgô_lúgó	compter (des objets), réciter (numéros)	1420	Nanga	COUNT		l u ¹ ɡ o ⁵¹ _ l u ⁵ ɡ o ⁵
1596	count	nùgù	compter	1420	Penange	COUNT		n u ¹ ɡ u ¹
1597	count	lúgó	compter	1420	Perge_Tegu	COUNT		l u ⁵ ɡ o ⁵
1598	[n] (a) count, calculation	kábú-ró	calcul, (dé-)compte.	1420	Songhai_Senni	COUNT	FUL/AR	k a ⁵ b u ⁵ + r o ⁵
1599	[tr] count, sum up (esp. money) // 	ká:bú	compter (surtout l’argent) [perhaps <Ar √ħsb via Ful]	1420	Songhai_Kiini	COUNT	FUL/AR	k aː ⁵ b u ⁵
1600	count	núgó	compter	1420	Tiranige_Diga	COUNT		n u ⁵ ɡ o ⁵
1601	count (things), recite (numbers)	nígé	compter (des objets), réciter (numéros)	1420	Tommo_So	COUNT		n i ⁵ ɡ e ⁵
1602	count (things), recite (numbers)	lúgú	compter (des objets), réciter (numéros)	1420	Toro_Tegu	COUNT		l u ⁵ ɡ u ⁵
1603	count (things), recite (numbers)	lùgó	compter (des objets), réciter (numéros)	1420	Yanda_Dom	COUNT		l u ¹ ɡ o ⁵
1604	count, recite numbers	lùgò_lùgó	compter (des objets), réciter (numéros)	1420	Yanda_Dom	COUNT		l u ¹ ɡ o ¹ _ l u ¹ ɡ o ⁵
1605	count (things), recite (numbers)	lúgó	compter (des objets), réciter (numéros)	1420	Yorno_So	COUNT		l u ⁵ ɡ o ⁵
1606	count, recite numbers	lùgê:_lúgó	compter (des objets), réciter (numéros)	1420	Yorno_So	COUNT		l u ¹ ɡ eː ⁵¹ _ l u ⁵ ɡ o ⁵
1607	[n] land, country, ground	jàmàná	pays, région, contrée, nation	1300	Bambara	COUNTRY		dʒ a ¹ m a ¹ n a ⁵
1608	country, land	ɡāndà	pays	1300	Bangime	COUNTRY	SONG	ɡ a ³ n d a ¹
1609	country, land	ò_zǒy	pays, terre	1300	Bankan_Tey	COUNTRY		o ¹ _ z o ¹⁵ j
1610	country, land	òn_jǒy	pays, terre	1300	Ben_Tey	COUNTRY		o ¹ n _ dʒ o ¹⁵ j
1611	[n] land, country, ground	gaⁿda	pays	1300	Bozo_Debo	COUNTRY		ɡ ã ∼ d a
1612	[n] land, country, ground	jaⁿmaⁿnaⁿ	pays	1300	Bozo_Hainyaxo	COUNTRY		dʒ ã ∼ m ã ∼ n ã ∼
1613	[n] land, country, ground	gaⁿda	pays	1300	Bozo_Korondougou_nord	COUNTRY		ɡ ã ∼ d a
1614	[n] land, country, ground	gaⁿda	pays	1300	Bozo_Korondougou_sud	COUNTRY		ɡ ã ∼ d a
1615	[n] land, country, ground	gaⁿna	pays	1300	Bozo_Kotya	COUNTRY		ɡ ã ∼ n a
1616	[n] land, country, ground	gaⁿna	pays	1300	Bozo_Pondori_nord	COUNTRY		ɡ ã ∼ n a
1617	[n] land, country, ground	gaⁿna	pays	1300	Bozo_Pondori_sud	COUNTRY		ɡ ã ∼ n a
1618	[n] land, country, ground	gaⁿda	pays	1300	Bozo_Tiema_Cewe	COUNTRY		ɡ ã ∼ d a
1619	[n] land, country, ground	jaⁿmaⁿnaⁿ	terre, pays	1300	Bozo_Tieyaxo	COUNTRY		dʒ ã ∼ m ã ∼ n ã ∼
1620	country, land	gàndà	terre, pays	1300	Bunoge	COUNTRY	SONG	ɡ a ¹ n d a ¹
1621	country, land	gándà	terre, pays	1300	Donno_So	COUNTRY	SONG	ɡ a ⁵ n d a ¹
1622	country, land	leydi	terre, pays	1300	Fulfulde	COUNTRY		l e j d i
1623	country, land	ùjù_bǎy	terre, pays	1300	Jamsay	COUNTRY		u ¹ dʒ u ¹ _ b a ¹⁵ j
1624	country, land	gáná	terre, pays	1300	Jamsay	COUNTRY	SONG	ɡ a ⁵ n a ⁵
1625	country, land	gándā	terre, pays	1300	Jenaama	COUNTRY	SONG	ɡ a ⁵ n d a ³
1626	country, land	dòrⁿó	terre, pays	1300	Nanga	COUNTRY		d o ¹ r̃ ∼ o ⁵
1627	country, land	ùsù_bǎy	terre, pays	1300	Perge_Tegu	COUNTRY		u ¹ s u ¹ _ b a ¹⁵ j
1628	country, land	gándá	pays, terre	1300	Songhai_Kiini	COUNTRY		ɡ a ⁵ n d a ⁵
1629	country, land	gándâ	terre, pays	1300	Songhai_Senni	COUNTRY		ɡ a ⁵ n d a ⁵¹
1630	country, land	jàmáanè	terre, pays	1300	Soninke	COUNTRY		dʒ a ¹ m a ⁵ a n e ¹
1631	country, land	gándá	terre, pays	1300	Tebul_Ure	COUNTRY	SONG	ɡ a ⁵ n d a ⁵
1632	country, land	gàndá	terre, pays	1300	Tiranige_Diga	COUNTRY	SONG	ɡ a ¹ n d a ⁵
1633	country, land	yàlú	terre, pays	1300	Tommo_So	COUNTRY		j a ¹ l u ⁵
1634	country, land	ìsó	terre, pays	1300	Toro_Tegu	COUNTRY		i ¹ s o ⁵
1635	country, land	gàná	terre, pays	1300	Yanda_Dom	COUNTRY	SONG	ɡ a ¹ n a ⁵
1636	[n] cow	mìsí	vache, boviné domestique en général	1007	Bambara	COW		m i ¹ s i ⁵
1637	cow	nàà	vache	1007	Bangime	COW	Jenaama, Fulfulde	n aː ¹
1638	cow, bull (any bovine)	nǎ:-m	bovin (vache ou taureau)	1007	Bankan_Tey	COW		n aː ¹⁵ + m
1639	cow, bull (any bovine)	nǎ:m	bovin (vache ou taureau)	1007	Ben_Tey	COW		n aː ¹⁵ m
1640	cow	naa	vache	1007	Bozo_Debo	COW		n a a
1641	cow	naa	vache	1007	Bozo_Hainyaxo	COW		n a a
1642	cow	naaⁿ	vache	1007	Bozo_Korondougou_nord	COW		n a ã ∼
1643	cow	naa	vache	1007	Bozo_Korondougou_sud	COW		n a a
1644	cow	naa	vache	1007	Bozo_Kotya	COW		n a a
1645	cow	naa	vache	1007	Bozo_Pondori_nord	COW		n a a
1646	cow	na	vache	1007	Bozo_Pondori_sud	COW		n a
1647	cow	naayaaro	vache	1007	Bozo_Tiema_Cewe	COW		n a a j a a r o
1648	cow	na	vache	1007	Bozo_Tieyaxo	COW		n a
1649	cow, bull (any bovine)	ná	bovin (vache ou taureau)	1007	Bunoge	COW		n a ⁵
1650	cow, bull (any bovine)	nǎ:g	bovin (vache ou taureau)	1007	Dogul_Dom	COW		n aː ¹⁵ ɡ
1651	cow	nagge	vache	1007	Fulfulde	COW		n a ɡ ɡ e
1652	cow, bull (any bovine)	nàŋà-ná:	bovin (vache ou taureau)	1007	Jamsay	COW		n a ¹ ŋ a ¹ + n aː ⁵
1653	cow	nà	vache	1007	Jenaama	COW		n a ¹
1654	cow, bull (any bovine)	nâ:	bovin (vache ou taureau)	1007	Mombo	COW		n aː ⁵¹
1655	cow, bull (any bovine)	nɛ̌:	bovin (vache ou taureau)	1007	Najamba	COW		n ɛː ¹⁵
1656	cow, bull (any bovine)	nàŋá	bovin (vache ou taureau)	1007	Nanga	COW		n a ¹ ŋ a ⁵
1657	cow, bull (any bovine)	nà:	bovin (vache ou taureau)	1007	Penange	COW		n aː ¹
1658	cow, bull (any bovine)	nàŋá	bovin (vache ou taureau)	1007	Perge_Tegu	COW		n a ¹ ŋ a ⁵
1659	[n] cow	kòpsò	vache [infrequent in this form and sense, cf. háw-ó ] ­cpd: cé-[kòps-ò] ‘hoof’.	1007	Songhai_Senni	COW		k o ¹ p s o ¹
1660	[n] cow, bovine // 	háw	vache, bovin	1008	Songhai_Kiini	COW		h a ⁵ w
1661	cow	nàa	vache	1007	Soninke	COW		n a ¹ a
1662	cow, bull (any bovine)	nǎ:	bovin (vache ou taureau)	1007	Tebul_Ure	COW		n aː ¹⁵
1663	cow, bull (any bovine)	ná:	bovin (vache ou taureau)	1007	Tiranige_Diga	COW		n aː ⁵
1664	cow, bull (any bovine)	nàʔⁿà	bovin (vache ou taureau)	1007	Togo_Kan	COW		n a ¹ ʔ ∼ a ¹
1665	cow, bull (any bovine)	nàá	bovin (vache ou taureau)	1007	Tommo_So	COW		n aː ¹⁵
1666	cow, bull (any bovine)	nàŋà	bovin (vache ou taureau)	1007	Tomo_Kan	COW		n a ¹ ŋ a ¹
1667	cow, bull (any bovine)	nàŋá	bovin (vache ou taureau)	1007	Toro_Tegu	COW		n a ¹ ŋ a ⁵
1668	cow, bull (any bovine)	nà:	bovin (vache ou taureau)	1007	Yanda_Dom	COW		n aː ¹
1669	cow, bull (any bovine)	nǎ:	bovin (vache ou taureau)	1007	Yorno_So	COW		n aː ¹⁵
