ID	CONCEPT	CONCEPT_FRENCH	DOCULECT	DOCULECT_NAME_IN_SOURCE	IPA	FORM	SEGMENTS	CONCEPT_ABBREVIATED	CONCEPT_FRENCH_ABBREVIATED	SEMANTIC_FIELD	SEMANTIC_FIELD_FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	IPA2	ALIGNMENT
248	write	écrire	Bangime		ɲɔ̀ŋɔ̀-ndɔ̀							1672	WRITE	ɲ ɔ ¹ ŋ ɔ ¹ + n d ɔ ¹	ɲ ɔ ¹ ŋ ɔ ¹ + n d ɔ ¹
249	count	compter	Bangime		ŋììwⁿɔ̀ (1)							1420	COUNT	ŋ iː ¹ w̃ ∼ ɔ ¹ #	ŋ iː ¹ w̃ ∼ ɔ ¹ #
251	vomit	vomir	Bangime		ŋìjɛ̀ndɛ̀ (1)							1278	VOMIT	ŋ i ¹ dʒ ɛ ¹ n d ɛ ¹ #	ŋ i ¹ dʒ ɛ ¹ n d ɛ ¹ #
254	drink; (baby) suckle	boire; (enfant) téter	Bangime		ŋìjⁿɛ̀-rɛ̀							2472	SUCKLE (BREASTFEED, NURSE)	ŋ i ¹ j̃ ∼ ɛ ¹ + r ɛ ¹	ŋ i ¹ j̃ ∼ ɛ ¹ + r ɛ ¹
255	bend (pliable surface, e.g. young gourd fruit)	plier (surface pliante, par ex. jeune fruit du calebassier)	Bangime		ŋɔ̀mbɔ̀-rɔ̀							2004	BEND	ŋ ɔ ¹ m b ɔ ¹ + r ɔ ¹	ŋ ɔ ¹ m b ɔ ¹ + r ɔ ¹
256	sing	chanter	Bangime		ŋùɥⁿɛ̀-rɛ̀							1261	SING	ŋ u ¹ ɥ ∼ ɛ ¹ + r ɛ ¹	ŋ u ¹ ɥ ∼ ɛ ¹ + r ɛ ¹
257	walk	marcher	Bangime		ŋùwⁿɔ̀-rɔ̀							1443	WALK	ŋ u ¹ w̃ ∼ ɔ ¹ + r ɔ ¹	ŋ u ¹ w̃ ∼ ɔ ¹ + r ɔ ¹
258	twist	tordre	Bangime		ŋwììmà							430	TWIST	ŋ w iː ¹ m a ¹	ŋ w iː ¹ m a ¹
260	gather up	ramasser	Bangime		pàà-rà							7	GATHER	p aː ¹ + r a ¹	p aː ¹ + r a ¹
261	understand	comprendre	Bangime		pààmìndà							1536	UNDERSTAND	p aː ¹ m i ¹ n d a ¹	p aː ¹ m i ¹ n d a ¹
263	(sb) feel nostalgic for, miss (sb, sth)	(qn) avois la nostalgie de (qh, qch)	Bangime		pàà-ndà							2328	MISS (SOMEBODY)	p aː ¹ + n d a ¹	p aː ¹ + n d a ¹
265	put down; bury (corpse)	déposer; enterrer (cadavre)	Bangime		pē-rò							998	PUT	p e ³ + r o ¹	p e ³ + r o ¹
266	lean on or against (e.g. wall)	s'appuyer sur ou contre (mur etc.)	Bangime		pɛ̀ɡɛ̀rɛ̀							2469	AGAINST	p ɛ ¹ ɡ ɛ ¹ r ɛ ¹	p ɛ ¹ ɡ ɛ ¹ r ɛ ¹
267	shatter (sth); split (wood, by chopping); rip, tear	briser (qch); fendre (bois), déchirer	Bangime		pɛ̀ndɛ̀ (1)							1437	SPLIT	p ɛ ¹ n d ɛ ¹ #	p ɛ ¹ n d ɛ ¹ #
269	traverse, cross	traverser	Bangime		pɛ̀ndɛ̀ (3)							1742	TRAVERSE	p ɛ ¹ n d ɛ ¹ #	p ɛ ¹ n d ɛ ¹ #
270	drive away, expel	chasser, faire partir	Bangime		pɛ̄rɛ̀								!CHASE (AWAY)	p ɛ ³ r ɛ ¹	p ɛ ³ r ɛ ¹
271	untie (animal, knot); untangle (cord)	détacher (animal, nœud); défaire (tresses); désenchevêtrer (corde)	Bangime		pììndù							352	UNTIE	p iː ¹ n d u ¹	p iː ¹ n d u ¹
273	(infected wound) swell up, fester	(plaie) gonfler, suppurer	Bangime		pììndù (2)							1573	SWELL	p iː ¹ n d u ¹ #	p iː ¹ n d u ¹ #
274	sow (seeds)	semer (graines)	Bangime		pījɛ̀ (1)							748	SOW SEEDS	p i ³ dʒ ɛ ¹ #	p i ³ dʒ ɛ ¹ #
277	jump	sauter	Bangime		pìndò (1)							1829	JUMP	p i ¹ n d o ¹ #	p i ¹ n d o ¹ #
280	fear, be afraid	avoir peur	Bangime		pìrⁿà							1419	FEAR (BE AFRAID)	p i ¹ r̃ ∼ a ¹	p i ¹ r̃ ∼ a ¹
281	err, make a mistake, be wrong	avoir tort, faire une faute	Bangime		pìrndà (1)							839	ERR	p i ¹ r n d a ¹ #	p i ¹ r n d a ¹ #
282	fly away	s'envoler	Bangime		pìrù							1441	FLY (MOVE THROUGH AIR)	p i ¹ r u ¹	p i ¹ r u ¹
283	shell (e.g. peanuts)	décortiquer (arachides etc.)	Bangime		pɔ̀bɛ̀								!SHELL (V.)	p ɔ ¹ b ɛ ¹	p ɔ ¹ b ɛ ¹
284	split (nut, e.g. a peanut or kola nut)	fendre (noix, par ex. arachide ou cola)	Bangime		pɔ̀bɛ̀ɛ̀								!HATCH	p ɔ ¹ b ɛː ¹	p ɔ ¹ b ɛː ¹
288	step on	marcher sur	Bangime		pɔ̄ɡɔ̀							2065	STEP (VERB)	p ɔ ³ ɡ ɔ ¹	p ɔ ³ ɡ ɔ ¹
289	lift, hold up (e.g. child)	soulever, tenir en haut (enfant etc.)	Bangime		pɔ̀mbɛ̀								!HOLD (UP)	p ɔ ¹ m b ɛ ¹	p ɔ ¹ m b ɛ ¹
291	dislike, hate (sb, sth)	détester, haïr	Bangime		pɔ̄n-dɔ̀							1607	HATE	p ɔ ³ n + d ɔ ¹	p ɔ ³ n + d ɔ ¹
294	pick (fruit)	cueiller (fruit)	Bangime		pɔ̀rɔ̀ (1)							2148	PICK	p ɔ ¹ r ɔ ¹ #	p ɔ ¹ r ɔ ¹ #
296	wash (clothes, dishes)	laver (habits, vaisselle)	Bangime		pūɡà							1453	WASH	p u ³ ɡ a ¹	p u ³ ɡ a ¹
299	lift (especially sth heavy)	soulever (surtout qqch de lourd)	Bangime		pùɡɛ̀-rɛ̀							501	LIFT	p u ¹ ɡ ɛ ¹ + r ɛ ¹	p u ¹ ɡ ɛ ¹ + r ɛ ¹
304	tear, rip (cloth, paper)	déchirer (tissu, papier)	Bangime		pùjɛ̀-rɛ̀							1735	TEAR (SHRED)	p u ¹ dʒ ɛ ¹ + r ɛ ¹	p u ¹ dʒ ɛ ¹ + r ɛ ¹
305	(plant, seeds) sprout	(plante, graines) pousser	Bangime		pūn-dà							2076	SPROUT (VERB)	p u ³ n + d a ¹	p u ³ n + d a ¹
308	burn (incense)	brûler (encens)	Bangime		pùr-ndà (1)							141	BURN (SOMETHING)	p u ¹ r + n d a ¹ #	p u ¹ r + n d a ¹ #
310	(blacksmith) forge (iron blade)	(forgeron) forger (une lame)	Bangime		pùwɔ̀-rɔ̀							288	FORGE	p u ¹ w ɔ ¹ + r ɔ ¹	p u ¹ w ɔ ¹ + r ɔ ¹
314	bring or take down	faire descendre	Bangime		sàà-ndà (1)							692	BRING	s aː ¹ + n d a ¹ #	s aː ¹ + n d a ¹ #
315	welcome, host (a guest)	accueiller, loger (un étranger)	Bangime		sàà-ndà (2)								!HOST (V.)	s aː ¹ + n d a ¹ #	s aː ¹ + n d a ¹ #
317	choke (on one’s food)	s'êtrangler (sur qch qu'on mange)	Bangime		sàkà								!CHOKE (ON FOOD)	s a ¹ k a ¹	s a ¹ k a ¹
327	limp (v)	boiter	Bangime		sèŋèndà							366	LIMP	s e ¹ ŋ e ¹ n d a ¹	s e ¹ ŋ e ¹ n d a ¹
334	tell (a lie)	mentir, dire (mensonge)	Bangime		sɛ̄rɛ̀ (2)							601	LIE (MISLEAD)	s ɛ ³ r ɛ ¹ #	s ɛ ³ r ɛ ¹ #
336	(rain) cease	(pluie) s'arrêter	Bangime		sɛ̄rɛ̀ (4)							2115	CEASE OR FINISH	s ɛ ³ r ɛ ¹ #	s ɛ ³ r ɛ ¹ #
337	ask	demander, interroger	Bangime		sīɡà							1309	ASK (INQUIRE)	s i ³ ɡ a ¹	s i ³ ɡ a ¹
338	be clean	être propre	Bangime		sīɡà (1)							704	CLEAN	s i ³ ɡ a ¹ #	s i ³ ɡ a ¹ #
339	(light) shine	(lumière) briller	Bangime		sīɡà (2)							2236	SHINE (EMITTED LIGHT)	s i ³ ɡ a ¹ #	s i ³ ɡ a ¹ #
341	catch	attraper	Bangime		sījɛ̀ (1)							702	CATCH	s i ³ dʒ ɛ ¹ #	s i ³ dʒ ɛ ¹ #
343	urinate	uriner	Bangime		sìjɛ̀-rɛ̀							592	PISS	s i ¹ dʒ ɛ ¹ + r ɛ ¹	s i ¹ dʒ ɛ ¹ + r ɛ ¹
345	(water of spring) pour out; (roof) leak	(eau de source) couler; (toit) suinter	Bangime		sīn-dà								!LEAK	s i ³ n + d a ¹	s i ³ n + d a ¹
346	rinse	rincer	Bangime		sìŋindà							2904	RINSE	s i ¹ ŋ i n d a ¹	s i ¹ ŋ i n d a ¹
347	listen	écouter	Bangime		sìwⁿɔ̀ (1)							1608	LISTEN	s i ¹ w̃ ∼ ɔ ¹ #	s i ¹ w̃ ∼ ɔ ¹ #
348	know	savoir	Bangime		sō-rè (1)							1410	KNOW (SOMETHING)	s o ³ + r e ¹ #	s o ³ + r e ¹ #
349	recognize (sb, sth)	reconnaître	Bangime		sō-rè (2)							2870	RECOGNIZE (SOMEBODY)	s o ³ + r e ¹ #	s o ³ + r e ¹ #
352	cover (meal), shut (mouth, eyes)	couvrir (repas), fermer (bouche, yeux)	Bangime		sɔ̄ɡɔ̀							761	COVER	s ɔ ³ ɡ ɔ ¹	s ɔ ³ ɡ ɔ ¹
353	curse (sb)	maudire	Bangime		sɔ̀ŋɡɔ̀							8	CURSE	s ɔ ¹ ŋ ɡ ɔ ¹	s ɔ ¹ ŋ ɡ ɔ ¹
360	look at	regarder	Bangime		sùràà							1819	LOOK	s u ¹ r aː ¹	s u ¹ r aː ¹
361	punch, box (sb)	boxer, donner un coup de poign à	Bangime		sùrù-ɡà							1465	BOX	s u ¹ r u ¹ + ɡ a ¹	s u ¹ r u ¹ + ɡ a ¹
362	go down	descendre	Bangime		sūɥè							2014	GO DOWN (DESCEND)	s u ³ ɥ e ¹	s u ³ ɥ e ¹
363	mix, combine (two things)	mélanger (deux choses)	Bangime		sùwɔ̀-rɔ̀							2017	MIX	s u ¹ w ɔ ¹ + r ɔ ¹	s u ¹ w ɔ ¹ + r ɔ ¹
366	sew	coudre	Bangime		ɕìì-rì							1457	SEW	ɕ iː ¹ + r i ¹	ɕ iː ¹ + r i ¹
367	burn, roast	brûler, griller	Bangime		ɕììwɔ̀							1962	ROAST (SOMETHING)	ɕ iː ¹ w ɔ ¹	ɕ iː ¹ w ɔ ¹
368	sneeze	s'éternuer	Bangime		ɕìwⁿɔ̀ (2)							1621	SNEEZE	ɕ i ¹ w̃ ∼ ɔ ¹ #	ɕ i ¹ w̃ ∼ ɔ ¹ #
369	shoot	tirer (balle)	Bangime		tā-wɔ̀ (1)							1172	SHOOT	t a ³ + w ɔ ¹ #	t a ³ + w ɔ ¹ #
371	spread out (arms, wet laundry)	étendre (bras, vêtements mouillés)	Bangime		tàà-rà							38	SPREAD OUT	t aː ¹ + r a ¹	t aː ¹ + r a ¹
373	refuse	refuser	Bangime		tààŋɡà (2)							49	REFUSE	t aː ¹ ŋ ɡ a ¹ #	t aː ¹ ŋ ɡ a ¹ #
374	accept, receive, take possession of; take (sth) away (from sb)	accepter, recevoir; retirer (qch, à qn)	Bangime		tāɡà (1)								!ACCEPT	t a ³ ɡ a ¹ #	t a ³ ɡ a ¹ #
377	regret (sth)	regretter (qch)	Bangime		tàjndà							1875	REGRET	t a ¹ dʒ n d a ¹	t a ¹ dʒ n d a ¹
382	bite, chew; (mosquito, snake) bite (sb); (scorpion) sting (sb)	mordre, mâcher; (moustique, serpent) piquer; (scorpion) piquer	Bangime		tāmbà (1)							1403	BITE	t a ³ m b a ¹ #	t a ³ m b a ¹ #
383	measure (sth)	mesurer (qch)	Bangime		tām-bà (2)							1506	MEASURE	t a ³ m + b a ¹ #	t a ³ m + b a ¹ #
385	sit	s'asseoir	Bangime		tē-rò							1416	SIT	t e ³ + r o ¹	t e ³ + r o ¹
387	learn (a trade)	apprendre (un métier)	Bangime		tèmbò (1)							504	LEARN	t e ¹ m b o ¹ #	t e ¹ m b o ¹ #
388	instruct (sb, how to do sth)	enseigner, montrer à (qn, comment faire qch)	Bangime		tèmbò (2)								!TRAIN (V.)	t e ¹ m b o ¹ #	t e ¹ m b o ¹ #
391	(vehicle) get bogged down (in mud or sand)	(voiture) s'embourber, se caler (dans la boue ou le sable)	Bangime		tɛ̀bɛ̀rɛ̀ (2)								!BE STUCK	t ɛ ¹ b ɛ ¹ r ɛ ¹ #	t ɛ ¹ b ɛ ¹ r ɛ ¹ #
393	forget; cause to forget	oublier; faire oublier	Bangime		tɛ̀ɛ̀-ndɛ̀ (2)							1523	FORGET	t ɛː ¹ + n d ɛ ¹ #	t ɛː ¹ + n d ɛ ¹ #
394	get lost	se perdre, s'égarer	Bangime		tɛ̀ɛ̀-rɛ̀							423	GET LOST	t ɛː ¹ + r ɛ ¹	t ɛː ¹ + r ɛ ¹
396	ignite, light (fire)	allumer (feu)	Bangime		tɛ̀ɛ̀-ndà							737	LIGHT (IGNITE)	t ɛː ¹ + n d a ¹	t ɛː ¹ + n d a ¹
397	push	pousser	Bangime		tɛ̀mbɛ̀							1452	PUSH	t ɛ ¹ m b ɛ ¹	t ɛ ¹ m b ɛ ¹
400	hammer (sth)	clouer (qch)	Bangime		tɛ̀mbì-jɛ̀								!HAMMER (V.)	t ɛ ¹ m b i ¹ + dʒ ɛ ¹	t ɛ ¹ m b i ¹ + dʒ ɛ ¹
403	show	montrer	Bangime		tɛ̄rɛ̀							1039	SHOW	t ɛ ³ r ɛ ¹	t ɛ ³ r ɛ ¹
404	fall	tomber	Bangime		tī-wɔ̀ (1)							1280	FALL	t i ³ + w ɔ ¹ #	t i ³ + w ɔ ¹ #
405	(bandits) attack, fall on (sb)	(bandits) attaquer, tomber sur (qn)	Bangime		tī-wɔ̀ (2)							722	ATTACK	t i ³ + w ɔ ¹ #	t i ³ + w ɔ ¹ #
406	run	courir	Bangime		tìɡɛ̀-rɛ̀							1519	RUN	t i ¹ ɡ ɛ ¹ + r ɛ ¹	t i ¹ ɡ ɛ ¹ + r ɛ ¹
407	begin	commencer	Bangime		tììndà							1806	BEGIN	t iː ¹ n d a ¹	t iː ¹ n d a ¹
408	(sb) assemble (people)	(qn) rassembler (les gens)	Bangime		tìjɛ̀rɛ̀								!ABSENT	t i ¹ dʒ ɛ ¹ r ɛ ¹	t i ¹ dʒ ɛ ¹ r ɛ ¹
409	be healthy; be healed, cured	être en bonne santé; se guérir	Bangime		tīn-dà							1364	HEALTHY	t i ³ n + d a ¹	t i ³ n + d a ¹
411	don, put on (garment)	mettre, porter (un vêtement)	Bangime		tìndè (2)							814	DRESS UP	t i ¹ n d e ¹ #	t i ¹ n d e ¹ #
412	push on, press	appuyer sur	Bangime		tìŋɡàà							1913	PRESS	t i ¹ ŋ ɡ aː ¹	t i ¹ ŋ ɡ aː ¹
413	wake up	se réveiller	Bangime		tìŋɡò (1)							1602	WAKE UP	t i ¹ ŋ ɡ o ¹ #	t i ¹ ŋ ɡ o ¹ #
414	(sun) rise	(soleil) se lever	Bangime		tìŋɡò (2)							568	RISE (MOVE UPWARDS)	t i ¹ ŋ ɡ o ¹ #	t i ¹ ŋ ɡ o ¹ #
416	drive (vehicle), ride on (donkey)	conduire (voiture,âne)	Bangime		tìŋì-ndà							741	DRIVE	t i ¹ ŋ i ¹ + n d a ¹	t i ¹ ŋ i ¹ + n d a ¹
417	(food) spoil, become spoiled	(nourriture) pourrir	Bangime		tòjò							569	SPOIL (BECOME SPOILED)	t o ¹ dʒ o ¹	t o ¹ dʒ o ¹
418	paint, dye, add colors to the surface of (sth)	peinturer, colorer (qch)	Bangime		tòmì-ndà							157	DYE	t o ¹ m i ¹ + n d a ¹	t o ¹ m i ¹ + n d a ¹
419	knock (on door)	taper (à la porte)	Bangime		tòŋɡò (1)							2396	KNOCK	t o ¹ ŋ ɡ o ¹ #	t o ¹ ŋ ɡ o ¹ #
422	repay (loan); pay for (sth)	rembourser (prêt); payer (qch)	Bangime		tòŋò-ndà (1)							718	PAY	t o ¹ ŋ o ¹ + n d a ¹ #	t o ¹ ŋ o ¹ + n d a ¹ #
427	bother, pester, tease (sb)	emmerder, déranger, provoquer (qn)	Bangime		tɔ̀r-ndɔ̀							2869	BOTHER (HARASS)	t ɔ ¹ r + n d ɔ ¹	t ɔ ¹ r + n d ɔ ¹
428	hang (sth) up	accrocher (qch)	Bangime		tɔ̄rɔ̀ (1)								!HANGING	t ɔ ³ r ɔ ¹ #	t ɔ ³ r ɔ ¹ #
431	drive (animals)	conduire (animaux)	Bangime		cɔ̀kà							2868	DRIVE (CATTLE)	tʃ ɔ ¹ k a ¹	tʃ ɔ ¹ k a ¹
436	(sth) pour out	(qch) se verser	Bangime		tùmbè							1487	POUR	t u ¹ m b e ¹	t u ¹ m b e ¹
437	sell	vendre	Bangime		tūn-dò (1)							1571	SELL	t u ³ n + d o ¹ #	t u ³ n + d o ¹ #
443	bathe (sb)	laver (qn)	Bangime		tūrà							138	BATHE	t u ³ r a ¹	t u ³ r a ¹
444	lie down	se coucher	Bangime		tūrù (1)							215	LIE DOWN	t u ³ r u ¹ #	t u ³ r u ¹ #
445	(sun) set	(soleil) se coucher	Bangime		tūrù (2)							160	SET (HEAVENLY BODIES)	t u ³ r u ¹ #	t u ³ r u ¹ #
447	carry on head	porter à la tête	Bangime		tùɥɛ̀-rɛ̀ (2)							414	CARRY ON HEAD	t u ¹ ɥ ɛ ¹ + r ɛ ¹ #	t u ¹ ɥ ɛ ¹ + r ɛ ¹ #
448	spit	cracher	Bangime		tùwì							1440	SPIT	t u ¹ w i ¹	t u ¹ w i ¹
449	arrive	arriver	Bangime		twàà-rà							1387	ARRIVE	t w aː ¹ + r a ¹	t w aː ¹ + r a ¹
451	buy	acheter	Bangime		ɥàà-rà							1869	BUY	ɥ aː ¹ + r a ¹	ɥ aː ¹ + r a ¹
452	go up	monter	Bangime		ɥījè							705	GO UP (ASCEND)	ɥ i ³ dʒ e ¹	ɥ i ³ dʒ e ¹
454	reap (e.g. rice, with sickle)	récolter (riz etc., avec la faucille)	Bangime		wàà-rà (1)							1827	HARVEST CROPS	w aː ¹ + r a ¹ #	w aː ¹ + r a ¹ #
455	scoop (water, food, with hand or ladle)	enlever (eau, nourriture, avec la main ou la louche)	Bangime		wàà-rà (2)							2788	LADLE (WATER)	w aː ¹ + r a ¹ #	w aː ¹ + r a ¹ #
457	(e.g. bullet) miss (target)	(balle etc.) rater (la cible)	Bangime		wɔ̀ɔ̀pà							161	MISS (A TARGET)	w ɔː ¹ p a ¹	w ɔː ¹ p a ¹
458	go	aller	Bangime		wōrè (1)							695	GO	w o ³ r e ¹ #	w o ³ r e ¹ #
461	(sb) heat (sth); boil (water)	(qn) chauffer (qch); chauffer, faire bouillir (eau)	Bangime		wùr-ndà							1341	HEAT UP	w u ¹ r + n d a ¹	w u ¹ r + n d a ¹
462	(sth) get hot, be heated; (water) boil	(qch) se chauffer; (eau) bouillir	Bangime		wùùrà							792	BOIL (OF LIQUID)	w uː ¹ r a ¹	w uː ¹ r a ¹
465	weep, cry	pleurer	Bangime		ʒīn-dò (1)							1839	CRY	ʒ i ³ n + d o ¹ #	ʒ i ³ n + d o ¹ #
467	(wind) blow	(vent) souffler	Bangime		ʒīn-dò (3)							175	BLOW (OF WIND)	ʒ i ³ n + d o ¹ #	ʒ i ³ n + d o ¹ #
468	hang up, hook	accrocher, suspendre	Bangime		ʒūn-dà							1071	HOOK	ʒ u ³ n + d a ¹	ʒ u ³ n + d a ¹
469	manner, way	manière, façon	Bangime		àbɔ́							488	MANNER	a ¹ b ɔ ⁵	a ¹ b ɔ ⁵
470	Sunday	dimanche	Bangime		àlà							1699	SUNDAY	a ¹ l a ¹	a ¹ l a ¹
471	Wednesday	jeudi	Bangime		àlàlbààrɛ̀							1694	WEDNESDAY	a ¹ l a ¹ l b aː ¹ r ɛ ¹	a ¹ l a ¹ l b aː ¹ r ɛ ¹
472	mosquito net	moustiquaire	Bangime		àlì-kìlɛ̀							2795	MOSQUITO NET	a ¹ l i ¹ + k i ¹ l ɛ ¹	a ¹ l i ¹ + k i ¹ l ɛ ¹
475	chief (emir)	chef	Bangime		àmìrù							301	CHIEFTAIN	a ¹ m i ¹ r u ¹	a ¹ m i ¹ r u ¹
478	tea	thé	Bangime		àté							1373	TEA	a ¹ t e ⁵	a ¹ t e ⁵
481	clothes (collective)	habits (ensemble)	Bangime		bààkùrè							1895	CLOTHES	b aː ¹ k u ¹ r e ¹	b aː ¹ k u ¹ r e ¹
482	knife	couteau	Bangime		bààⁿ (1)							1352	KNIFE	b ã: ∼ ¹ #	b ã: ∼ ¹ #
484	fatigue	fatigue	Bangime		bààndà							1140	FATIGUE	b aː ¹ n d a ¹	b aː ¹ n d a ¹
488	cassava	manioc	Bangime		bànà-ŋ̀-kùù							925	CASSAVA	b a ¹ n a ¹ + ŋ ¹ + k uː ¹	b a ¹ n a ¹ + ŋ ¹ + k uː ¹
494	ring (halo) around moon or sun	halo lunaire ou solaire	Bangime		bàrì (2)							1467	CIRCLE	b a ¹ r i ¹ #	b a ¹ r i ¹ #
498	courtyard	cour	Bangime		bɛ́mbɛ̄							4	COURTYARD	b ɛ ⁵ m b ɛ ³	b ɛ ⁵ m b ɛ ³
502	spleen	rate	Bangime		bɛ́rɛ́ (2)							1744	SPLEEN	b ɛ ⁵ r ɛ ⁵ #	b ɛ ⁵ r ɛ ⁵ #
503	year	année	Bangime		bììⁿ							1226	YEAR	b ĩː ∼ ¹	b ĩː ∼ ¹
504	goat	chèvre	Bangime		bīìⁿ							1502	GOAT	b ĩː ∼ ³¹	b ĩː ∼ ³¹
506	middle	milieu	Bangime		bīīnɔ̀							1093	MIDDLE	b iː ³³ n ɔ ¹	b iː ³³ n ɔ ¹
507	baby; fruit	enfant; fruit	Bangime		bìjɛ̀								!BABY OR FRUIT	b i ¹ dʒ ɛ ¹	b i ¹ dʒ ɛ ¹
508	excrement	excréments	Bangime		bījɛ̀							675	FAECES (EXCREMENT)	b i ³ dʒ ɛ ¹	b i ³ dʒ ɛ ¹
551	ground millet; powder, flour	mil écrasé; poudre, farine	Bangime		būùⁿ								!POWDER	b ũː ∼ ¹⁵	b ũː ∼ ¹⁵
586	talk, words	parole	Bangime		dìɡà							2708	TALK	d i ¹ ɡ a ¹	d i ¹ ɡ a ¹
593	hole, pit	trou, fossé	Bangime		dòmbò							1667	HOLE	d o ¹ m b o ¹	d o ¹ m b o ¹
604	day (unit of time)	jour (unité de temps)	Bangime		dɔ̄ndɛ̀							1260	DAY (24 HOURS)	d ɔ ³ n d ɛ ¹	d ɔ ³ n d ɛ ¹
621	tree (any)	arbre	Bangime		dwàà							906	TREE	d w aː ¹	d w aː ¹
634	earth, country, mud, banco	terre, pays, banco	Bangime		ʤúɥɛ́							1228	EARTH (SOIL)	dʒ u ⁵ ɥ ɛ ⁵	dʒ u ⁵ ɥ ɛ ⁵
637	turban	turban	Bangime		fìrkó							331	HEADDRESS	f i ¹ r k o ⁵	f i ¹ r k o ⁵
638	Friday	vendredi	Bangime		ɡā-ʤùmà							1692	FRIDAY	ɡ a ³ + dʒ u ¹ m a ¹	ɡ a ³ + dʒ u ¹ m a ¹
639	Saturday	samedi	Bangime		ɡā-sìbì							1700	SATURDAY	ɡ a ³ + s i ¹ b i ¹	ɡ a ³ + s i ¹ b i ¹
640	Monday	lundi	Bangime		ɡā-tɛ̀ɛ̀ⁿ							1697	MONDAY	ɡ a ³ + t ɛ̃ː ∼ ¹	ɡ a ³ + t ɛ̃ː ∼ ¹
641	belch (n), burp (n)	roter, éructer	Bangime		ɡààw							2789	BURP	ɡ aː ¹ w	ɡ aː ¹ w
643	world	monde	Bangime		ɡàʤíjⁿɛ́							965	WORLD	ɡ a ¹ dʒ i ⁵ j̃ ∼ ɛ ⁵	ɡ a ¹ dʒ i ⁵ j̃ ∼ ɛ ⁵
646	sweat (n)	sueur	Bangime		ɡáná-wà							125	SWEAT (SUBSTANCE)	ɡ a ⁵ n a ⁵ + w a ¹	ɡ a ⁵ n a ⁵ + w a ¹
647	place, land, terrain	lieu, endroit, terre, terrain	Bangime		ɡāndà							626	LAND	ɡ a ³ n d a ¹	ɡ a ³ n d a ¹
648	ancestor	ancêtre	Bangime		ɡándē								!PREDECESSOR	ɡ a ⁵ n d e ³	ɡ a ⁵ n d e ³
651	guard, watchman	gardien, vigil	Bangime		ɡàrdìŋɛ̀							1940	GUARD	ɡ a ¹ r d i ¹ ŋ ɛ ¹	ɡ a ¹ r d i ¹ ŋ ɛ ¹
655	loom	métier à tisser	Bangime		ɡèè							1787	LOOM	ɡ eː ¹	ɡ eː ¹
658	iron, metal	fer, métal	Bangime		ɡɛ́ŋɡɛ̄								!IRON OR METAL	ɡ ɛ ⁵ ŋ ɡ ɛ ³	ɡ ɛ ⁵ ŋ ɡ ɛ ³
659	crocodile	crocodile	Bangime		ɡɛ̀ŋɡɛ́							1857	CROCODILE	ɡ ɛ ¹ ŋ ɡ ɛ ⁵	ɡ ɛ ¹ ŋ ɡ ɛ ⁵
662	back (body)	dos	Bangime		ɡīìⁿ							1291	BACK	ɡ ĩː ∼ ³¹	ɡ ĩː ∼ ³¹
663	lie, falsehood	mensonge	Bangime		ɡìjɛ̀ (1)							2826	LIE (FALSEHOOD)	ɡ i ¹ dʒ ɛ ¹ #	ɡ i ¹ dʒ ɛ ¹ #
665	broom	balai	Bangime		ɡíjɛ́rⁿɛ̀							245	BROOM	ɡ i ⁵ dʒ ɛ ⁵ r̃ ∼ ɛ ¹	ɡ i ⁵ dʒ ɛ ⁵ r̃ ∼ ɛ ¹
668	hiccough (n)	hoquet	Bangime		ɡìkóɛ̀							162	HICCOUGH	ɡ i ¹ k o ⁵ ɛ ¹	ɡ i ¹ k o ⁵ ɛ ¹
671	hare	lièvre	Bangime		ɡìrìmɛ̀							1190	HARE	ɡ i ¹ r i ¹ m ɛ ¹	ɡ i ¹ r i ¹ m ɛ ¹
675	aunt	tante	Bangime		ɡòɡò							1272	AUNT	ɡ o ¹ ɡ o ¹	ɡ o ¹ ɡ o ¹
677	step, notch (cut in wooden ladder)	entaille (dans une échelle en bois)	Bangime		ɡòmpàà							1158	STEP	ɡ o ¹ m p aː ¹	ɡ o ¹ m p aː ¹
679	throat	gorge	Bangime		ɡòndò							1346	THROAT	ɡ o ¹ n d o ¹	ɡ o ¹ n d o ¹
681	rice	riz	Bangime		ɡɔ́mɛ̀							926	RICE	ɡ ɔ ⁵ m ɛ ¹	ɡ ɔ ⁵ m ɛ ¹
684	chest; flank, side at ribs (body)	poitrine; flanc (du corps)	Bangime		ɡɔ̀ndɛ̀							1592	CHEST	ɡ ɔ ¹ n d ɛ ¹	ɡ ɔ ¹ n d ɛ ¹
687	baboon	babouin	Bangime		ɡúmbɛ̄							1197	BABOON	ɡ u ⁵ m b ɛ ³	ɡ u ⁵ m b ɛ ³
691	owl	hibou	Bangime		ɡùmbì (1)							735	OWL	ɡ u ¹ m b i ¹ #	ɡ u ¹ m b i ¹ #
693	bottom, base	fond, base	Bangime		ɡùrù							690	BOTTOM	ɡ u ¹ r u ¹	ɡ u ¹ r u ¹
694	man	homme	Bangime		ɡùwⁿɔ̀							1554	MAN	ɡ u ¹ w̃ ∼ ɔ ¹	ɡ u ¹ w̃ ∼ ɔ ¹
